rank,album,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,UY Scuti,Olamide,1,1,1,1,1,1,2,1.142857143
2,High Tension 2.0,Dangbana Republik & Bella Shmurda,2,2,2,2,2,2,3,2.142857143
3,High Tension EP,Bella Shmurda,3,5,3,3,5,4,8,4.428571429
4,WONDALAND,Teni,5,4,6,5,4,6,5,5
5,Somewhere Between Beauty & Magic,Joeboy,6,7,5,4,6,3,6,5.285714286
6,APOLLO,Fireboy DML,4,8,4,7,3,5,9,5.714285714
7,Made in Lagos,Wizkid,7,3,7,6,7,7,7,6.285714286
8,Carpe Diem,Olamide,8,9,8,8,13,8,10,9.142857143
9,A True Champion,Rexxie,9,6,9,9,10,11,11,9.285714286
10,Twice As Tall,Burna Boy,12,11,11,10,8,10,13,10.71428571
11,What Have We Done,Omah Lay,13,14,10,14,11,9,12,11.85714286
12,Rema Compilation,Rema,14,12,13,11,14,12,14,12.85714286
13,THE GOAT,Polo G,15,15,12,12,9,14,15,13.14285714
14,A Better Time,Davido,10,13,14,13,12,13,17,13.14285714
15,"Kpos Lifestyle, Vol. 1",Ajebo Hustlers,11,10,15,18,16,17,21,15.42857143
16,Get Layd,Omah Lay,17,17,16,15,15,16,16,16
17,"Laughter, Tears & Goosebumps",Fireboy DML,16,16,17,16,18,19,20,17.42857143
18,LIGHT (The EP),MohBad,19,18,18,17,17,18,18,17.85714286
19,Please Excuse Me for Being Antisocial,Roddy Ricch,22,20,19,19,19,15,19,19
20,Sex Over Love,Blaqbonez,21,24,22,21,23,23,22,22.28571429
21,High Off Life,Future,25,28,21,22,20,21,23,22.85714286
22,Chrome Eccentric Ep,Zinoleesky,24,23,23,20,28,24,26,24
23,Afro Pop Vol. 1,Adekunle Gold,29,27,26,24,27,27,28,26.85714286
24,Man Of Galilee,Judikay,26,22,30,31,25,29,25,26.85714286
25,Life of Betrayal 2x,Yungeen Ace,23,25,31,32,35,20,24,27.14285714
26,Rum & Boogie,Peruzzi,31,32,28,26,33,22,27,28.42857143
27,TOP MEMBA,Kida Kudz,18,19,20,27,29,25,401,77
28,Moon Boy,Yung Bleu,20,21,25,23,24,37,401,78.71428571
29,Gratitude,Timaya,30,30,29,25,22,28,401,80.71428571
30,LV N ATTN,Lojay & Sarz,32,26,27,33,21,31,401,81.57142857
31,The Golden Boy,KiDi,27,29,24,44,26,33,401,83.42857143
32,Simisola,Simi,28,31,34,28,31,32,401,83.57142857
33,I'll Say It For You,Dax,33,34,36,30,34,30,401,85.42857143
34,Welcome to O'Block,King Von,36,33,38,29,32,41,401,87.14285714
35,Love & Light,Joeboy,37,35,32,40,37,38,401,88.57142857
36,NEW ERA,Kiss Daniel,38,42,33,34,30,43,401,88.71428571
37,Boo of the Booless,Chiké,35,44,41,36,39,34,401,90
38,TOP PRIZE,ALKALINE,41,40,35,46,36,35,401,90.57142857
39,Razor,Cheque,39,36,39,35,40,45,401,90.71428571
40,Off The Yak,Young M.A,47,37,40,37,42,39,401,91.85714286
41,Boyfriend,CKay,34,47,42,38,60,44,401,95.14285714
42,Twelve A.M,Crayon,44,39,37,39,46,62,401,95.42857143
43,Simisola (Deluxe),Simi,48,48,47,41,41,42,401,95.42857143
44,King Of Love,Kizz Daniel,52,46,43,42,45,40,401,95.57142857
45,Shottaz 4Eva,MO3,42,43,51,47,38,52,401,96.28571429
46,Bad Commando,Rema,55,49,44,43,44,50,401,98
47,A Good Time,Davido,40,45,46,50,56,49,401,98.14285714
48,Superstar,Wizkid,43,53,45,59,43,46,401,98.57142857
49,Cultural Praise,Kcee & Okwesili Eze Group,50,41,50,48,47,60,401,99.57142857
50,Hot Pink,Doja Cat,53,51,48,45,50,51,401,99.85714286
51,For Broken Ears,Tems,54,54,56,49,49,47,401,101.4285714
52,Culture,Migos,46,50,63,56,51,53,401,102.8571429
53,Three,Patoranking,45,38,58,61,61,61,401,103.5714286
54,Soundgod Fest Vol.1,Runtown,49,52,49,63,53,58,401,103.5714286
55,Omo Charlie Champagne Vol1,Simi,51,58,54,52,52,66,401,104.8571429
56,The Cross: My Gaze,Mercy Chinwo,57,57,60,58,59,55,401,106.7142857
57,SAVAGE MODE II,21 Savage & Metro Boomin,56,55,67,57,57,63,401,108
58,TattleTales,6ix9ine,60,73,55,54,71,57,401,110.1428571
59,Hoodie SZN,A Boogie Wit Da Hoodie,59,65,57,65,74,74,401,113.5714286
60,Billionaire,Teni,58,70,68,70,72,59,401,114
61,Hakuna Matata,Dotman,63,89,72,64,66,68,401,117.5714286
62,TIME,Yaw Tog,62,69,71,73,77,84,401,119.5714286
63,Happy Birthday Kodak,Kodak Black,61,79,80,81,64,90,401,122.2857143
64,Top,YoungBoy Never Broke Again,401,56,53,53,54,36,401,150.5714286
65,7,Lil Nas X,401,61,59,51,48,54,401,153.5714286
66,...Shall We Begin...,Laycon,401,60,61,62,63,48,401,156.5714286
67,Shiesty Season,Pooh Shiesty,401,93,52,55,55,56,401,159
68,The Message,Minister GUC,401,59,62,72,65,67,401,161
69,SATISFIED,Mercy Chinwo,401,62,64,71,67,72,401,162.5714286
70,Lil Durk Presents: Loyal Bros,Only The Family,401,66,65,67,68,81,401,164.1428571
71,Haitian Boy Kodak,Kodak Black,401,71,75,69,62,76,401,165
72,Herstory in the Making,Young M.A,401,74,66,77,79,64,401,166
73,OXYGENE,Oxlade,401,64,69,66,93,75,401,167
74,Deal with It,Phyno,401,68,79,75,73,73,401,167.1428571
