position,album
1,Uy Scuti
2,Somewhere Between Beauty & Magic
3,Carpe Diem
4,What Have We Done
5,Twice As Tall
6,PANDEMIC
7,APOLLO
8,Boo of the Booless
9,Made In Lagos
10,A Better Time
11,WONDALAND
12,Man Of Galilee
13,Twelve A.M
14,Get Layd
15,Before the Chaos-EP
16,Too Faithful
17,Alagbe
18,Man Of Galilee (Live)
19,"Laughter, Tears & Goosebumps"
20,SATISFIED
21,Hallelujah Again (Revelation 19:3)
22,Justice
23,Three
24,The Gospel of the Kingdom
25,Yes And Amen
26,King Of Love
27,KAIROS
28,African Giant
29,The King Is Coming
30,Ecstasy
31,The Voice of the Heroes
32,Sex Over Love
33,Hall of Fame
34,Mother Nature
35,The Prodigal
36,Culture III
37,High Tension ep
38,Ea$t N We$t
39,Superstar
40,LV N ATTN
41,Born Of God
42,Simisola
43,Next Level
44,Mafia Culture (Vol. 2.0)
45,Omo Charlie Champagne Vol1
46,Love & Light EP
47,Fuji The Sound
48,Flavour of Africa
49,LOL (Lord Of Lamba) EP
50,Barry Back The EP
51,You Have Done Me Well
52,The Erigma II
53,AWOL
54,Legends Never Die
55,Boyfriend
56,A Good Time
57,Something Else EP
58,The Life And Times Of 50th Birthday Edition
59,Ayo (Joy)
60,...Shall We Begin...
61,TOO LATE TOO LIT (EP)
62,Gratitude
63,Cultural Praise
64,KHALED KHALED
65,Kingdom Now
66,Shoot For The Stars Aim For The Moon
67,Deal With It
68,Rum & Boogie
69,Please Excuse Me for Being Antisocial
70,You Are Great
71,JORDI (Deluxe)
72,The Off-Season
73,c (The Album Live) (Live)
74,No Bad Songz
75,Outside
76,The Call
77,Grass 2 Grace
78,Kapacity
79,The Cross: My Gaze
80,Once in a Lifetime (Live)
81,!
82,This God Is Too Good
83,Hymnal (Volume 1)
84,Arojinle
85,Commander In Chief
86,Chiomalized
87,Meet The Woo
88,The Spirit Of Light
89,The Playmaker
90,Hakuna Matata
91,Death Race For Love
92,Warriors
93,Goodbye & Good Riddance (Anniversary Edition)
94,Coast To Coast (Expanded Edition)
95,Country Moods
96,999
97,Jubilee: Juneteenth Edition
98,Faith Is Rising
99,The Voice of the Heroes
