rank,album,artist,apple,audiomark,deezer,boom,RT
1,Made In Lagos,Wizkid,3,5,3,9,13.25
2,UY Scuti,Olamide,1,1,12,1,14.25
3,Twice As Tall,Burna Boy,10,9,15,5,35.25
4,Somewhere Between Beauty & Magic,Joeboy,18,2,16,2,36.5
5,LV N ATTN,EP - Lojay & Sarz,2,31,14,40,57.0
6,Sex Over Love,Blaqbonez,13,20,17,42,60.5
7,APOLLO,Fireboy DML,35,3,29,7,68.75
8,WONDALAND,Teni,14,7,55,10,78.5
9,High Tension,Bella Shmurda,37,4,34,36,84.0
10,Boo of the Booless,Chike,19,33,54,8,108.0
11,"Laughter, Tears & Goosebumps",Fireboy DML,50,17,40,19,111.75
12,A Better Time,Davido,22,11,76,11,111.75
13,Man Of Galilee,Judikay,24,22,75,13,124.25
14,A True Champion,Rexxie,4,106,11,21,126.25
15,...Shall We Begin...,Laycon,20,43,92,58,169.5
16,Cultural Praise,KCee & Okwesili Eze Group,21,44,95,61,175.25
17,Get Layd,EP - Omah Lay,53,15,106,17,178.25
18,Superstar,Wizkid,30,42,102,37,183.25
19,Rum & Boogie,Peruzzi,47,19,149,73,233.25
20,Please Excuse Me for Being Antisocial,Roddy Ricch,39,18,163,66,236.5
21,Just Cause Y'all Waited 2 (Deluxe),Lil Durk,27,13,79,520,249.0
22,SoulFly,Rod Wave,41,16,68,520,255.0
23,Boyfriend,CKay,58,28,153,78,258.5
24,For Broken Ears,Tems,29,40,61,520,260.0
25,THE GOAT,Polo G,77,12,43,520,262.0
26,ROOTS,The Cavemen.,17,115,18,520,280.0
27,Wild West,Central Cee,65,65,23,520,283.0
28,Carpe Diem,Olamide,48,6,245,3,299.75
29,Outside,Burna Boy,57,201,45,71,320.75
30,What Have We Done,EP - Omah Lay,59,10,252,6,322.5
31,Afro Pop Vol. 1,Adekunle Gold,95,27,97,520,349.0
32,Off the Yak,Young M.A,107,32,87,520,356.0
33,The Palmwine Express,Show Dem Camp,85,122,42,520,379.0
