rank,album,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,High Tension 2.0,Dangbana Republik & Bella Shmurda,4,3,2,2,2,4,5,3.142857143
2,LV N ATTN,EP - Lojay & Sarz,5,5,3,3,3,5,4,4
3,"Kpos Lifestyle, Vol. 1",Ajebo Hustlers,2,2,4,4,4,6,7,4.142857143
4,Made In Lagos,Wizkid,7,7,6,6,5,7,6,6.285714286
5,Moon Boy,Yung Bleu,6,6,7,7,9,11,13,8.428571429
6,UY Scuti,Olamide,9,9,9,8,7,9,10,8.714285714
7,Sweetness,EP - Obongjayar & Sarz,8,8,8,9,8,10,11,8.857142857
8,PANDEMIC,EP - Ruger,11,12,10,11,10,12,12,11.14285714
9,The Voice of the Heroes,Lil Baby & Lil Durk,12,11,11,10,11,14,15,12
10,Planet Her (Deluxe),Doja Cat,13,13,13,12,12,17,16,13.71428571
11,Twice As Tall,Burna Boy,14,14,14,13,13,15,17,14.28571429
12,TOP MEMBA,Kida Kudz,10,10,12,14,14,19,22,14.42857143
13,Culture III (Deluxe),Migos,16,16,15,15,15,22,24,17.57142857
14,The Of,eason - J. Cole,18,17,17,16,16,23,25,18.85714286
15,Roots,The Cavemen.,22,22,20,21,18,25,23,21.57142857
16,Hall of Fame,Polo G,21,20,19,17,19,29,30,22.14285714
17,A Better Time,Davido,20,21,24,19,20,28,27,22.71428571
18,WONDALAND,Teni,23,23,22,18,21,30,28,23.57142857
19,Cultural Praise,KCee & Okwesili Eze Group,17,18,21,28,23,31,29,23.85714286
20,Clone Wars Vol. 5,The Algorhythm - Show Dem Camp,19,19,18,20,22,39,40,25.28571429
21,Sex Over Love,Blaqbonez,24,24,23,22,24,36,35,26.85714286
22,African Giant,Burna Boy,26,25,26,25,26,32,34,27.71428571
23,Boo of the Booless,Chike,28,33,25,24,25,34,31,28.57142857
24,Justice (Triple Chucks Deluxe / Deluxe Video Version),Justin Bieber,25,27,28,29,27,33,33,28.85714286
25,The Voice (Deluxe),Lil Durk,30,32,30,26,29,37,38,31.71428571
26,A True Champion,Rexxie,27,30,31,30,31,46,42,33.85714286
27,Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke,31,31,32,33,33,41,37,34
28,Man of Galilee,Judikay,33,29,33,34,32,38,41,34.28571429
29,Old Church Basement,Elevation Worship & Maverick City Music,35,28,29,32,35,43,45,35.28571429
30,Somewhere Between Beauty & Magic,Joeboy,34,35,34,31,30,42,43,35.57142857
31,...Shall We Begin...,Laycon,41,39,45,37,36,24,39,37.28571429
32,Big Conspiracy,J Hus,37,36,35,35,37,45,46,38.71428571
33,Superstar,Wizkid,36,40,40,44,38,44,47,41.28571429
34,APOLLO,Fireboy DML,40,43,37,39,39,47,44,41.28571429
35,SoulFly,Rod Wave,47,48,36,36,41,53,49,44.28571429
36,For Broken Ears,Tems,45,46,38,40,40,50,57,45.14285714
37,Please Excuse Me For Being Antisocial,Roddy Ricch,42,47,46,41,43,54,52,46.42857143
38,My Turn (Deluxe),Lil Baby,44,44,39,42,50,52,56,46.71428571
39,KHALED KHALED,DJ Khaled,38,38,47,49,42,58,59,47.28571429
40,The Gospel of the Kingdom,Dunsin Oyekan,43,37,43,43,53,62,54,47.85714286
41,SOUR,Olivia Rodrigo,51,42,41,47,47,49,58,47.85714286
42,SoundMan Vol. 1 (feat. Wizkid),StarBoy,56,59,49,45,34,48,48,48.42857143
43,A Good Time,Davido,48,41,51,54,44,55,61,50.57142857
44,ASTROWORLD,Travis Scott,53,50,42,50,55,51,55,50.85714286
45,After Hours,The Weeknd,52,49,48,46,45,56,60,50.85714286
46,Original Vibe Machine,1da Banton,32,34,44,55,58,72,76,53
47,"Laughter, Tears & Goosebumps",Fireboy DML,50,54,53,52,46,59,63,53.85714286
48,Love or the Word (EP),Jaywillz,59,56,56,51,48,57,53,54.28571429
49,PSYCHODRAMA,Dave,46,53,52,48,51,70,70,55.71428571
50,Legends Never Die (Video Version),Juice WRLD,58,52,55,53,60,64,62,57.71428571
51,High Tension,Bella Shmurda,55,57,50,56,54,68,65,57.85714286
52,We're All Alone In This Together,Dave,401,1,1,1,1,1,1,58.14285714
53,Get Layd,EP - Omah Lay,57,61,58,58,52,66,66,59.71428571
54,Yabasi,Basketmouth,63,62,60,63,65,63,50,60.85714286
55,Carpe Diem,Olamide,64,65,67,61,56,65,71,64.14285714
56,Meet the Woo 2 (Deluxe),Pop Smoke,60,60,68,67,59,69,67,64.28571429
57,What Have We Done,EP - Omah Lay,61,63,59,59,57,76,78,64.71428571
58,Slime Language 2 (Deluxe),"Young Stoner Life, Young Thug & Gunna",66,67,64,60,62,67,72,65.42857143
59,Ayo,Wizkid,67,68,62,65,61,73,73,67
60,SATISFIED,Mercy Chinwo,54,55,72,69,71,74,84,68.42857143
61,THE GOAT,Polo G,80,74,69,64,67,77,75,72.28571429
62,Ghetto Lenny's Love Songs,SAINt JHN,79,70,63,66,64,85,80,72.42857143
63,Hallelujah Again (Revelation 19:3),Nathaniel Bassey,68,58,65,72,79,82,91,73.57142857
64,While the World Was Burning,SAINt JHN,75,69,76,74,66,86,74,74.28571429
65,WUNNA (Deluxe),Gunna,83,76,75,77,69,71,69,74.28571429
66,Product of My Environment,Abra Cadabra,69,79,66,62,75,89,87,75.28571429
67,Boyfriend,CKay,78,83,81,68,70,75,79,76.28571429
68,East Atlanta Love Letter,6LACK,84,75,70,71,81,78,82,77.28571429
69,Outside,Burna Boy,70,82,84,70,68,79,90,77.57142857
70,Haitian Boy Kodak,Kodak Black,72,80,74,76,83,93,95,81.85714286
71,Just Cause Y'all Waited 2 (Deluxe),Lil Durk,401,26,27,27,28,40,36,83.57142857
72,BEAUTIFUL THUGGER GIRLS,Young Thug,82,71,82,90,89,96,83,84.71428571
73,Platinum Heart (Deluxe),Toosii,73,78,77,81,92,94,99,84.85714286
74,Hollywood's Bleeding,Post Malone,102,87,79,78,74,98,81,85.57142857
75,When It's All Said And Done... Take Time,GIVĒON,96,85,101,82,77,83,77,85.85714286
76,Sounds From the Other Side,Wizkid,88,94,91,91,78,80,89,87.28571429
77,Goodbye & Good Riddance (Anniversary Edition),Juice WRLD,89,81,86,84,87,92,96,87.85714286
78,Top,YoungBoy Never Broke Again,92,90,87,86,73,107,93,89.71428571
79,Rum & Boogie,Peruzzi,85,88,92,87,90,95,92,89.85714286
80,High Off Life,Future,100,96,78,73,94,105,94,91.42857143
81,Tribl I,Tribl & Maverick City Music,49,51,57,75,82,84,401,114.1428571
82,Zero Your Mind,EP - Dagizah,101,104,54,57,63,88,401,124
83,The Message,Minister GUC,81,64,80,83,84,81,401,124.8571429
84,Happier Than Ever,Billie Eilish,131,109,401,139,99,3,3,126.4285714
85,THE ANGEL YOU DON'T KNOW,Amaarae,86,95,61,79,76,90,401,126.8571429
86,F*CK LOVE 3: OVER YOU,The Kid LAROI,15,15,16,23,17,401,401,126.8571429
87,Jubilee: Juneteenth Edition,Maverick City Music,71,66,85,93,98,111,401,132.1428571
88,Death Race for Love,Juice WRLD,91,84,99,95,401,91,85,135.1428571
89,TOO LATE TOO LIT (EP),KDDO,77,98,95,107,86,109,401,139
90,Die a Legend,Polo G,98,86,94,101,91,102,401,139
91,Feed Tha Streets ll,Roddy Ricch,87,91,89,100,97,117,401,140.2857143
92,The Palmwine Express,Show Dem Camp,90,101,112,99,88,100,401,141.5714286
93,OXYGENE,EP - Oxlade,107,105,106,96,80,97,401,141.7142857
94,No Love Lost (Deluxe),Blxst,128,100,113,116,95,139,401,156
95,Zulu Man With Some Power,Nasty C,119,134,110,117,100,113,401,156.2857143
96,We Outside,EP - Tory Lanez,401,401,93,38,49,61,68,158.7142857
97,Scorpion,Drake,130,130,132,104,93,123,401,159
98,Light,MohBad,129,140,125,132,96,112,401,162.1428571
99,Ayra Starr,EP - Ayra Starr,155,159,134,123,401,115,97,169.1428571
100,Yellow,Brymo,118,146,149,158,401,119,98,169.8571429
101,JESUS IS KING,Kanye West,39,45,73,85,401,147,401,170.1428571
102,Faith (Deluxe),Pop Smoke,3,4,5,5,401,401,401,174.2857143
103,2 in 1,DARKOO,76,93,88,102,401,122,401,183.2857143
104,The Life of Pablo,Kanye West,62,77,96,110,401,145,401,184.5714286
105,Wild West,Central Cee,93,99,107,98,401,99,401,185.4285714
106,A Gangsta's Pain,Moneybagg Yo,99,92,118,80,401,121,401,187.4285714
107,The Greatest Showman (Original Motion Picture Soundtrack),"Benj Pasek & Justin Paul, Hugh Jackman, Keala Settle, Zac Efron, Zendaya",121,107,83,88,401,116,401,188.1428571
108,Love Goes,Sam Smith,94,111,108,106,401,101,401,188.8571429
109,The King Is Coming,Nathaniel Bassey,122,97,105,94,401,125,401,192.1428571
110,Dark Lane Demo Tapes,Drake,103,108,124,111,401,103,401,193
