rank,album,artist,apple,audiomark,deezer,boom,RT
1,19 & Dangerous,Ayra Starr,1,1,5,5,8.25
2,High Tension 2.0,Dangbana Republik & Bella Shmurda,5,3,10,33,26.25
3,Eclipse,Troniq Music & Oxlade,2,15,3,38,29.5
4,Water & Garri,Tiwa Savage,3,41,11,13,58.25
5,Twice As Tall,Burna Boy,9,11,43,9,65.25
6,LV N ATTN,Lojay & Sarz,6,40,25,28,78.0
7,WONDALAND,Teni,34,6,47,15,90.75
8,High Tension,Bella Shmurda,49,4,33,56,100.0
9,All or Nothing,Rotimi,47,38,13,62,113.5
10,Man Of Galilee,Judikay,32,28,76,21,141.25
11,What Have We Done,Omah Lay,96,9,35,8,142.0
12,APOLLO,Fireboy DML,40,5,109,12,157.0
13,Get Layd,Omah Lay,60,13,101,23,179.75
14,Sex Over Love,Blaqbonez,35,31,106,53,185.25
15,Shopla,Jaido P,83,60,31,68,191.0
16,Nothing To Prove,Victor AD,48,10,130,20,193.0
17,"Kpos Lifestyle, Vol. 1",Ajebo Hustlers,15,27,21,520,193.0
18,Superstar,Wizkid,46,32,113,41,201.25
19,Carpe Diem,Olamide,72,8,124,4,205.0
20,Cultural Praise,KCee & Okwesili Eze Group,16,55,15,520,216.0
21,Jackboy 2,Jackboy,33,47,6,520,216.0
22,Euphoria,PsychoYP,7,84,2,520,223.0
23,Please Excuse Me for Being Antisocial,Roddy Ricch,50,20,143,43,223.75
24,THE GOAT,Polo G,70,12,16,520,228.0
25,ROOTS,The Cavemen.,17,141,23,520,311.0
26,Light,MohBad,134,19,49,520,332.0
27,Just A Matter of Slime,YNW Melly,108,62,63,520,363.0
28,High Off Life,Future,97,24,114,520,365.0
29,UY Scuti,Olamide,11,2,450,2,463.5
30,Yabasi,Basketmouth,64,147,149,520,490.0
31,Somewhere Between Beauty & Magic,Joeboy,53,7,450,3,510.75
32,"Laughter, Tears & Goosebumps",Fireboy DML,44,17,450,19,515.75
33,Boo of the Booless,Chike,24,44,450,14,521.5
34,The Voice of the Heroes,Lil Baby & Lil Durk,10,510,9,46,540.5
35,We're All Alone In This Together,Dave,4,510,17,52,544.0
36,Alari,Liya,27,510,29,42,576.5
37,Justice,Justin Bieber,26,510,30,48,578.0
38,SATISFIED,Mercy Chinwo,55,68,450,27,579.75
39,African Giant,Burna Boy,21,510,46,30,584.5
40,Faith,Pop Smoke,14,510,44,71,585.75
41,Made In Lagos: Deluxe Edition,Wizkid,84,510,1,1,595.25
42,Legends Never Die,Juice WRLD,58,510,22,57,604.25
43,Boyfriend,CKay,94,46,450,63,605.75
44,Donda,Kanye West,85,510,27,6,623.5
