position,album
1,Uy Scuti
2,Somewhere Between Beauty & Magic
3,Nothing To Prove
4,Carpe Diem
5,PANDEMIC
6,Twice As Tall
7,What Have We Done
8,APOLLO
9,WONDALAND
10,Boo of the Booless
11,Made In Lagos
12,Love or the Word (EP)
13,We're All Alone In This Together
14,A Better Time
15,High Tension 2.0
16,Alagbe
17,Magna Cum Laude
18,Man Of Galilee
19,Hallelujah Again (Revelation 19:3)
20,"Laughter, Tears & Goosebumps"
21,Get Layd
22,SATISFIED
23,Too Faithful
24,The Gospel of the Kingdom
25,Twelve A.M
26,Faith
27,African Giant
28,Three
29,Man Of Galilee (Live)
30,Ecstasy
31,Yes And Amen
32,Before the Chaos EP
33,King Of Love
34,The King Is Coming
35,Justice
36,KAIROS
37,"Kpos Lifestyle, Vol. 1"
38,Clone Wars Vol. 5 - The Algorhythm
39,Born Of God
40,Fuji The Sound
41,Superstar
42,LV N ATTN
43,Simisola
44,Sex Over Love
45,Please Excuse Me for Being Antisocial
46,The Voice of the Heroes
47,You Have Done Me Well
48,Legends Never Die
49,High Tension
50,The Life And Times Of 50th Birthday Edition
51,Boyfriend
52,Omo Charlie Champagne Vol1
53,The Erigma II
54,LOL (Lord Of Lamba) EP
55,Barry Back The EP
56,Love & Light EP
57,Ea$t N We$t
58,Ayo (Joy)
59,A True Champion
60,Flavour of Africa
61,The Prodigal
62,Kingdom Now
63,Deal With It
64,A Good Time
65,The Harvest
66,Mafia Culture (Vol. 2.0)
67,Hall of Fame
68,Outside
69,Warriors
70,You Are Great
71,This God Is Too Good
72,Death Race For Love
73,Country Moods
74,c (The Album Live) (Live)
75,No Bad Songz
76,Cultural Praise
77,The Playmaker
78,!
79,TOP MEMBA
80,Kapacity
81,Shoot For The Stars Aim For The Moon
82,The Spirit Of Light
83,The Cross: My Gaze
84,Zero Panic
85,Hymnal (Volume 1)
86,Original Vibe Machine
87,Chiomalized
88,Coast To Coast (Expanded Edition)
89,Gratitude
90,Grass 2 Grace
91,By Special Request Vol. 2
92,JORDI (Deluxe)
93,Feed tha Streets
94,Next Level
95,Something Else EP
96,About 30
97,Meet The Woo
98,Faith Is Rising
99,Asha
100,Seed - EP
