rank,album,artist,Previous week,weeks on chart
1,19 & Dangerous,Ayra Starr,1,2
2,High Tension 2.0,Dangbana Republik & Bella Shmurda,3,6
3,Twice As Tall,Burna Boy,5,10
4,UY Scuti,Olamide,4,9
5,LV N ATTN,Lojay & Sarz,6,10
6,Water & Garri,Tiwa Savage,57,2
7,Eclipse,Troniq Music & Oxlade,0,1
8,Nothing To Prove,Victor AD,12,3
9,APOLLO,Fireboy DML,36,10
10,Boo of the Booless,Chike,18,10
11,"Laughter, Tears & Goosebumps",Fireboy DML,10,10
12,Somewhere Between Beauty & Magic,Joeboy,42,10
13,Sex Over Love,Blaqbonez,9,10
14,WONDALAND,Teni,11,10
15,"Kpos Lifestyle, Vol. 1",Ajebo Hustlers,7,4
16,Please Excuse Me for Being Antisocial,Roddy Ricch,14,10
17,High Tension,Bella Shmurda,15,7
18,Made In Lagos,Wizkid,2,10
19,Superstar,Wizkid,17,10
20,Cultural Praise,KCee & Okwesili Eze Group,40,10
21,Get Layd,Omah Lay,13,10
22,A Better Time,Davido,8,10
23,Boyfriend,CKay,38,10
24,Rudykillus,Rudeboy,20,2
25,Just A Matter of Slime,YNW Melly,32,2
26,What Have We Done,Omah Lay,16,10
27,Moon Boy,Yung Bleu,24,4
28,For Broken Ears,Tems,26,10
29,No Pressure,Sarkodie,55,3
30,THE GOAT,Polo G,27,10
31,A Good Time,Davido,28,10
32,"Afro Pop, Vol. 1",Adekunle Gold,21,3
33,New Season,Chidinma,63,2
34,A True Champion,Rexxie,22,7
35,ROOTS,The Cavemen.,23,7
36,TOP MEMBA,Kida Kudz,37,4
37,OXYGENE,Oxlade,29,10
38,Man Of Galilee,Judikay,46,10
39,SAVAGE MODE II,21 Savage & Metro Boomin,83,10
40,Haitian Boy Kodak,Kodak Black,31,10
41,Wild West,Central Cee,39,10
42,Euphoria,PsychoYP,0,1
43,Shopla,Jaido P,0,1
44,SATISFIED,Mercy Chinwo,34,4
45,Cheers to the Best Memories,dvsn & Ty Dolla $ign,0,1
46,We're All Alone In This Together,Dave,47,3
47,Alari,Liya,0,1
48,Carpe Diem,Olamide,19,10
49,PANDEMIC,Ruger,50,10
50,SoulFly (Deluxe Version),Rod Wave,0,1
51,Yabasi,Basketmouth,35,10
52,African Giant,Burna Boy,51,10
53,Hall of Fame,Polo G,54,10
54,Justice,Justin Bieber,48,10
55,The Palmwine Express,Show Dem Camp,43,10
56,Faith,Pop Smoke,49,2
57,Oil + Water,Travis Greene,0,1
58,The Voice of the Heroes,Lil Baby & Lil Durk,53,10
59,Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke,82,2
60,The Message,Minister GUC,52,10
61,Legends Never Die,Juice WRLD,59,10
62,Outside,Burna Boy,33,3
63,Planet Her,Doja Cat,64,3
64,The House Is Burning,Isaiah Rashad,44,2
65,King's Disease II,Nas,65,2
66,Happier Than Ever,Billie Eilish,66,3
67,Simisola,Simi,0,1
68,Solar Power,Lorde,0,1
69,Trip At Knight (Complete Edition),Trippie Redd,0,1
70,The Voice (Deluxe),Lil Durk,72,7
71,All In,Skepta,69,2
72,So Much Fun,Young Thug,94,2
73,Death Race For Love,Juice WRLD,61,10
74,High Off Life,Future,79,10
75,TOO LATE TOO LIT (EP),KDDO,0,1
76,Top,YoungBoy Never Broke Again,74,10
77,...Shall We Begin...,Laycon,68,10
78,Love or the Word (EP),Jaywillz,60,6
79,ASTROWORLD,Travis Scott,0,1
80,Big Conspiracy,J Hus,71,10
81,Sweetness,Obongjayar & Sarz,77,3
82,Slime Language 2 (Deluxe),"Young Stoner Life, Young Thug & Gunna",0,1
83,Rum & Boogie,Peruzzi,85,10
84,Hollywood's Bleeding,Post Malone,0,1
85,East Atlanta Love Letter,6LACK,0,1
86,Black History Project (Live from London),The Spirituals,80,2
87,Yes And Amen,Tope Alabi,0,1
88,Welcome to O'Block,King Von,0,1
89,WUNNA,Gunna,90,4
90,Culture III,Migos,95,9
91,Freedom.,Justin Bieber,78,2
92,Ayra Starr,Ayra Starr,84,2
93,While The World Was Burning,SAINt JHN,0,1
94,KHALED KHALED,DJ Khaled,81,10
95,S.C.A.M,G4 Boyz,0,1
96,Love & Light,Joeboy,0,1
97,Queendoncom,Yemi Alade,25,2
98,Hood Boy Dreams,Jeriq,0,1
99,BIRTHDAY MIX 6,Lil Yachty,0,1
100,Clone Wars Vol. 5 - The Algorhythm,The Algorhythm - Show Dem Camp,62,3
