rank,album,artist,Previous week,weeks on chart
1,High Tension 2.0,Dangbana Republik & Bella Shmurda,1,4
2,UY Scuti,Olamide,2,7
3,Made In Lagos,Wizkid,3,8
4,"Kpos Lifestyle, Vol. 1",Ajebo Hustlers,36,2
5,Twice As Tall,Burna Boy,5,8
6,LV N ATTN,EP - Lojay & Sarz,4,8
7,WONDALAND,Teni,10,8
8,Somewhere Between Beauty & Magic,Joeboy,6,8
9,A Better Time,Davido,9,8
10,TOP MEMBA,Kida Kudz,39,2
11,APOLLO,Fireboy DML,8,8
12,Sex Over Love,Blaqbonez,14,8
13,Boo of the Booless,Chike,20,8
14,A True Champion,Rexxie,7,5
15,High Tension,Bella Shmurda,12,5
16,Man Of Galilee,Judikay,23,8
17,Get Layd,EP - Omah Lay,19,8
18,Superstar,Wizkid,13,8
19,"Laughter, Tears & Goosebumps",Fireboy DML,15,8
20,What Have We Done,EP - Omah Lay,11,8
21,Cultural Praise,KCee & Okwesili Eze Group,18,8
22,Moon Boy,Yung Bleu,57,2
23,A Good Time,Davido,33,8
24,Carpe Diem,Olamide,28,8
25,Clone Wars Vol. 5 - The Algorhythm,The Algorhythm - Show Dem Camp,0,1
26,Please Excuse Me for Being Antisocial,Roddy Ricch,16,8
27,For Broken Ears,Tems,25,8
28,ROOTS,The Cavemen.,26,5
29,OXYGENE,EP - Oxlade,51,8
30,Haitian Boy Kodak,Kodak Black,67,8
31,Wild West,Central Cee,27,8
32,Outside,Burna Boy,0,1
33,THE GOAT,Polo G,24,8
34,Yabasi,Basketmouth,32,8
35,"Afro Pop, Vol. 1",Adekunle Gold,0,1
36,King Of Love,Kizz Daniel,59,5
37,Off the Yak,Young M.A,0,1
38,High Off Life,Future,29,8
39,Boyfriend,CKay,21,8
40,Light,MohBad,22,3
41,Gratitude,Timaya,35,8
42,SAVAGE MODE II,21 Savage & Metro Boomin,78,8
43,Nothing To Prove,EP - Victor AD,0,1
44,Slime Language 2 (Deluxe),"Young Stoner Life, Young Thug & Gunna",34,2
45,PANDEMIC,EP - Ruger,40,8
46,The Voice of the Heroes,Lil Baby & Lil Durk,41,8
47,Justice,Justin Bieber,46,8
48,Hall of Fame,Polo G,43,8
49,African Giant,Burna Boy,42,8
50,Heaven Or Hell,Don Toliver,0,1
51,We're All Alone In This Together,Dave,0,1
52,Love or the Word (EP),Jaywillz,48,4
53,No Pressure,Sarkodie,0,1
54,SATISFIED,Mercy Chinwo,49,2
55,Legends Never Die,Juice WRLD,52,8
56,Faith (Deluxe),Pop Smoke,0,1
57,Original Vibe Machine,1da Banton,0,1
58,Sweetness,EP - Obongjayar & Sarz,0,1
59,Death Race For Love,Juice WRLD,54,8
60,Planet Her,Doja Cat,0,1
61,...Shall We Begin...,Laycon,45,8
62,Rum & Boogie,Peruzzi,58,8
63,Shoot For The Stars Aim For The Moon,Pop Smoke,0,1
64,The Voice (Deluxe),Lil Durk,72,5
65,Big Conspiracy,J Hus,88,8
66,Simisola,Simi,0,1
67,PSYCHODRAMA,Dave,76,4
68,Ea$t N We$t,EP - Dremo & Jeriq,0,1
69,Culture III,Migos,44,7
70,Before the Chaos (-EP),P - Erigga,70,2
71,Top,YoungBoy Never Broke Again,30,8
72,SoulFly,Rod Wave,69,8
73,Welcome to O'Block,King Von,0,1
74,The Message,Minister GUC,75,8
75,F*CK LOVE 3: OVER YOU,The Kid LAROI,0,1
76,KHALED KHALED,DJ Khaled,50,8
77,My Turn (Deluxe),Lil Baby,100,2
78,SoundMan Vol. 1,StarBoy,73,3
79,Love & Light,Joeboy,0,1
80,Hollywood's Bleeding,Post Malone,99,8
81,We Outside,EP - Tory Lanez,0,1
82,I'll Say It For You,Dax,0,1
83,Old Church Basement,Elevation Worship & Maverick City Music,93,8
84,WUNNA,Gunna,31,2
85,7 EP,Lil Nas X,0,1
86,Sounds From The Other Side,Wizkid,0,1
87,JESUS IS KING,Kanye West,0,1
88,The Palmwine Express,Show Dem Camp,81,8
89,Zulu Man With Some Power,Nasty C,90,2
90,The Gospel of the Kingdom,Dunsin Oyekan,63,8
91,Product of My Environment,Abra Cadabra,96,8
92,Razor,Cheque,0,1
93,While The World Was Burning,SAINt JHN,95,2
94,2014 Forest Hills Drive,J. Cole,0,1
95,Happier Than Ever,Billie Eilish,0,1
96,ASTROWORLD,Travis Scott,79,4
97,Too Late Too Lit,KDDO,85,3
98,JORDI (Deluxe),Maroon 5,77,2
99,All Over The Place (Platinum VIP Edition),KSI,64,2
100,Meet The Woo 2,Pop Smoke,0,1
