rank,album,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,LV N ATTN,Lojay,2,2,1,1,6,2,2,2.285714286
2,UY Scuti,Olamide,1,1,6,6,2,4,4,3.428571429
3,A True Champion,Rexxie,5,5,3,3,5,5,5,4.428571429
4,Made In Lagos,Wizkid,12,12,4,4,1,6,6,6.428571429
5,WONDALAND,Teni,3,3,5,5,25,7,7,7.857142857
6,Planet Her (Deluxe),Doja Cat,11,11,2,2,24,15,15,11.42857143
7,PANDEMIC,Ruger,27,27,7,7,4,9,9,12.85714286
8,Culture III,Migos,15,15,21,21,3,12,12,14.14285714
9,The Voice of the Heroes,Lil Baby,16,16,13,13,11,19,19,15.28571429
10,Twice As Tall,Burna Boy,13,13,29,29,8,8,8,15.42857143
11,Hall of Fame,POLO G,17,17,18,18,34,18,18,20
12,Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke,34,34,19,19,10,30,30,25.14285714
13,Sex Over Love,Blaqbonez,18,18,10,10,66,43,43,29.71428571
14,Planet Her,Doja Cat,14,14,56,56,45,35,35,36.42857143
15,Zulu Man With Some Power,Nasty C,33,33,20,20,41,66,66,39.85714286
16,African Giant,Burna Boy,20,20,62,62,88,37,37,46.57142857
17,KHALED KHALED,DJ Khaled,30,30,45,45,63,80,80,53.28571429
18,Masta Groove,Masterkraft,7,7,15,15,301,17,17,54.14285714
19,Boo of the Booless,Chike,37,37,67,67,49,76,76,58.42857143
20,SOUR,Olivia Rodrigo,64,64,16,16,301,23,23,72.42857143
21,The Palmwine Express,Show Dem Camp,85,85,27,27,301,11,11,78.14285714
22,Yabasi,Basketmouth,38,38,22,22,301,65,65,78.71428571
23,High Tension,Bella Shmurda,86,86,39,39,301,32,32,87.85714286
24,CALL ME IF YOU GET LOST,"Tyler, The Creator",9,9,8,8,37,301,301,96.14285714
25,In The Dark,MiZZle,301,301,17,17,13,16,16,97.28571429
26,Somewhere Between Beauty & Magic,Joeboy,19,19,301,301,15,13,13,97.28571429
27,ROOTS,The Cavemen.,25,25,301,301,9,29,29,102.7142857
28,Justice,Justin Bieber,10,10,301,301,12,44,44,103.1428571
29,CLOUDS (THE MIXTAPE),NF,88,88,44,44,301,85,85,105
30,For Broken Ears,Tems,23,23,42,42,17,301,301,107
31,Carpe Diem,Olamide,301,301,35,35,39,28,28,109.5714286
32,The Off-Season,J. Cole,22,22,301,301,71,26,26,109.8571429
33,A Better Time,DaVido,61,61,301,301,35,10,10,111.2857143
34,Wild West,Central Cee,26,26,301,301,14,59,59,112.2857143
35,Death Race For Love,Juice Wrld,31,31,301,301,58,48,48,116.8571429
36,Big Conspiracy,J Hus,56,56,28,28,51,301,301,117.2857143
37,Love or the Word (EP),Jaywillz,57,57,31,31,65,301,301,120.4285714
38,ASTROWORLD,Travis Scott,77,77,301,301,60,38,38,127.4285714
39,Superstar,Wizkid,73,73,301,301,32,81,81,134.5714286
40,It Was Written (Expanded Edition),Nas,8,8,25,25,301,301,301,138.4285714
41,?,XXXTentacion,301,301,12,12,301,22,22,138.7142857
42,God's Favourite Baby,Limoblaze,4,4,50,50,301,301,301,144.4285714
43,APOLLO,Fireboy Dml,21,21,34,34,301,301,301,144.7142857
44,Perception,NF,301,301,46,46,301,24,24,149
45,DAMN.,Kendrick Lamar,40,40,301,301,301,40,40,151.8571429
46,The Human Condition,Jon Bellion,301,301,11,11,301,71,71,152.4285714
47,Yellow,Brymo,24,24,301,301,301,69,69,155.5714286
48,"Huncho Jack, Jack Huncho",Huncho Jack,301,301,52,52,301,47,47,157.2857143
49,JORDI (Deluxe),Maroon 5,29,29,73,73,301,301,301,158.1428571
50,Views,Drake,32,32,78,78,301,301,301,160.4285714
51,American Teen,Khalid,44,44,79,79,301,301,301,164.1428571
52,Lucid,Asa,53,53,301,301,301,74,74,165.2857143
53,The King Is Coming,Nathaniel Bassey,301,301,51,51,301,77,77,165.5714286
54,Outside,Burna Boy,93,93,301,301,301,39,39,166.7142857
55,Era I 2002,Era,301,301,76,76,301,57,57,167
56,Vibes & Insha Allah,Reminisce,301,301,71,71,301,68,68,168.7142857
57,When It's All Said And Done... Take Time,Giveon,59,59,301,301,301,86,86,170.4285714
58,Free Spirit,Khalid,95,95,61,61,301,301,301,173.5714286
59,Afro Pop Vol. 1,Adekunle Gold,98,98,301,301,301,67,67,176.1428571
60,Legends Never Die,Juice Wrld,301,301,301,301,7,14,14,177
61,Euphoria (Original Score from the HBO Series),Labrinth,301,301,93,93,301,78,78,177.8571429
62,Strings And Bling,Nasty C,301,301,14,14,16,301,301,178.2857143
63,PSYCHODRAMA,Dave,301,301,301,301,21,25,25,182.1428571
64,Product of My Environment,Abra Cadabra,301,301,9,9,73,301,301,185
65,in defense of my own happiness,Joy Oladokun,301,301,301,301,55,20,20,185.5714286
66,My Turn (Deluxe),Lil Baby,301,301,30,30,38,301,301,186
67,Before the Chaos,Erigga,301,301,301,301,22,41,41,186.8571429
68,Pioneers,DRB Lasgidi,54,54,301,301,19,301,301,190.1428571
69,Just Cause Y'all Waited 2 (Deluxe),Lil Durk,301,301,301,301,42,51,51,192.5714286
70,A Good Time,DaVido,301,301,64,64,20,301,301,193.1428571
71,My Beautiful Dark Twisted Fantasy,Kanye West,301,301,36,36,78,301,301,193.4285714
72,While The World Was Burning,SAINt JHN,301,301,301,301,26,63,63,193.7142857
73,Man Of Galilee,Judikay,70,70,301,301,18,301,301,194.5714286
74,Scorpion,Drake,78,78,301,301,29,301,301,198.4285714
75,Old Church Basement,Elevation Worship,60,60,301,301,68,301,301,198.8571429
76,Boyfriend,CKay,301,301,301,301,70,60,60,199.1428571
77,Heavy Is The Head,Stormzy,47,47,301,301,100,301,301,199.7142857
78,JACKBOYS,JACKBOYS,301,301,301,301,53,75,75,201
79,Goodbye & Good Riddance,Juice Wrld,301,301,84,84,59,301,301,204.4285714
80,Hollywood's Bleeding,Post Malone,90,90,301,301,56,301,301,205.7142857
81,NO ZZZZ 2,Zilla Oaks,301,301,301,301,82,82,82,207.1428571
82,High Tension 2.0,Dangbana Republik,301,301,301,301,301,1,1,215.2857143
83,Clone Wars Vol. 5 (The Algorhythm),Show Dem Camp,301,301,301,301,301,3,3,215.8571429
84,25,G Herbo,6,6,301,301,301,301,301,216.7142857
85,Herstory,Young M.A,301,301,301,301,301,21,21,221
86,The Gospel of the Kingdom,Dunsin Oyekan,301,301,23,23,301,301,301,221.5714286
87,17,XXXTentacion,301,301,24,24,301,301,301,221.8571429
88,Glory Sound Prep,Jon Bellion,301,301,26,26,301,301,301,222.4285714
89,Welcome to O'Block,King Von,301,301,301,301,301,27,27,222.7142857
90,Thats What They All Say,Jack Harlow,28,28,301,301,301,301,301,223
91,THE GOAT,POLO G,301,301,301,301,301,31,31,223.8571429
92,some boring love stories pt 5,Powfu,301,301,32,32,301,301,301,224.1428571
93,The Beginning,Naijah,301,301,301,301,301,33,33,224.4285714
94,Flu Game,AJ Tracey,301,301,33,33,301,301,301,224.4285714
95,Still Here,LAROI WRLD,301,301,301,301,301,34,34,224.7142857
96,divide (Deluxe),Ed Sheeran,35,35,301,301,301,301,301,225
97,Life of Betrayal 2x,Yungeen Ace,36,36,301,301,301,301,301,225.2857143
98,Goodbye & Good Riddance (Anniversary Edition),Juice Wrld,301,301,301,301,301,36,36,225.2857143
99,Off the Yak,Young M.A,301,301,37,37,301,301,301,225.5714286
100,Chris Tomlin & Friends: Summer EP,Chris Tomlin,301,301,38,38,301,301,301,225.8571429
101,Sin City The Mixtape,Ski Mask the Slump God,39,39,301,301,301,301,301,226.1428571
102,Baba Hafusa,Reminisce,301,301,40,40,301,301,301,226.4285714
103,Ungodly Hour,Chloe x Halle,301,301,41,41,301,301,301,226.7142857
104,YS Collection Vol. 1,Logic,41,41,301,301,301,301,301,226.7142857
105,TOO LATE TOO LIT (EP),KDDO,42,42,301,301,301,301,301,227
106,151a,Kishi Bashi,301,301,301,301,301,42,42,227
107,Best of Burna Boy,Burna Boy,43,43,301,301,301,301,301,227.2857143
108,SoulFly,Rod Wave,301,301,43,43,301,301,301,227.2857143
109,Greatest Hits,Westlife,301,301,301,301,301,45,45,227.8571429
110,Jubilee: Juneteenth Edition,Maverick City Music,45,45,301,301,301,301,301,227.8571429
111,Finally Famous (10th Anniversary Deluxe Edition Remixed and Remastered),Big Sean,46,46,301,301,301,301,301,228.1428571
112,Evolution,Joyner Lucas,301,301,301,301,301,46,46,228.1428571
113,Beautiful Thugger Girls,Young Thug,301,301,47,47,301,301,301,228.4285714
114,4:44,Jay-Z,301,301,48,48,301,301,301,228.7142857
115,Moments in Between,Ruth B.,48,48,301,301,301,301,301,228.7142857
116,Suncity,Khalid,301,301,301,301,301,49,49,229
117,27,Falz,301,301,49,49,301,301,301,229
118,The Voice (Deluxe),Lil Durk,49,49,301,301,301,301,301,229
119,Mars,BadboyMarz,301,301,301,301,301,50,50,229.2857143
120,dont smile at me,Billie Eilish,50,50,301,301,301,301,301,229.2857143
121,508-507-2209,Joyner Lucas,51,51,301,301,301,301,301,229.5714286
122,CASTLES II,Lil Peep,301,301,301,301,301,52,52,229.8571429
123,Hood Boy Dreams,Jeriq,52,52,301,301,301,301,301,229.8571429
124,Victory Lap,Nipsey Hussle,301,301,53,53,301,301,301,230.1428571
125,The Search,NF,301,301,301,301,301,53,53,230.1428571
126,Culture III (Deluxe),Migos,301,301,54,54,301,301,301,230.4285714
127,Die A Legend,POLO G,301,301,301,301,301,54,54,230.4285714
128,The Glory,Olamide,301,301,301,301,301,55,55,230.7142857
129,Heaven Or Hell,Don Toliver,55,55,301,301,301,301,301,230.7142857
130,Lost & Found,Jorja Smith,301,301,55,55,301,301,301,230.7142857
131,The Greatest Showman (Original Motion Picture Soundtrack),Various Artists,301,301,301,301,301,56,56,231
132,Worship,Anthem Lights,301,301,57,57,301,301,301,231.2857143
133,Curtain Call: The Hits (Deluxe Edition),Eminem,301,301,301,301,301,58,58,231.5714286
134,Village,Jacob Banks,301,301,58,58,301,301,301,231.5714286
135,SoundGod Fest Reloaded,Runtown,58,58,301,301,301,301,301,231.5714286
136,Rapture EP,Koffee,301,301,59,59,301,301,301,231.8571429
137,Redemption,Lekan Salamii,301,301,60,60,301,301,301,232.1428571
138,The Voice,Lil Durk,301,301,301,301,301,61,61,232.4285714
139,Music To Be Murdered By - Side B (Deluxe Edition),Eminem,301,301,301,301,301,62,62,232.7142857
140,King Of The Wolves,Alpha P,62,62,301,301,301,301,301,232.7142857
141,Gone and Forgotten,Tinky Doblar,63,63,301,301,301,301,301,233
142,drinking under the streetlights,Powfu,301,301,63,63,301,301,301,233
143,Tha Carter V (Deluxe),Lil Wayne,301,301,301,301,301,64,64,233.2857143
144,The Resurrection,Bugzy Malone,301,301,65,65,301,301,301,233.5714286
145,Expressions,STYL-PLUS,65,65,301,301,301,301,301,233.5714286
146,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,66,66,301,301,301,301,301,233.8571429
147,I Feel Like Topaz,Topaz,301,301,66,66,301,301,301,233.8571429
148,Championships,Meek Mill,67,67,301,301,301,301,301,234.1428571
149,NOT ALL HEROES WEAR CAPES,Metro Boomin,68,68,301,301,301,301,301,234.4285714
150,Meet The Woo 2 (Deluxe),Pop Smoke,301,301,68,68,301,301,301,234.4285714
151,"Praise & Worship, Vol. 5",Various Artists,301,301,69,69,301,301,301,234.7142857
152,Tha Carter V,Lil Wayne,69,69,301,301,301,301,301,234.7142857
153,TAKE TIME,Giveon,301,301,70,70,301,301,301,235
154,EVERYTHING YOU HEARD IS TRUE,Odunsi (The Engine),301,301,301,301,301,70,70,235
155,Jesus Piece (Deluxe),The Game,71,71,301,301,301,301,301,235.2857143
156,"Dancing Time, the Best of Eastern Nigeria's Afro Rock Exponents 1973-77 (Soundway Records)",The Funkees,72,72,301,301,301,301,301,235.5714286
157,Hallelujah Again (Revelation 19:3),Nathaniel Bassey,301,301,72,72,301,301,301,235.5714286
158,I'll Say It For You,Dax,301,301,301,301,301,72,72,235.5714286
159,Don Moen Collection,Don Moen,301,301,301,301,301,73,73,235.8571429
160,The Monologue,Jacob Banks,301,301,74,74,301,301,301,236.1428571
161,Street OT,Olamide,74,74,301,301,301,301,301,236.1428571
162,20 Songs of Inspiration,Jim Reeves,301,301,75,75,301,301,301,236.4285714
163,Age Ain't Nothing But A Number,Aaliyah,75,75,301,301,301,301,301,236.4285714
164,Asa (Asha),Asa,76,76,301,301,301,301,301,236.7142857
165,Therapy Session,NF,301,301,77,77,301,301,301,237
166,Legend - The Best Of Bob Marley And The Wailers,Bob Marley & The Wailers,79,79,301,301,301,301,301,237.5714286
167,No.6 Collaborations Project,Ed Sheeran,301,301,301,301,301,79,79,237.5714286
168,1999,Joey Bada$$,80,80,301,301,301,301,301,237.8571429
169,Haitian Boy Kodak,Kodak Black,301,301,80,80,301,301,301,237.8571429
170,Lagos Nawa!,Olamide,81,81,301,301,301,301,301,238.1428571
171,Boney M.,Boney M.,301,301,81,81,301,301,301,238.1428571
172,Wins & Losses (Deluxe Edition),Meek Mill,82,82,301,301,301,301,301,238.4285714
173,A Written Testimony,Jay Electronica,301,301,82,82,301,301,301,238.4285714
174,Polaris,Aitch,83,83,301,301,301,301,301,238.7142857
175,Destined 2 Win,Lil Tjay,301,301,301,301,301,83,83,238.7142857
176,As Things Grow,MckNasty,301,301,83,83,301,301,301,238.7142857
177,Sounds From The Other Side,Wizkid,84,84,301,301,301,301,301,239
178,Cultural Praise,KCee,301,301,301,301,301,84,84,239
179,Soul Searching,Bazzi,301,301,85,85,301,301,301,239.2857143
180,Sweet Action,Jack Harlow,301,301,86,86,301,301,301,239.5714286
181,Ea$t N We$t,Dremo,87,87,301,301,301,301,301,239.8571429
182,I Am The King Of Amapiano: Sweet & Dust,Kabza De Small,301,301,301,301,301,87,87,239.8571429
183,A Day Without Rain,Enya,301,301,87,87,301,301,301,239.8571429
184,Not In Chronological Order,Julia Michaels,301,301,88,88,301,301,301,240.1428571
185,Black & Blue,Backstreet Boys,301,301,301,301,301,88,88,240.1428571
186,"God Forgives, I Don't",Rick Ross,301,301,301,301,301,89,89,240.4285714
187,Big Spang - EP,J Hus,301,301,89,89,301,301,301,240.4285714
188,AitcH2O,Aitch,89,89,301,301,301,301,301,240.4285714
189,Between Somewhere,Token,301,301,90,90,301,301,301,240.7142857
190,Live! At TerraKulture Arena,Brymo,301,301,301,301,301,90,90,240.7142857
191,Evanescence,Evanescence,301,301,301,301,301,91,91,241
192,Because the Internet,Childish Gambino,301,301,91,91,301,301,301,241
193,Moments,Hollow Coves,91,91,301,301,301,301,301,241
194,A Love Letter To You 4,Trippie Redd,92,92,301,301,301,301,301,241.2857143
195,Signature (Ife Chukwu Kwulu),Umu Obiligbo,301,301,301,301,301,92,92,241.2857143
196,F.N,Lil Tjay,301,301,92,92,301,301,301,241.2857143
197,Bad Vibes Forever,XXXTentacion,301,301,301,301,301,93,93,241.5714286
198,Positivity Only,Zirra,301,301,301,301,301,94,94,241.8571429
199,Tradition,9ice,301,301,94,94,301,301,301,241.8571429
200,THE ANGEL YOU DON'T KNOW,amaarae,94,94,301,301,301,301,301,241.8571429
201,Call Me Maybe,Carly Rae Jepsen,301,301,95,95,301,301,301,242.1428571
202,Funk Wav Bounces Vol.1,Calvin Harris,301,301,301,301,301,95,95,242.1428571
203,What Goes Around...Comes Around,Justin Timberlake,96,96,301,301,301,301,301,242.4285714
204,Whispers II,Passenger,301,301,301,301,301,96,96,242.4285714
205,The Incredible True Story,Logic,301,301,96,96,301,301,301,242.4285714
206,Good News,Megan Thee Stallion,301,301,301,301,301,97,97,242.7142857
207,Eyan Mayweather,Olamide,97,97,301,301,301,301,301,242.7142857
