rank,album,artist,apple,audiomark,deezer,boom,RT
1,UY Scuti,Olamide,1,1,1,1,3.25
2,Made In Lagos,Wizkid,3,7,12,9,24.25
3,Somewhere Between Beauty & Magic,Joeboy,14,2,14,2,30.5
4,Twice As Tall,Burna Boy,9,8,16,5,34.25
5,Sex Over Love,Blaqbonez,10,18,13,32,49.0
6,WONDALAND,Teni,11,6,40,11,59.75
7,LV N ATTN,EP - Lojay & Sarz,2,35,22,40,69.0
8,Boo of the Booless,Chike,16,32,20,8,70.0
9,APOLLO,Fireboy DML,30,5,42,7,78.75
10,A Better Time,Davido,15,11,64,10,92.5
11,Superstar,Wizkid,23,39,23,39,94.75
12,High Tension ep,Bella Shmurda,34,3,59,37,105.25
13,Man Of Galilee,Judikay,21,22,68,12,114.0
14,Please Excuse Me for Being Antisocial,Roddy Ricch,42,19,61,69,139.25
15,"Laughter, Tears & Goosebumps",Fireboy DML,66,16,63,19,149.75
16,Cultural Praise,KCee & Okwesili Eze Group,19,46,73,63,153.75
17,PANDEMIC,EP - Ruger,7,157,5,6,170.5
18,Carpe Diem,Olamide,41,4,129,3,174.75
19,Rum & Boogie,Peruzzi,56,20,115,68,208.0
20,THE GOAT,Polo G,51,13,43,520,237.0
21,SoulFly,Rod Wave,38,14,62,520,244.0
22,Get Layd,EP - Omah Lay,47,15,180,14,245.5
23,For Broken Ears,Tems,33,42,45,520,250.0
24,Just Cause Y'all Waited 2 (Deluxe),Lil Durk,26,12,86,520,254.0
25,Wild West,Central Cee,67,65,17,520,279.0
26,Gratitude,Timaya,148,27,100,62,290.5
27,A Good Time,Davido,72,51,170,56,307.0
28,...Shall We Begin...,Laycon,20,50,222,60,307.0
29,OXYGENE,EP - Oxlade,88,64,52,520,334.0
30,Yabasi,Basketmouth,44,132,31,520,337.0
31,Haitian Boy Kodak,Kodak Black,55,60,106,520,351.0
32,Ice Daddy,Gucci Mane,131,52,39,520,352.0
33,Boyfriend,CKay,57,30,271,55,371.75
34,Roots,The Cavemen.,17,133,101,520,381.0
35,CITIZEN OF THE WORLD,King Perryy,103,107,71,520,411.0
36,TOO LATE TOO LIT (EP),KDDO,43,109,259,61,426.25
37,Happy Birthday Kodak,EP - Kodak Black,74,59,208,520,471.0
38,SAVAGE MODE II,21 Savage & Metro Boomin,87,67,187,520,471.0
39,Slime Language 2 (Deluxe),"Young Stoner Life, Young Thug & Gunna",40,75,233,520,478.0
40,The Palmwine Express,Show Dem Camp,90,139,128,520,487.0
41,Top,YoungBoy Never Broke Again,99,44,217,520,490.0
42,High Off Life,Future,65,23,280,520,498.0
43,Off the Yak,Young M.A,70,34,279,520,513.0
44,What Have We Done,EP - Omah Lay,62,9,450,4,522.0
45,Culture III,Migos,4,510,3,36,526.0
46,Hall of Fame,Polo G,6,510,2,33,526.25
47,The Voice of the Heroes,Lil Baby & Lil Durk,5,510,7,31,529.75
48,Justice,Justin Bieber,12,510,9,22,536.5
49,JORDI (Deluxe),Maroon 5,25,510,6,71,558.75
50,The Golden Boy,KiDi,178,166,85,520,559.0
51,Jubilee: Juneteenth Edition,Maverick City Music,24,510,8,97,566.25
52,African Giant,Burna Boy,29,510,21,28,567.0
53,Legends Never Die,Juice WRLD,46,510,15,54,584.5
54,SATISFIED,Mercy Chinwo,69,80,450,20,604.0
55,Death Race For Love,Juice WRLD,53,510,25,91,610.75
56,KHALED KHALED,DJ Khaled,27,510,65,64,618.0
57,Welcome to O'Block,King Von,160,28,300,520,618.0
58,Ayo,Wizkid,61,510,38,59,623.75
59,Ea$t N We$t,EP - Dremo & Jeriq,77,510,32,38,628.5
60,Outside,Burna Boy,78,510,29,75,635.75
61,Pray 4 Love (Deluxe),Rod Wave,163,58,289,520,640.0
62,Kommunity Service,YG & Mozzy,241,140,143,520,654.0
63,Back of My Mind,H.E.R.,13,510,4,520,657.0
64,Goodbye & Good Riddance (Anniversary Edition),Juice WRLD,100,510,26,93,659.25
65,Space and Time,Justine Skye,177,198,158,520,663.0
66,Heaven Or Hell,Don Toliver,104,193,238,520,665.0
67,Before the Chaos-EP,P - Erigga,64,510,91,15,668.75
68,Mother Nature,Angelique Kidjo,114,510,47,34,679.5
69,Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke,22,510,132,66,680.5
70,Big Conspiracy,J Hus,31,510,11,520,682.0
71,Old Church Basement,Elevation Worship & Maverick City Music,18,510,28,520,686.0
72,Dum and Dummer 2,Young Dolph & Key Glock,234,128,198,520,690.0
73,I LOVE GIRLS WITH TROBUL,Sarz & WurlD,165,100,306,520,701.0
74,Hollywood's Bleeding,Post Malone,50,510,34,520,724.0
75,Hot Pink,Doja Cat,259,57,278,520,724.0
76,ASTROWORLD,Travis Scott,45,510,57,520,742.0
77,Torilyna's Secret Book,EP - Tori Keeche,228,179,206,520,743.0
78,Afro Pop Vol1,Adekunle Gold,139,25,450,520,744.0
79,The Gospel of the Kingdom,Dunsin Oyekan,37,510,194,24,747.0
80,LIGHT (The EP),MohBad,146,24,450,520,750.0
81,SoundMan Vol. 1,StarBoy,36,510,74,520,750.0
82,SOUR,Olivia Rodrigo,28,510,83,520,751.0
83,Sounds From The Other Side,Wizkid,79,510,33,520,752.0
84,The Message,Minister GUC,98,76,450,520,754.0
85,When It's All Said And Done... Take Time,GIVĒON,85,510,30,520,755.0
86,I'll Say It For You,Dax,500,37,88,520,755.0
87,WUNNA,Gunna,52,125,450,520,757.0
88,Product of My Environment,Abra Cadabra,83,510,35,520,758.0
89,THE ANGEL YOU DON'T KNOW,Amaarae,39,510,84,520,763.0
90,Good News,Megan Thee Stallion,232,96,305,520,763.0
91,Zulu Man With Some Power,Nasty C,107,510,19,520,766.0
92,East Atlanta Love Letter,6LACK,80,510,50,520,770.0
93,Be Right Back,Jorja Smith,94,510,36,520,770.0
94,My Turn (Deluxe),Lil Baby,58,510,75,520,773.0
95,Alagbe,Qdot,500,91,182,17,777.25
96,Bad Commando,Rema,500,54,96,520,780.0
97,The Human Condition,Jon Bellion,119,510,24,520,783.0
98,Destined 2 Win,Lil Tjay,63,510,82,520,785.0
99,SoundGod Fest Reloaded,Runtown,115,90,450,520,785.0
100,Culture,Migos,500,45,111,520,786.0
101,Simisola,Simi,306,26,450,42,792.5
102,Scam,EP - G4 Boyz,141,510,27,520,808.0
103,DAMN.,Kendrick Lamar,120,510,54,520,814.0
104,Dark Lane Demo Tapes,Drake,75,510,103,520,818.0
105,Hood Boy Dreams,EP - Jeriq,109,510,69,520,818.0
106,Shottaz-4Eva,MO3,208,33,450,520,821.0
107,?,XXXTENTACION,136,510,49,520,825.0
108,Village,Jacob Banks,152,510,37,520,829.0
109,CLOUDS (THE MIXTAPE),NF,172,510,18,520,830.0
110,Hopeless Romantic,EP - Tomi Thomas,124,510,72,520,836.0
111,The Prince I Became (Deluxe Version),Ric Hassani,500,88,121,520,839.0
112,Ayra Starr,EP - Ayra Starr,93,510,108,520,841.0
113,The Leaktape,EP - Peruzzi,147,510,56,520,843.0
114,Signed To The Streets 3,Lil Durk,156,110,450,520,846.0
115,My Struggle,Unfoonk & Young Stoner Life,49,510,157,520,846.0
116,Scorpion,Drake,89,510,118,520,847.0
117,Beautiful Thugger Girls,Young Thug,92,510,119,520,851.0
118,Drip or Drown 2,Gunna,319,187,216,520,852.0
119,Ghetto Gospel,Rod Wave,217,56,450,520,853.0
120,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,143,510,78,520,861.0
121,199X,Suté Iwar,81,202,450,520,863.0
122,While The World Was Burning,SAINt JHN,84,510,141,520,865.0
123,Love or the Word (EP),Jaywillz,113,510,114,520,867.0
124,So Much Fun,Young Thug,186,101,450,520,867.0
