rank,album,artist,apple,audiomark,deezer,boom,RT
1,Made In Lagos,Wizkid,3,5,6,10,16.5
2,Twice As Tall,Burna Boy,7,8,11,4,27.0
3,Somewhere Between Beauty & Magic,Joeboy,10,1,17,1,28.25
4,Sex Over Love,Blaqbonez,6,17,8,29,38.25
5,LV N ATTN,EP - Lojay & Sarz,1,33,2,32,44.0
6,Man Of Galilee,Judikay,18,19,21,5,59.25
7,APOLLO,Fireboy DML,27,6,34,8,69.0
8,A Better Time,Davido,12,12,46,9,72.25
9,High Tension,Bella Shmurda,39,4,24,42,77.5
10,Please Excuse Me for Being Antisocial,Roddy Ricch,37,18,14,56,83.0
11,WONDALAND,Teni,16,3,63,11,84.75
12,Rum & Boogie,Peruzzi,32,15,25,66,88.5
13,Cultural Praise,KCee & Okwesili Eze Group,19,40,30,62,104.5
14,Boo of the Booless,Chike,15,30,59,6,105.5
15,What Have We Done,EP - Omah Lay,45,7,79,3,131.75
16,Get Layd,EP - Omah Lay,48,11,81,17,144.25
17,"Laughter, Tears & Goosebumps",Fireboy DML,51,16,82,18,153.5
18,Boyfriend,CKay,43,27,88,64,174.0
19,TOO LATE TOO LIT (EP),KDDO,23,85,55,53,176.25
20,SoulFly,Rod Wave,34,10,37,520,211.0
21,A Good Time,Davido,69,50,77,61,211.25
22,Haitian Boy Kodak,Kodak Black,22,43,33,520,228.0
23,THE GOAT,Polo G,53,9,36,520,228.0
24,Wild West,Central Cee,47,53,9,520,239.0
25,SATISFIED,Mercy Chinwo,61,69,115,21,250.25
26,ROOTS,The Cavemen.,8,135,15,520,288.0
27,...Shall We Begin...,Laycon,14,45,235,41,304.25
28,Off the Yak,Young M.A,42,26,113,520,311.0
29,For Broken Ears,Tems,26,38,119,520,313.0
30,Slime Language 2 (Deluxe),"Young Stoner Life, Young Thug & Gunna",28,73,107,520,338.0
31,OXYGENE,EP - Oxlade,65,62,89,520,346.0
32,King Of Love,Kizz Daniel,218,39,98,27,361.75
33,Yabasi,Basketmouth,36,117,94,520,377.0
34,I LOVE GIRLS WITH TROBUL,Sarz & WurlD,105,90,53,520,378.0
35,CITIZEN OF THE WORLD,King Perryy,80,105,105,520,420.0
36,The Palmwine Express,Show Dem Camp,86,130,80,520,426.0
37,JACKBOYS,JACKBOYS & Travis Scott,152,137,49,520,468.0
38,Carpe Diem,Olamide,40,2,450,2,492.5
39,Afro Pop Vol. 1,Adekunle Gold,85,23,261,520,499.0
40,The Voice of the Heroes,Lil Baby & Lil Durk,2,510,1,16,517.0
41,PANDEMIC,EP - Ruger,5,510,3,7,519.75
42,Justice,Justin Bieber,9,510,13,13,535.25
43,African Giant,Burna Boy,24,510,10,28,551.0
44,KHALED KHALED,DJ Khaled,13,510,16,52,552.0
45,Top Chef Gotit,Lil Gotit,187,136,110,520,563.0
46,Shiesty Season,Spring Deluxe - Pooh Shiesty,232,41,170,520,573.0
47,Goodbye & Good Riddance (Anniversary Edition),Juice WRLD,60,510,18,38,597.5
48,Before the Chaos - EP,P - Erigga,41,510,44,12,598.0
49,Ea$t N We$t,EP - Dremo & Jeriq,49,510,42,31,608.75
50,Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke,21,510,68,60,614.0
51,ZaZa Vibes,L.A.X,201,102,187,520,620.0
52,Just Cause Y'all Waited 2 (Deluxe),Lil Durk,29,13,450,520,622.0
53,Gratitude,Timaya,136,24,450,57,624.25
54,WUNNA,Gunna,59,127,312,520,628.0
55,Shockwave,Marshmello,211,160,132,520,633.0
56,Legends Never Die,Juice WRLD,50,510,61,50,633.5
57,Twelve A.M,EP - Crayon,150,31,450,14,634.5
58,Outside,Burna Boy,62,510,48,68,637.0
59,SoundGod Fest Reloaded,Runtown,96,74,450,91,642.75
60,Simisola,Simi,164,29,450,40,653.0
61,SOUR,Olivia Rodrigo,17,510,7,520,664.0
62,Death Race For Love,Juice WRLD,76,510,62,81,668.25
63,Beam Me Up Scotty,Nicki Minaj,35,510,108,93,676.25
64,Hopeless Romantic,EP - Tomi Thomas,25,510,12,520,677.0
65,Alagbe,Qdot,151,88,450,15,692.75
66,Superstar,Wizkid,79,510,97,46,697.5
67,Old Church Basement,Elevation Worship & Maverick City Music,11,510,52,520,703.0
68,Scam,EP - G4 Boyz,58,510,5,520,703.0
69,High Off Life,Future,99,25,450,520,704.0
70,Hallelujah Again (Revelation 19:3),Nathaniel Bassey,78,510,120,19,712.75
71,Big Conspiracy,J Hus,30,510,47,520,717.0
72,Top,YoungBoy Never Broke Again,95,42,450,520,717.0
73,Hollywood's Bleeding,Post Malone,52,510,29,520,721.0
74,Be Right Back,Jorja Smith,56,510,31,520,727.0
75,The Cross: My Gaze,Mercy Chinwo,209,49,450,83,728.75
76,The Gospel of the Kingdom,Dunsin Oyekan,38,510,176,23,729.75
77,Razor,Cheque,500,34,73,520,737.0
78,I'll Say It For You,Dax,500,32,76,520,738.0
79,Mixed Emotions -EP,EP - Abra Cadabra,233,104,271,520,738.0
80,Hall of Fame,Polo G,20,510,78,520,738.0
81,Product of My Environment,Abra Cadabra,63,510,35,520,738.0
82,LIGHT (The EP),MohBad,137,22,450,520,739.0
83,The Message,Minister GUC,87,76,450,520,743.0
84,SAVAGE MODE II,21 Savage & Metro Boomin,93,72,450,520,745.0
85,East Atlanta Love Letter,6LACK,71,510,40,520,751.0
86,When It's All Said And Done... Take Time,GIVĒON,66,510,45,520,751.0
87,Zulu Man With Some Power,Nasty C,91,510,23,520,754.0
88,Destined 2 Win,Lil Tjay,75,510,41,520,756.0
89,Bad Commando,Rema,500,55,71,520,756.0
90,The Human Condition,Jon Bellion,98,510,22,520,760.0
91,Sounds From The Other Side,Wizkid,81,510,39,520,760.0
92,Ayra Starr,EP - Ayra Starr,67,510,58,520,765.0
93,While The World Was Burning,SAINt JHN,64,510,64,520,768.0
94,Pray 4 Love,Rod Wave,139,51,450,520,770.0
95,ASTROWORLD,Travis Scott,46,510,90,520,776.0
96,PSYCHODRAMA,Dave,100,510,38,520,778.0
97,beerbongs & bentleys,Post Malone,115,510,32,520,787.0
98,Culture,Migos,155,52,450,520,787.0
99,Exodus,DMX,131,510,20,520,791.0
100,Mirage,Mannywellz,103,510,54,520,797.0
101,2014 Forest Hills Drive,J. Cole,88,510,69,520,797.0
102,SoundMan Vol. 1,StarBoy,44,510,117,520,801.0
103,Scaled And Icy,twenty one pilots,135,510,27,520,802.0
104,Ghetto Lenny's Love Songs,SAINt JHN,55,510,109,520,804.0
105,Die A Legend,Polo G,77,510,99,520,816.0
106,Strings And Bling,Nasty C,127,510,50,520,817.0
107,The Voice (Deluxe),Lil Durk,33,510,146,520,819.0
108,Yellow,Brymo,109,510,75,520,824.0
109,Mandy & The Jungle,Santi,74,510,112,520,826.0
110,Dark Lane Demo Tapes,Drake,92,510,95,520,827.0
111,Chrome Eccentric Ep,Zinoleesky,500,20,178,520,828.0
112,Rema Freestyle EP,Rema,500,108,91,520,829.0
113,Asa (Asha),Asa,126,510,70,520,836.0
114,Pluto x Baby Pluto,Future & Lil Uzi Vert,192,68,450,520,840.0
115,Signed To The Streets 3,Lil Durk,148,114,450,520,842.0
116,My Turn (Deluxe),Lil Baby,54,510,151,520,845.0
117,FATHER OF 4,Offset,113,510,93,520,846.0
118,More Life,Drake,120,510,86,520,846.0
119,Welcome to O'Block,King Von,500,28,190,520,848.0
120,So Much Fun,Young Thug,180,93,450,520,853.0
121,CLOUDS (THE MIXTAPE),NF,196,510,26,520,862.0
122,Hakuna Matata,Dotman,500,61,283,75,862.75
123,T R A P S O U L (Deluxe),Bryson Tiller,190,98,450,520,868.0
124,B4 The Storm (Complete Edition),Internet Money,138,510,100,520,878.0
125,Scorpion,Drake,94,510,144,520,878.0
126,Culture II,Migos,146,510,96,520,882.0
127,The Life Of Pi'erre 5,Pi'erre Bourne,163,510,83,520,886.0
128,Views,Drake,106,510,142,520,888.0
129,Starboy,The Weeknd,110,510,141,520,891.0
130,The Search,NF,203,510,51,520,894.0
131,Good News,Megan Thee Stallion,500,77,193,520,900.0
132,American Teen,Khalid,156,510,106,520,902.0
133,Culture III,Migos,143,510,128,520,911.0
134,DAMN.,Kendrick Lamar,141,510,133,520,914.0
135,Common Sense,J Hus,111,510,163,520,914.0
136,All My Demons Greeting Me As A Friend (Deluxe),AURORA,82,510,196,520,918.0
137,Feed Tha Streets II,Roddy Ricch,83,510,199,520,922.0
138,THE ANGEL YOU DON'T KNOW,Amaarae,102,510,183,520,925.0
139,True 2 Myself,Lil Tjay,166,510,121,520,927.0
140,JORDI (Deluxe),Maroon 5,161,510,129,520,930.0
141,Happy Birthday Kodak,EP - Kodak Black,160,510,130,520,930.0
142,Distant Relatives,"Nas & Damian ""Jr. Gong"" Marley",206,510,85,520,931.0
143,Love Goes,Sam Smith,123,510,171,520,934.0
144,NOT ALL HEROES WEAR CAPES,Metro Boomin,104,510,191,520,935.0
145,Artist 2.0,A Boogie wit da Hoodie,210,153,450,520,943.0
146,L.I.F.E,Leaving an Impact for Eternity (Deluxe Edition) - Burna Boy,177,510,126,520,943.0
147,Time & Chance (Deluxe),Odumodublvck,222,510,84,520,946.0
148,Anthems & Glory (Live),Todd Dulaney,171,510,135,520,946.0
149,Studying Abroad: Extended Stay,Masego,90,510,225,520,955.0
150,Moments in Between,Ruth B.,184,510,131,520,955.0
151,Future Nostalgia,Dua Lipa,216,510,102,520,958.0
152,Take Care (Deluxe),Drake,134,510,188,520,962.0
153,Rema Compilation,Rema,500,14,322,520,966.0
154,Stoney,Post Malone,176,510,152,520,968.0
155,ANTI,Rihanna,175,510,156,520,971.0
156,Maverick City Vol. 3 Part 1,Maverick City Music,172,510,162,520,974.0
157,Wildfire,prettyboydo,213,510,124,520,977.0
158,Changes,Justin Bieber,223,510,118,520,981.0
159,Lucid,Aṣa,234,510,111,520,985.0
160,Better Days,Blezed,185,510,160,520,985.0
161,F*CK LOVE (SAVAGE),The Kid LAROI,167,510,186,520,993.0
162,Beautiful Thugger Girls,Young Thug,84,510,274,520,998.0
163,Love & Light ep,Joeboy,500,36,450,51,998.75
164,Three,Patoranking,500,47,450,25,1003.25
165,Indigo,Chris Brown,140,510,226,520,1006.0
166,Omo Charlie Champagne Vol1,Simi,500,44,450,49,1006.25
167,After Hours,The Weeknd,31,510,337,520,1008.0
168,The Greatest Showman (Original Motion Picture Soundtrack),"Benj Pasek & Justin Paul, Hugh Jackman, Keala Settle, Zac Efron, Zendaya",149,510,231,520,1020.0
169,The Off-Season,J. Cole,500,510,4,34,1022.5
170,Something Else,Mr Eazi,500,63,450,45,1024.25
171,?,XXXTENTACION,142,510,244,520,1026.0
172,The Course of the Inevitable,Lloyd Banks,231,510,158,520,1029.0
173,Kommunity Service,YG & Mozzy,500,101,302,520,1033.0
174,Meet the Woo 2 (Deluxe),Pop Smoke,57,510,450,90,1039.5
175,Deal with It,Phyno,500,79,450,67,1045.75
176,Ayo,Wizkid,72,510,450,63,1047.75
177,"good kid, m.A.A.d city (Deluxe)",Kendrick Lamar,122,510,287,520,1049.0
178,LOL (Lord of Lamba),Naira Marley,500,86,450,58,1050.5
179,Ignorance is Bliss,Skepta,174,510,241,520,1055.0
180,The Life Of Pablo,Kanye West,179,510,243,520,1062.0
181,Yes and Amen,Tope Alabi,97,510,450,24,1063.0
182,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,162,510,264,520,1066.0
183,Purpose (Deluxe),Justin Bieber,221,510,213,520,1074.0
184,The Prodigal,Mr. P,500,121,450,35,1079.75
185,JESUS IS KING,Kanye West,207,510,233,520,1080.0
186,Blonde,Frank Ocean,183,510,270,520,1093.0
187,The Of,eason - J. Cole,4,510,450,520,1094.0
188,Free Dem Boyz,42 Dugg,107,510,349,520,1096.0
189,Ecstasy,Lil Kesh,500,140,450,26,1096.5
190,TOP PRIZE,ALKALINE,500,21,450,520,1101.0
191,Country Boy,DaBlixx Osha,197,510,266,520,1103.0
192,Fuji the Sound,EP - K1 De Ultimate,133,510,450,44,1104.0
193,Meet the Woo,Pop Smoke,128,510,450,77,1107.25
194,In The Lonely Hour,Sam Smith,225,510,249,520,1114.0
195,NEW ERA,Kiss Daniel,500,35,450,520,1115.0
196,Shottaz 4Eva,MO3,500,37,450,520,1117.0
197,BLAME IT ON BABY,DaBaby,204,510,275,520,1119.0
198,Dying to Live,Kodak Black,112,510,367,520,1119.0
199,Ghetto Gospel,Rod Wave,500,46,450,520,1126.0
200,Flavour of Africa,Flavour,153,510,450,54,1126.5
201,The King Is Coming,Nathaniel Bassey,159,510,450,33,1127.25
202,Soundgod Fest Vol.1,Runtown,500,48,450,520,1128.0
203,Just Cause Y'all Waited,Lil Durk,500,54,450,520,1134.0
204,Love Songs 4 The Streets 2,Lil Durk,500,56,450,520,1136.0
205,Know You,Ladipoe,500,57,450,520,1137.0
206,TattleTales,6ix9ine,500,58,450,520,1138.0
207,Hot Pink,Doja Cat,500,59,450,520,1139.0
208,The Prince I Became,Ric Hassani,500,60,450,520,1140.0
209,Lil Durk Presents: Loyal Bros,Only The Family,500,64,450,520,1144.0
210,Herstory in the Making,Young M.A,500,65,450,520,1145.0
211,TIME,Yaw Tog,500,66,450,520,1146.0
212,The Spirit of Light,Tope Alabi & Ty Bello,169,510,450,69,1146.25
213,Chulo Vibes,Timaya,500,67,450,520,1147.0
214,Billionaire,Teni,500,70,450,520,1150.0
215,Grass 2 Grace,2Face Idibia,500,510,122,73,1150.25
216,Hoodie SZN,A Boogie Wit Da Hoodie,500,71,450,520,1151.0
