rank,album,artist,Previous week,weeks on chart
1,19 & Dangerous,Ayra Starr,0,1
2,Made In Lagos,Wizkid,3,9
3,High Tension 2.0,Dangbana Republik & Bella Shmurda,1,5
4,UY Scuti,Olamide,2,8
5,Twice As Tall,Burna Boy,5,9
6,LV N ATTN,EP - Lojay & Sarz,6,9
7,"Kpos Lifestyle, Vol. 1",Ajebo Hustlers,4,3
8,A Better Time,Davido,9,9
9,Sex Over Love,Blaqbonez,12,9
10,"Laughter, Tears & Goosebumps",Fireboy DML,19,9
11,WONDALAND,Teni,7,9
12,Nothing To Prove,EP - Victor AD,43,2
13,Get Layd,EP - Omah Lay,17,9
14,Please Excuse Me for Being Antisocial,Roddy Ricch,26,9
15,High Tension,Bella Shmurda,15,6
16,What Have We Done,EP - Omah Lay,20,9
17,Superstar,Wizkid,18,9
18,Boo of the Booless,Chike,13,9
19,Carpe Diem,Olamide,24,9
20,Rudykillus,Rudeboy,0,1
21,"Afro Pop, Vol. 1",Adekunle Gold,35,2
22,A True Champion,Rexxie,14,6
23,ROOTS,The Cavemen.,28,6
24,Moon Boy,Yung Bleu,22,3
25,Queendoncom,Yemi Alade,0,1
26,For Broken Ears,Tems,27,9
27,THE GOAT,Polo G,33,9
28,A Good Time,Davido,23,9
29,OXYGENE,EP - Oxlade,29,9
30,Love Deep High Life,Omawumi,0,1
31,Haitian Boy Kodak,Kodak Black,30,9
32,Just A Matter of Slime,YNW Melly,0,1
33,Outside,Burna Boy,32,2
34,SATISFIED,Mercy Chinwo,54,3
35,Yabasi,Basketmouth,34,9
36,APOLLO,Fireboy DML,11,9
37,TOP MEMBA,Kida Kudz,10,3
38,Boyfriend,CKay,39,9
39,Wild West,Central Cee,31,9
40,Cultural Praise,KCee & Okwesili Eze Group,21,9
41,Slime Language 2,"Young Stoner Life, Young Thug & Gunna",0,1
42,Somewhere Between Beauty & Magic,Joeboy,8,9
43,The Palmwine Express,Show Dem Camp,88,9
44,The House Is Burning,Isaiah Rashad,0,1
45,I LOVE GIRLS WITH TROBUL,Sarz & WurlD,0,1
46,Man Of Galilee,Judikay,16,9
47,We're All Alone In This Together,Dave,51,2
48,Justice,Justin Bieber,47,9
49,Faith,Pop Smoke,0,1
50,PANDEMIC,EP - Ruger,45,9
51,African Giant,Burna Boy,49,9
52,The Message,Minister GUC,74,9
53,The Voice of the Heroes,Lil Baby & Lil Durk,46,9
54,Hall of Fame,Polo G,48,9
55,No Pressure,Sarkodie,53,2
56,Ayo,Wizkid,0,1
57,Water & Garri,EP - Tiwa Savage,0,1
58,The Gospel of the Kingdom,Dunsin Oyekan,90,9
59,Legends Never Die,Juice WRLD,55,9
60,Love or the Word (EP),Jaywillz,52,5
61,Death Race For Love,Juice WRLD,59,9
62,Clone Wars Vol. 5 - The Algorhythm,The Algorhythm - Show Dem Camp,25,2
63,New Season,Chidinma,0,1
64,Planet Her,Doja Cat,60,2
65,King's Disease II,Nas,0,1
66,Happier Than Ever,Billie Eilish,95,2
67,Just Cause Y'all Waited 2 (Deluxe),Lil Durk,0,1
68,...Shall We Begin...,Laycon,61,9
69,All In,EP - Skepta,0,1
70,Old Church Basement,Elevation Worship & Maverick City Music,83,9
71,Big Conspiracy,J Hus,65,9
72,The Voice (Deluxe),Lil Durk,64,6
73,Three,Patoranking,0,1
74,Top,YoungBoy Never Broke Again,71,9
75,SoulFly,Rod Wave,72,9
76,My Turn (Deluxe),Lil Baby,77,3
77,Sweetness,EP - Obongjayar & Sarz,58,2
78,Freedom.,EP - Justin Bieber,0,1
79,High Off Life,Future,38,9
80,Black History Project (Live from London),EP - The Spirituals,0,1
81,KHALED KHALED,DJ Khaled,76,9
82,Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke,0,1
83,SAVAGE MODE II,21 Savage & Metro Boomin,42,9
84,Ayra Starr,EP - Ayra Starr,0,1
85,Rum & Boogie,Peruzzi,62,9
86,SoundMan Vol. 1,StarBoy,78,4
87,King Of Love,Kizz Daniel,36,6
88,Sounds From The Other Side,Wizkid,86,2
89,SOUR,Olivia Rodrigo,0,1
90,WUNNA,Gunna,84,3
91,Goodbye & Good Riddance,Juice WRLD,0,1
92,Itheep,Moelogo,0,1
93,Ecstasy,Lil Kesh,0,1
94,So Much Fun,Young Thug,0,1
95,Culture III,Migos,69,8
96,Budweiser (Remix),Various Artists,0,1
97,Zulu Man With Some Power,Nasty C,89,3
98,New Era,Kiss Daniel,0,1
99,Adolescence,Unknown T,0,1
100,PSYCHODRAMA,Dave,67,5
