rank,album,artist,Previous week,weeks on chart
1,UY Scuti,Olamide,45,2
2,Made In Lagos,Wizkid,1,3
3,Somewhere Between Beauty & Magic,Joeboy,2,3
4,Twice As Tall,Burna Boy,3,3
5,Sex Over Love,Blaqbonez,6,3
6,WONDALAND,Teni,5,3
7,LV N ATTN,EP - Lojay & Sarz,4,3
8,Boo of the Booless,Chike,10,3
9,APOLLO,Fireboy DML,8,3
10,A Better Time,Davido,7,3
11,Superstar,Wizkid,15,3
12,High Tension ep,Bella Shmurda,0,1
13,Man Of Galilee,Judikay,12,3
14,Please Excuse Me for Being Antisocial,Roddy Ricch,19,3
15,"Laughter, Tears & Goosebumps",Fireboy DML,21,3
16,Cultural Praise,KCee & Okwesili Eze Group,14,3
17,PANDEMIC,EP - Ruger,18,3
18,Carpe Diem,Olamide,13,3
19,Rum & Boogie,Peruzzi,29,3
20,THE GOAT,Polo G,33,3
21,SoulFly,Rod Wave,22,3
22,Get Layd,EP - Omah Lay,17,3
23,For Broken Ears,Tems,41,3
24,Just Cause Y'all Waited 2 (Deluxe),Lil Durk,25,3
25,Wild West,Central Cee,23,3
26,Gratitude,Timaya,56,3
27,A Good Time,Davido,24,3
28,...Shall We Begin...,Laycon,40,3
29,OXYGENE,EP - Oxlade,31,3
30,Yabasi,Basketmouth,82,3
31,Haitian Boy Kodak,Kodak Black,64,3
32,Ice Daddy,Gucci Mane,0,1
33,Boyfriend,CKay,16,3
34,Roots,The Cavemen.,0,1
35,CITIZEN OF THE WORLD,King Perryy,36,3
36,TOO LATE TOO LIT (EP),KDDO,26,3
37,Happy Birthday Kodak,EP - Kodak Black,28,2
38,SAVAGE MODE II,21 Savage & Metro Boomin,32,3
39,Slime Language 2 (Deluxe),"Young Stoner Life, Young Thug & Gunna",0,1
40,The Palmwine Express,Show Dem Camp,38,3
41,Top,YoungBoy Never Broke Again,76,3
42,High Off Life,Future,70,3
43,Off the Yak,Young M.A,30,3
44,What Have We Done,EP - Omah Lay,11,3
45,Culture III,Migos,62,2
46,Hall of Fame,Polo G,39,3
47,The Voice of the Heroes,Lil Baby & Lil Durk,44,3
48,Justice,Justin Bieber,50,3
49,JORDI (Deluxe),Maroon 5,43,2
50,The Golden Boy,KiDi,0,1
51,Jubilee: Juneteenth Edition,Maverick City Music,0,1
52,African Giant,Burna Boy,47,3
53,Legends Never Die,Juice WRLD,60,3
54,SATISFIED,Mercy Chinwo,20,3
55,Death Race For Love,Juice WRLD,58,3
56,KHALED KHALED,DJ Khaled,51,3
57,Welcome to O'Block,King Von,0,1
58,Ayo,Wizkid,55,2
59,Ea$t N We$t,EP - Dremo & Jeriq,61,3
60,Outside,Burna Boy,57,3
61,Pray 4 Love (Deluxe),Rod Wave,0,1
62,Kommunity Service,YG & Mozzy,0,1
63,Back of My Mind,H.E.R.,0,1
64,Goodbye & Good Riddance (Anniversary Edition),Juice WRLD,54,3
65,Space and Time,Justine Skye,0,1
66,Heaven Or Hell,Don Toliver,0,1
67,Before the Chaos-EP,P - Erigga,53,2
68,Mother Nature,Angelique Kidjo,0,1
69,Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke,65,3
70,Big Conspiracy,J Hus,68,3
71,Old Church Basement,Elevation Worship & Maverick City Music,69,3
72,Dum and Dummer 2,Young Dolph & Key Glock,0,1
73,I LOVE GIRLS WITH TROBUL,Sarz & WurlD,48,3
74,Hollywood's Bleeding,Post Malone,80,3
75,Hot Pink,Doja Cat,0,1
76,ASTROWORLD,Travis Scott,73,3
77,Torilyna's Secret Book,EP - Tori Keeche,0,1
78,Afro Pop Vol1,Adekunle Gold,0,1
79,The Gospel of the Kingdom,Dunsin Oyekan,78,3
80,LIGHT (The EP),MohBad,81,3
81,SoundMan Vol. 1,StarBoy,74,2
82,SOUR,Olivia Rodrigo,67,3
83,Sounds From The Other Side,Wizkid,93,3
84,The Message,Minister GUC,79,3
85,When It's All Said And Done... Take Time,GIVĒON,99,3
86,I'll Say It For You,Dax,0,1
87,WUNNA,Gunna,88,3
88,Product of My Environment,Abra Cadabra,85,3
89,THE ANGEL YOU DON'T KNOW,Amaarae,71,2
90,Good News,Megan Thee Stallion,0,1
91,Zulu Man With Some Power,Nasty C,100,3
92,East Atlanta Love Letter,6LACK,0,1
93,Be Right Back,Jorja Smith,0,1
94,My Turn (Deluxe),Lil Baby,0,1
95,Alagbe,Qdot,86,3
96,Bad Commando,Rema,0,1
97,The Human Condition,Jon Bellion,90,3
98,Destined 2 Win,Lil Tjay,83,3
99,SoundGod Fest Reloaded,Runtown,84,3
100,Culture,Migos,37,3
