rank,album,artist,Previous week,weeks on chart
1,UY Scuti,Olamide,2,4
2,A True Champion,Rexxie,14,2
3,Made In Lagos,Wizkid,1,5
4,WONDALAND,Teni,8,5
5,Twice As Tall,Burna Boy,3,5
6,LV N ATTN,EP - Lojay & Sarz,5,5
7,Somewhere Between Beauty & Magic,Joeboy,4,5
8,Sex Over Love,Blaqbonez,6,5
9,High Tension,Bella Shmurda,9,2
10,A Better Time,Davido,12,5
11,Boo of the Booless,Chike,10,5
12,APOLLO,Fireboy DML,7,5
13,Masta Groove,Masterkraft,57,2
14,Carpe Diem,Olamide,28,5
15,Man Of Galilee,Judikay,13,5
16,Superstar,Wizkid,18,5
17,A Good Time,Davido,35,5
18,In The Dark,Mizzle,62,2
19,For Broken Ears,Tems,24,5
20,Cultural Praise,KCee & Okwesili Eze Group,16,5
21,Boyfriend,CKay,23,5
22,TOO LATE TOO LIT (EP),KDDO,0,1
23,ROOTS,The Cavemen.,26,2
24,Yabasi,Basketmouth,36,5
25,THE GOAT,Polo G,25,5
26,Wild West,Central Cee,27,5
27,Afro Pop Vol. 1,Adekunle Gold,31,2
28,The Palmwine Express,Show Dem Camp,33,5
29,"Laughter, Tears & Goosebumps",Fireboy DML,11,5
30,Off the Yak,Young M.A,32,5
31,Just Cause Y'all Waited 2 (Deluxe),Lil Durk,21,5
32,SoulFly,Rod Wave,22,5
33,Haitian Boy Kodak,Kodak Black,67,5
34,Life of Betrayal 2x,Yungeen Ace,96,2
35,High Off Life,Future,70,5
36,Welcome to O'Block,King Von,48,3
37,What Have We Done,EP - Omah Lay,30,5
38,Get Layd,EP - Omah Lay,17,5
39,High Tension 2.0,Dangbana Republik & Bella Shmurda,0,1
40,Please Excuse Me for Being Antisocial,Roddy Ricch,20,5
41,PANDEMIC,EP - Ruger,42,5
42,The Voice of the Heroes,Lil Baby & Lil Durk,43,5
43,WUNNA,Gunna,0,1
44,...Shall We Begin...,Laycon,15,5
45,SoundGod Fest Reloaded,Runtown,50,5
46,Culture III,Migos,46,4
47,Hall of Fame,Polo G,44,5
48,African Giant,Burna Boy,54,5
49,Rum & Boogie,Peruzzi,19,5
50,Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke,55,5
51,Justice,Justin Bieber,45,5
52,Heaven Or Hell,Don Toliver,69,3
53,KHALED KHALED,DJ Khaled,52,5
54,SATISFIED,Mercy Chinwo,53,5
55,Clone Wars Vol. 5 (The Algorhythm),The Algorhythm - Show Dem Camp,0,1
56,Love or the Word (EP),Jaywillz,0,1
57,Legends Never Die,Juice WRLD,58,5
58,Outside,Burna Boy,29,5
59,Mars,EP - BadboyMarz,0,1
60,Death Race For Love,Juice WRLD,60,5
61,Before the Chaos,Erigga,61,2
62,Planet Her (Deluxe),Doja Cat,0,1
63,Simisola,Simi,0,1
64,The King Is Coming,Nathaniel Bassey,0,1
65,Gratitude,Timaya,65,5
66,The Gospel of the Kingdom,Dunsin Oyekan,73,5
67,SOUR,Olivia Rodrigo,75,5
68,Slime Language 2 (Deluxe),"Young Stoner Life, Young Thug & Gunna",71,3
69,CALL ME IF YOU GET LOST,"Tyler, The Creator",64,2
70,Big Conspiracy,J Hus,72,5
71,King Of Love,Kizz Daniel,39,2
72,Top,YoungBoy Never Broke Again,91,5
73,ASTROWORLD,Travis Scott,0,1
74,Hallelujah Again (Revelation 19:3),Nathaniel Bassey,79,2
75,OXYGENE,EP - Oxlade,34,5
76,The Message,Minister GUC,76,5
77,Zulu Man With Some Power,Nasty C,89,5
78,Old Church Basement,Elevation Worship & Maverick City Music,66,5
79,Meet The Woo 2 (Deluxe),Pop Smoke,78,2
80,My Turn (Deluxe),Lil Baby,83,3
81,JORDI (Deluxe),Maroon 5,77,4
82,SAVAGE MODE II,21 Savage & Metro Boomin,88,5
83,Product of My Environment,Abra Cadabra,92,5
84,The Cross: My Gaze,Mercy Chinwo,80,2
85,25,G Herbo,0,1
86,When It's All Said And Done... Take Time,GIVĒON,0,1
87,Chrome (Eccentric Ep),EP - Zinoleesky,0,1
88,LIGHT (The EP),MohBad,0,1
89,The Golden Boy,KiDi,40,3
90,Hollywood's Bleeding,Post Malone,81,5
91,God's Favourite Baby,"Limoblaze, Marizu, CalledOut Music, Sam Rivera, Asha Elia, CASS & Ada Ehi",0,1
92,Ea$t N We$t,EP - Dremo & Jeriq,0,1
93,While The World Was Burning,SAINt JHN,0,1
94,The Voice (Deluxe),Lil Durk,90,2
95,Yellow,Brymo,0,1
96,Goodbye & Good Riddance,Juice WRLD,0,1
97,Jubilee: Juneteenth Edition,Maverick City Music,74,3
98,PSYCHODRAMA,Dave,0,1
99,Alagbe,Qdot,0,1
100,Happy Birthday Kodak,EP - Kodak Black,84,4
