rank,album,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,APOLLO,Fireboy DML,4,4,1,1,1,2,6,2.714285714
2,Somewhere Between Beauty & Magic,Joeboy,2,2,2,2,4,5,4,3
3,Carpe Diem,Olamide,3,3,5,4,3,3,2,3.285714286
4,WONDALAND,Teni,1,1,3,3,5,6,5,3.428571429
5,High Tension,Bella Shmurda,5,5,4,5,2,4,3,4
6,Made in Lagos,Wizkid,6,6,7,6,7,7,7,6.571428571
7,What Have We Done,Omah Lay,9,9,6,10,6,8,8,8
8,Rema Compilation,Rema,10,10,8,9,8,9,9,9
9,Just Cause Y'all Waited 2 (Deluxe),Lil Durk,15,15,12,14,9,11,13,12.71428571
10,"Laughter, Tears & Goosebumps",Fireboy DML,14,14,17,16,10,17,14,14.57142857
11,Twice As Tall,Burna Boy,8,8,11,13,57,10,10,16.71428571
12,Chrome Eccentric Ep,Zinoleesky,20,23,24,23,11,21,21,20.42857143
13,Man Of Galilee,Judikay,19,21,22,21,14,25,22,20.57142857
14,TOP PRIZE,ALKALINE,26,19,23,22,13,23,28,22
15,LIGHT (The EP),MohBad,23,22,21,25,18,33,23,23.57142857
16,High Off Life,Future,27,25,26,27,12,24,29,24.28571429
17,Gratitude,Timaya,31,26,25,24,15,28,24,24.71428571
18,Afro Pop Vol. 1,Adekunle Gold,24,27,28,28,19,22,25,24.71428571
19,Boyfriend,CKay,25,24,27,29,25,27,34,27.28571429
20,LV N ATTN,Lojay & Sarz,29,30,29,30,20,34,32,29.14285714
21,Welcome to O'Block,King Von,22,36,36,31,17,35,33,30
22,Twelve A.M,Crayon,30,31,32,40,23,29,26,30.14285714
23,Off The Yak,Young M.A,33,34,35,26,21,32,31,30.28571429
24,Simisola,Simi,35,29,34,37,24,31,27,31
25,Boo of the Booless,Chike,28,32,30,32,26,30,39,31
26,I'll Say It For You,Dax,38,38,31,38,22,37,35,34.14285714
27,Love & Light ep,Joeboy,47,28,37,36,32,45,36,37.28571429
28,Culture,Migos,32,33,43,33,31,52,42,38
29,NEW ERA,Kiss Daniel,36,39,45,41,29,43,38,38.71428571
30,Razor,Cheque,40,43,33,46,30,36,43,38.71428571
31,King Of Love,Kizz Daniel,42,42,47,35,34,41,37,39.71428571
32,For Broken Ears,Tems,39,49,38,42,28,39,47,40.28571429
33,Cultural Praise,Kcee & Okwesili Eze Group,41,37,48,44,39,46,50,43.57142857
34,Shiesty Season,Pooh Shiesty,46,44,65,48,27,40,46,45.14285714
35,Shottaz 4Eva,MO3,34,35,70,39,37,68,40,46.14285714
36,Omo Charlie Champagne Vol1,Simi,43,40,50,49,55,42,48,46.71428571
37,Soundgod Fest Vol.1,Runtown,61,46,39,56,44,51,49,49.42857143
38,A Good Time,Davido,51,45,55,61,38,48,53,50.14285714
39,...Shall We Begin...,Laycon,48,47,40,60,50,62,45,50.28571429
40,Three,Patoranking,63,55,53,52,40,50,44,51
41,A Better Time,Davido,7,7,9,15,301,12,12,51.85714286
42,Wild West,Central Cee,49,61,63,54,35,57,54,53.28571429
43,Ghetto Gospel,Rod Wave,53,53,66,43,48,53,57,53.28571429
44,SoulFly,Rod Wave,12,12,10,12,301,15,16,54
45,Haitian Boy Kodak,Kodak Black,44,50,46,67,42,66,66,54.42857143
46,Just Cause Y'all Waited 2,Lil Durk,16,13,16,8,301,13,15,54.57142857
47,The Cross: My Gaze,Mercy Chinwo,57,41,49,55,61,59,62,54.85714286
48,Love Songs 4 The Streets 2,Lil Durk,62,58,56,51,46,58,55,55.14285714
49,Bad Commando,Rema,50,48,42,62,60,63,65,55.71428571
50,Get Layd,Omah Lay,13,16,15,11,301,14,20,55.71428571
51,TattleTales,6ix9ine,60,51,67,68,41,47,67,57.28571429
52,Sex Over Love,Blaqbonez,17,17,13,17,301,19,18,57.42857143
53,Just Cause Y'all Waited,Lil Durk,55,65,44,53,51,56,82,58
54,Rum & Boogie,Peruzzi,18,18,20,18,301,18,17,58.57142857
55,Know You,Ladipoe,45,52,52,63,47,69,86,59.14285714
56,Herstory in the Making,Young M.A,75,67,59,65,36,55,60,59.57142857
57,Please Excuse Me for Being Antisocial,Roddy Ricch,21,20,18,20,301,20,19,59.85714286
58,Top,YoungBoy Never Broke Again,74,78,54,58,49,54,56,60.42857143
59,Pray 4 Love,Rod Wave,52,72,51,57,56,61,77,60.85714286
60,23 Is Back,JayDaYoungan,79,63,41,34,43,67,112,62.71428571
61,Hot Pink,Doja Cat,54,54,64,59,59,89,63,63.14285714
62,OXYGENE,Oxlade,59,71,60,64,58,65,76,64.71428571
63,Hakuna Matata,Dotman,73,60,79,79,52,64,59,66.57142857
64,Slime Language 2 (Deluxe),"Young Stoner Life, Young Thug & Gunna",56,56,100,75,95,60,61,71.85714286
65,The Prince I Became,Ric Hassani,58,66,62,85,85,77,74,72.42857143
66,Lil Durk Presents: Loyal Bros,Only The Family,72,80,71,71,64,79,73,72.85714286
67,The Message,Minister GUC,68,62,80,66,75,82,79,73.14285714
68,SAVAGE MODE II,21 Savage & Metro Boomin,66,69,75,72,67,78,93,74.28571429
69,Hoodie SZN,A Boogie Wit Da Hoodie,86,84,68,78,53,71,80,74.28571429
70,TIME,Yaw Tog,65,68,92,83,70,74,75,75.28571429
71,Something Else ep,Mr Eazi,71,77,69,82,63,86,83,75.85714286
72,SATISFIED,Mercy Chinwo,67,64,82,77,78,76,91,76.42857143
