rank,album,artist,apple,audiomark,deezer,boom,RT
1,High Tension 2.0,Dangbana Republik & Bella Shmurda,1,2,1,4,5.0
2,UY Scuti,Olamide,4,1,3,1,8.25
3,Made In Lagos,Wizkid,3,7,6,11,18.75
4,Twice As Tall,Burna Boy,10,10,7,5,28.25
5,A True Champion,Rexxie,13,3,5,32,29.0
6,WONDALAND,Teni,14,6,15,9,37.25
7,Somewhere Between Beauty & Magic,Joeboy,25,5,17,2,47.5
8,LV N ATTN,EP - Lojay & Sarz,2,31,4,42,47.5
9,Clone Wars Vol. 5 (- The Algorhythm),The Algorhythm - Show Dem Camp,5,59,2,25,72.25
10,A Better Time,Davido,17,13,43,13,76.25
11,Sex Over Love,Blaqbonez,16,20,28,59,78.75
12,High Tension,Bella Shmurda,42,4,25,41,81.25
13,APOLLO,Fireboy DML,37,9,37,8,85.0
14,Boo of the Booless,Chike,19,36,31,10,88.5
15,A Good Time,Davido,23,45,14,54,95.5
16,Man Of Galilee,Judikay,30,23,45,12,101.0
17,Get Layd,EP - Omah Lay,33,15,65,15,116.75
18,"Laughter, Tears & Goosebumps",Fireboy DML,62,16,46,18,128.5
19,What Have We Done,EP - Omah Lay,41,11,75,7,128.75
20,Please Excuse Me for Being Antisocial,Roddy Ricch,40,17,57,63,129.75
21,Superstar,Wizkid,28,42,62,39,141.75
22,Carpe Diem,Olamide,68,8,70,3,146.75
23,Cultural Praise,KCee & Okwesili Eze Group,22,49,126,74,215.5
24,Rum & Boogie,Peruzzi,81,22,99,91,224.75
25,For Broken Ears,Tems,32,43,60,520,265.0
26,Satisfied,Mercy Chinwo,73,72,119,20,269.0
27,Masta Groove,Masterkraft,122,57,74,76,272.0
28,Haitian Boy Kodak,Kodak Black,67,63,48,520,308.0
29,...Shall We Begin...,Laycon,31,51,206,83,308.75
30,Wild West,Central Cee,94,76,16,520,316.0
31,THE GOAT,Polo G,53,14,123,520,320.0
32,SAVAGE MODE II,21 Savage & Metro Boomin,75,66,52,520,323.0
33,ROOTS,The Cavemen.,15,131,55,520,331.0
34,USEE4YOURSELF,IDK,109,68,26,520,333.0
35,Outside,Burna Boy,79,208,41,64,344.0
36,OXYGENE,EP - Oxlade,108,61,71,520,370.0
37,The Palmwine Express,Show Dem Camp,92,109,40,520,371.0
38,Mars,EP - BadboyMarz,51,149,53,520,383.0
39,Off the Yak,Young M.A,116,38,113,520,397.0
40,Light,MohBad,165,24,79,520,398.0
41,Boyfriend,CKay,77,37,186,520,430.0
42,I LOVE GIRLS WITH TROBUL,Sarz & WurlD,157,94,98,520,479.0
43,WUNNA (Deluxe),Gunna,52,119,195,520,496.0
44,Welcome to O'Block,King Von,153,30,205,520,518.0
45,Slime Language 2,"Young Stoner Life, Young Thug & Gunna",66,69,254,520,519.0
46,PANDEMIC,EP - Ruger,7,510,9,6,527.5
47,Gratitude,Timaya,205,26,276,82,527.5
48,The Voice of the Heroes,Lil Baby & Lil Durk,6,510,10,37,535.25
49,Hall of Fame,Polo G,11,510,8,61,544.25
50,African Giant,Burna Boy,20,510,18,26,554.5
51,Justice,Justin Bieber,18,510,19,34,555.5
52,Culture III,Migos,9,510,22,95,564.75
53,Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke,21,510,21,60,567.0
54,Alagbe,Qdot,352,86,130,14,571.5
55,Yabasi,Basketmouth,47,127,272,520,576.0
56,Ayo,Wizkid,59,510,12,55,594.75
57,Love or the Word (EP),Jaywillz,49,510,38,16,601.0
58,Hot Pink,Doja Cat,171,54,251,520,606.0
59,Death Race For Love,Juice WRLD,56,510,24,77,609.25
