position,album
1,Uy Scuti
2,Somewhere Between Beauty & Magic
3,Carpe Diem
4,High Tension 2.0
5,Twice As Tall
6,PANDEMIC
7,What Have We Done
8,APOLLO
9,WONDALAND
10,Boo of the Booless
11,Made In Lagos
12,Man Of Galilee
13,A Better Time
14,Alagbe
15,Get Layd
16,Love or the Word (EP)
17,Hallelujah Again (Revelation 19:3)
18,"Laughter, Tears & Goosebumps"
19,Too Faithful
20,SATISFIED
21,Twelve A.M
22,Before the Chaos (EP)
23,Man Of Galilee (Live)
24,The Gospel of the Kingdom
25,Clone Wars Vol. 5 (- The Algorhythm)
26,African Giant
27,Three
28,Ecstasy
29,The Harvest
30,Yes And Amen
31,The King Is Coming
32,A True Champion
33,King Of Love
34,Justice
35,KAIROS
36,Born Of God
37,The Voice of the Heroes
38,Fuji The Sound
39,Superstar
40,Simisola
41,High Tension
42,LV N ATTN
43,Ea$t N We$t
44,You Have Done Me Well
45,Barry Back 
46,Omo Charlie Champagne Vol1
47,The Erigma II
48,LOL (Lord Of Lamba) EP
49,Deal With It
50,Legends Never Die
51,Love & Light (EP)
52,The Life And Times Of 50th Birthday Edition
53,The Prodigal
54,A Good Time
55,Ayo (Joy)
56,Kingdom Now
57,Mafia Culture (Vol. 2.0)
58,Flavour of Africa
59,Sex Over Love
60,Shoot For The Stars Aim For The Moon
61,Hall of Fame
62,The Cross: My Gaze
63,Please Excuse Me for Being Antisocial
64,Outside
65, (The Album Live) (Live)
66,You Are Great
67,This God Is Too Good
68,Country Moods
69,The Playmaker
70,Next Level
71,Grass 2 Grace
72,No Bad Songz
73,!
74,Cultural Praise
75,The Spirit Of Light
76,Masta Groove
77,Death Race For Love
78,Kapacity
79,Hymnal (Volume 1)
80,Chiomalized
81,Coast To Coast (Expanded Edition)
82,Gratitude
83,...Shall We Begin...
84,Something Else( EP)
85,Gift of Life
86,The Classics
87,By Special Request Vol. 2
88,About 30
89,KHALED KHALED
90,Meet The Woo 2 (Deluxe)
91,Rum & Boogie
92,Seed (- EP)
93,Warriors
94,Faith Is Rising
95,Culture III
96,Best Of The Best
97,Meet The Woo
98,Hakuna Matata
99,Gongo Aso
100,Chris Tomlin & Friends: Summer EP
