rank,album,artist,apple,audiomark,deezer,boom,RT
377,MI 2: The Movie,M.I Abaga,189,510,450,520,1279.0
378,Lil Durk Presents Only The Family Involved Vol.2,Only The Family,500,200,450,520,1280.0
379,Goat Talk 3,Boosie Badazz,500,201,450,520,1281.0
380,Drip Season 3 (Deluxe),Gunna,192,510,450,520,1282.0
381,Too Deep For Tears,OMB Peezy,500,202,450,520,1282.0
382,Indigo (Extended),Chris Brown,195,510,450,520,1285.0
383,RETURN OF OKOMFO ANOKYE,Jay Bahd,500,205,450,520,1285.0
384,Afrostreets Vol 1,Rexxie,500,206,450,520,1286.0
385,Nothing Was the Same (Deluxe),Drake,196,510,450,520,1286.0
386,Suga,Megan Thee Stallion,500,207,450,520,1287.0
387,L.I.F.E,Leaving an Impact for Eternity (Deluxe Edition) - Burna Boy,200,510,450,520,1290.0
388,lately I feel EVERYTHING,Willow,500,510,150,520,1290.0
389,Heat Of The Moment,Tink,500,510,151,520,1291.0
390,Project X,Ken Car$on,204,510,450,520,1294.0
391,More Life,Drake,205,510,450,520,1295.0
392,Hopeless Romantic,EP - Tomi Thomas,206,510,450,520,1296.0
393,Oṣó,Brymo,208,510,450,520,1298.0
394,There Is More,Hillsong Worship,500,510,159,520,1299.0
395,Storyline,MARVZEHIZ,500,510,160,520,1300.0
396,Life For Rent,Dido,500,510,164,520,1304.0
397,"YP & Azanti, Vol. 1",PsychoYP,500,510,165,520,1305.0
398,KIDS SEE GHOSTS,KIDS SEE GHOSTS,500,510,167,520,1307.0
399,Birds in the Trap Sing McKnight,Travis Scott,218,510,450,520,1308.0
400,Fallen Embers,Illenium,500,510,168,520,1308.0
401,Mars,EP - BadboyMarz,219,510,450,520,1309.0
402,"Afromix, Ep. 2 (DJ Mix)",Spinall,222,510,450,520,1312.0
403,Versatalien,YTB Trench,500,510,173,520,1313.0
404,The Highlights,The Weeknd,500,510,175,520,1315.0
405,Ultimate Collection,Don Moen,226,510,450,520,1316.0
406,BLAME IT ON BABY,DaBaby,500,510,176,520,1316.0
407,Speak Now (Deluxe Package),Taylor Swift,500,510,177,520,1317.0
408,"Afromix, Ep. 1 (DJ Mix)",Spinall,227,510,450,520,1317.0
409,Michigan Boy Boat,Lil Yachty,500,510,178,520,1318.0
410,Hugadem,Agorsor,228,510,450,520,1318.0
411,Old Romance,Tekno,500,510,179,520,1319.0
412,Be Right Back,Jorja Smith,231,510,450,520,1321.0
413,Euphoria (Original Score from the HBO Series),Labrinth,500,510,182,520,1322.0
414,Fetty Wap (Deluxe),Fetty Wap,500,510,183,520,1323.0
415,Get Rich or Die Tryin,50 Cent,233,510,450,520,1323.0
416,Die Lit,Playboi Carti,500,510,184,520,1324.0
417,Street Gossip,Lil Baby,235,510,450,520,1325.0
418,Rema,Rema,500,510,185,520,1325.0
419,Someone's At The Door,Nathaniel Bassey,500,510,187,520,1327.0
420,Painting Pictures,Kodak Black,238,510,450,520,1328.0
421,Glory Sound Prep,Jon Bellion,500,510,188,520,1328.0
422,Amala,Doja Cat,500,510,189,520,1329.0
423,"Wolves & Mustangs, Vol. 1",Alpha P,500,510,191,520,1331.0
424,Dreams & Imaginations,EP - Lil5ive,242,510,450,520,1332.0
425,Street Sermons,Morray ,500,510,193,520,1333.0
426,REAPER SZN (Deluxe),YXNG K.A,500,510,194,520,1334.0
427,Blonde,Frank Ocean,500,510,195,520,1335.0
428,Watch the Throne (Deluxe),JAY-Z & Kanye West,246,510,450,520,1336.0
429,Stoney (Deluxe),Post Malone,247,510,450,520,1337.0
430,Purpose (Deluxe),Justin Bieber,248,510,450,520,1338.0
431,Harder Than Ever,Lil Baby,500,510,198,520,1338.0
432,drinking under the streetlights,Powfu,500,510,199,520,1339.0
433,Thats What They All Say,Jack Harlow,251,510,450,520,1341.0
434,Game Over,Dave,500,510,202,520,1342.0
435,What Happens in Lagos,Ajebutter22,500,510,204,520,1344.0
436,Melodrama,Lorde,500,510,205,520,1345.0
437,Afrobeats Best of 2015,Various Artistes,500,510,206,520,1346.0
438,A Night In Cocody,Jeune Lio,500,510,208,520,1348.0
439,MUSIC FOR THE FREE SPIRITS,AURORA,500,510,210,520,1350.0
440,Speak Your Mind (Deluxe),Anne-Marie,500,510,211,520,1351.0
