rank,album,artist,apple,audiomark,deezer,boom,RT
1,High Tension 2.0,Dangbana Republik & Bella Shmurda,1,2,2,12,8.0
2,UY Scuti,Olamide,4,1,4,1,9.25
3,Made In Lagos,Wizkid,3,8,5,11,18.75
4,LV N ATTN,EP - Lojay & Sarz,2,28,3,38,42.5
5,Twice As Tall,Burna Boy,9,11,23,5,44.25
6,Somewhere Between Beauty & Magic,Joeboy,25,3,16,2,44.5
7,A True Champion,Rexxie,21,7,9,40,47.0
8,APOLLO,Fireboy DML,27,6,28,7,62.75
9,A Better Time,Davido,12,13,35,14,63.5
10,WONDALAND,Teni,14,5,43,8,64.0
11,What Have We Done,EP - Omah Lay,54,10,26,6,91.5
12,High Tension,Bella Shmurda,42,4,39,42,95.5
13,Superstar,Wizkid,24,41,33,37,107.25
14,Sex Over Love,Blaqbonez,17,19,59,64,111.0
15,"Laughter, Tears & Goosebumps",Fireboy DML,51,15,42,18,112.5
16,Please Excuse Me for Being Antisocial,Roddy Ricch,38,18,46,61,117.25
17,Clone Wars Vol. 5 (- The Algorhythm),The Algorhythm - Show Dem Camp,8,103,13,32,132.0
18,Cultural Praise,KCee & Okwesili Eze Group,16,40,65,63,136.75
19,Get Layd,EP - Omah Lay,43,16,75,17,138.25
20,Boo of the Booless,Chike,19,32,94,10,147.5
21,Boyfriend,CKay,58,36,40,62,149.5
22,Light,MohBad,96,17,55,96,192.0
23,Man Of Galilee,Judikay,31,23,157,15,214.75
24,THE GOAT,Polo G,59,14,51,520,254.0
25,For Broken Ears,Tems,39,43,54,520,266.0
26,ROOTS,The Cavemen.,15,121,14,520,280.0
27,Wild West,Central Cee,81,69,31,520,311.0
28,Carpe Diem,Olamide,53,9,250,3,312.75
29,High Off Life,Future,84,21,80,520,315.0
30,Top,YoungBoy Never Broke Again,79,46,64,520,319.0
31,WUNNA,Gunna,68,114,96,520,408.0
32,Yabasi,Basketmouth,46,126,114,520,416.0
33,A Good Time,Davido,34,47,331,56,426.0
34,Slime Language 2 (Deluxe),"Young Stoner Life, Young Thug & Gunna",55,78,166,520,429.0
35,Gratitude,Timaya,158,27,247,70,449.5
36,"Kpos Lifestyle, Vol. 1",Ajebo Hustlers,64,179,82,520,455.0
37,Fuji The Sound,EP - K1 De Ultimate,117,205,167,35,497.75
38,Simisola (Deluxe),Simi,178,30,285,41,503.25
39,TOP MEMBA,Kida Kudz,57,183,152,520,522.0
40,PANDEMIC,EP - Ruger,6,510,6,4,523.0
41,The Voice of the Heroes,Lil Baby & Lil Durk,5,510,7,39,531.75
42,African Giant,Burna Boy,23,510,10,25,549.25
43,Hall of Fame,Polo G,13,510,18,66,557.5
44,Culture III,Migos,10,510,15,92,558.0
45,...Shall We Begin...,Laycon,30,56,450,95,559.75
46,Justice,Justin Bieber,18,510,25,33,561.25
47,Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke,20,510,21,67,567.75
48,Love or the Word (EP),Jaywillz,48,510,8,13,569.25
49,SATISFIED,Mercy Chinwo,67,68,450,23,590.75
50,KHALED KHALED,DJ Khaled,33,510,30,87,594.75
51,OXYGENE,EP - Oxlade,123,71,275,520,599.0
52,Legends Never Die,Juice WRLD,49,510,49,46,619.5
53,Faith,Pop Smoke,109,510,1,9,622.25
54,Death Race For Love,Juice WRLD,87,510,34,74,649.5
55,Masta Groove,Masterkraft,204,75,245,520,654.0
56,Planet Her (Deluxe),Doja Cat,7,510,12,520,659.0
57,Moon Boy,Yung Bleu,200,184,150,520,664.0
58,Rum & Boogie,Peruzzi,71,22,450,520,673.0
59,King Of Love,Kizz Daniel,180,45,450,29,682.25
60,2 in 1,DARKOO,32,510,19,520,691.0
61,Alagbe,Qdot,500,82,109,16,695.0
62,SOUR,Olivia Rodrigo,35,510,22,520,697.0
63,The Gospel of the Kingdom,Dunsin Oyekan,40,510,145,24,701.0
64,All Over The Place (Platinum VIP Edition),KSI,52,510,11,520,703.0
65,Afro Pop Vol. 1,Adekunle Gold,98,25,450,520,703.0
66,The King Is Coming,Nathaniel Bassey,118,510,70,31,705.75
67,Haitian Boy Kodak,Kodak Black,60,67,450,520,707.0
68,Ayo,Wizkid,50,510,140,45,711.25
69,SoulFly,Rod Wave,41,510,38,520,719.0
70,Before the Chaos (-EP),P - Erigga,92,510,112,27,720.75
71,Off The Yak,Young M.A,112,35,450,520,727.0
72,The Voice (Deluxe),Lil Durk,26,510,62,520,728.0
73,SoundMan Vol. 1,StarBoy,36,510,57,520,733.0
74,USEE4YOURSELF,IDK,155,135,313,520,733.0
