rank,album,artist,apple,audiomark,deezer,boom,RT
1,19 & Dangerous,Ayra Starr,2,2,2,14,9.5
2,High Tension 2.0,Dangbana Republik & Bella Shmurda,5,3,12,29,27.25
3,Twice As Tall,Burna Boy,12,12,17,5,42.25
4,UY Scuti,Olamide,10,1,38,1,49.25
5,LV N ATTN,Lojay & Sarz,6,33,7,24,52.0
6,Water & Garri,Tiwa Savage,1,63,1,7,66.75
7,Eclipse,Troniq Music & Oxlade,41,8,21,25,76.25
8,Nothing To Prove,Victor AD,37,10,34,17,85.25
9,APOLLO,Fireboy DML,43,4,42,9,91.25
10,Boo of the Booless,Chike,29,38,23,13,93.25
11,"Laughter, Tears & Goosebumps",Fireboy DML,55,16,37,21,113.25
12,Somewhere Between Beauty & Magic,Joeboy,53,5,62,2,120.5
13,Sex Over Love,Blaqbonez,31,27,57,46,126.5
14,WONDALAND,Teni,32,7,88,10,129.5
15,"Kpos Lifestyle, Vol. 1",Ajebo Hustlers,14,20,76,94,133.5
16,Please Excuse Me for Being Antisocial,Roddy Ricch,45,19,64,38,137.5
17,High Tension,Bella Shmurda,58,6,67,61,146.25
18,Made In Lagos,Wizkid,3,127,14,11,146.75
19,Superstar,Wizkid,44,35,72,44,162.0
20,Cultural Praise,KCee & Okwesili Eze Group,28,51,63,98,166.5
21,Get Layd,Omah Lay,67,13,86,23,171.75
22,A Better Time,Davido,26,133,36,16,199.0
23,Boyfriend,CKay,69,45,97,56,225.0
24,Rudykillus,Rudeboy,122,43,60,54,238.5
25,Just A Matter of Slime,YNW Melly,57,36,18,520,241.0
26,What Have We Done,Omah Lay,79,11,194,8,286.0
27,Moon Boy,Yung Bleu,23,86,48,520,287.0
28,For Broken Ears,Tems,51,40,83,520,304.0
29,No Pressure,Sarkodie,138,21,141,45,311.25
30,THE GOAT,Polo G,72,14,96,520,312.0
31,A Good Time,Davido,61,142,113,68,333.0
32,"Afro Pop, Vol. 1",Adekunle Gold,127,25,52,520,334.0
33,New Season,Chidinma,101,58,167,39,335.75
34,A True Champion,Rexxie,64,56,90,520,340.0
35,ROOTS,The Cavemen.,16,122,100,520,368.0
36,TOP MEMBA,Kida Kudz,97,90,59,520,376.0
37,OXYGENE,Oxlade,95,54,107,520,386.0
38,Man Of Galilee,Judikay,30,26,341,18,401.5
39,SAVAGE MODE II,21 Savage & Metro Boomin,115,59,98,520,402.0
40,Haitian Boy Kodak,Kodak Black,112,65,95,520,402.0
41,Wild West,Central Cee,164,89,29,520,412.0
42,Euphoria,PsychoYP,84,176,51,520,441.0
43,Shopla,Jaido P,87,152,80,520,449.0
44,SATISFIED,Mercy Chinwo,56,57,338,19,455.75
45,Cheers to the Best Memories,dvsn & Ty Dolla $ign,88,195,85,520,498.0
46,We're All Alone In This Together,Dave,4,510,4,47,529.75
47,Alari,Liya,8,510,5,30,530.5
48,Carpe Diem,Olamide,71,9,450,4,531.0
49,PANDEMIC,Ruger,15,510,15,6,541.5
50,SoulFly (Deluxe Version),Rod Wave,7,510,3,91,542.75
51,Yabasi,Basketmouth,60,139,223,520,552.0
52,African Giant,Burna Boy,25,510,19,28,561.0
53,Hall of Fame,Polo G,17,510,16,83,563.75
54,Justice,Justin Bieber,20,510,26,41,566.25
55,The Palmwine Express,Show Dem Camp,140,125,173,520,568.0
56,Faith,Pop Smoke,13,510,33,63,571.75
57,Oil + Water,Travis Greene,36,510,13,82,579.5
58,The Voice of the Heroes,Lil Baby & Lil Durk,11,510,53,66,590.5
59,Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke,33,510,31,79,593.75
60,The Message,Minister GUC,110,82,304,520,626.0
61,Legends Never Die,Juice WRLD,59,510,46,53,628.25
62,Outside,Burna Boy,73,510,56,73,657.25
63,Planet Her,Doja Cat,9,510,10,520,659.0
64,The House Is Burning,Isaiah Rashad,156,209,187,520,682.0
65,King's Disease II,Nas,24,510,20,520,684.0
66,Happier Than Ever,Billie Eilish,35,510,9,520,684.0
67,Simisola,Simi,500,30,151,51,693.75
68,Solar Power,Lorde,49,510,6,520,695.0
69,Trip At Knight (Complete Edition),Trippie Redd,48,510,8,520,696.0
70,The Voice (Deluxe),Lil Durk,39,510,22,520,701.0
71,All In,Skepta,18,510,44,520,702.0
72,So Much Fun,Young Thug,161,91,321,520,703.0
73,Death Race For Love,Juice WRLD,102,510,74,80,706.0
74,High Off Life,Future,109,24,450,520,713.0
75,TOO LATE TOO LIT (EP),KDDO,129,157,299,520,715.0
76,Top,YoungBoy Never Broke Again,96,39,450,520,715.0
77,...Shall We Begin...,Laycon,50,87,450,520,717.0
78,Love or the Word (EP),Jaywillz,83,510,123,12,719.0
79,ASTROWORLD,Travis Scott,54,510,27,520,721.0
80,Big Conspiracy,J Hus,38,510,50,520,728.0
81,Sweetness,Obongjayar & Sarz,22,510,66,520,728.0
82,Slime Language 2 (Deluxe),"Young Stoner Life, Young Thug & Gunna",80,74,450,520,734.0
83,Rum & Boogie,Peruzzi,137,29,450,520,746.0
84,Hollywood's Bleeding,Post Malone,82,510,25,520,747.0
85,East Atlanta Love Letter,6LACK,76,510,32,520,748.0
86,Black History Project (Live from London),The Spirituals,89,510,24,520,753.0
87,Yes And Amen,Tope Alabi,114,510,126,31,757.75
88,Welcome to O'Block,King Von,500,28,102,520,760.0
89,WUNNA,Gunna,65,120,450,520,765.0
90,Culture III,Migos,21,510,105,520,766.0
91,Freedom.,Justin Bieber,93,510,43,520,776.0
92,Ayra Starr,Ayra Starr,119,510,28,520,787.0
93,While The World Was Burning,SAINt JHN,81,510,68,520,789.0
94,KHALED KHALED,DJ Khaled,63,510,87,520,790.0
95,S.C.A.M,G4 Boyz,500,123,49,520,802.0
96,Love & Light,Joeboy,500,70,224,65,810.25
97,Queendoncom,Yemi Alade,500,79,220,50,811.5
98,Hood Boy Dreams,Jeriq,139,510,41,520,820.0
99,BIRTHDAY MIX 6,Lil Yachty,111,510,82,520,833.0
100,Clone Wars Vol. 5 - The Algorhythm,The Algorhythm - Show Dem Camp,108,510,198,74,834.5
101,Budweiser (Remix),Various Artists,142,510,58,520,840.0
102,7 EP,Lil Nas X,500,85,127,520,842.0
103,SOUR,Olivia Rodrigo,107,510,99,520,846.0
104,When It's All Said And Done... Take Time,GIVĒON,118,510,92,520,850.0
105,PSYCHODRAMA,Dave,94,510,117,520,851.0
106,Adolescence,Unknown T,134,510,78,520,852.0
107,Sounds From The Other Side,Wizkid,124,510,89,520,853.0
108,JESUS IS KING,Kanye West,105,510,109,520,854.0
109,Just Cause Y'all Waited 2 (Deluxe),Lil Durk,19,510,197,520,856.0
110,?,XXXTENTACION,173,510,47,520,860.0
111,Product of My Environment,Abra Cadabra,98,510,122,520,860.0
112,beerbongs & bentleys,Post Malone,141,510,84,520,865.0
113,SoundMan Vol. 1,StarBoy,52,510,174,520,866.0
114,Ea$t N We$t,Dremo & Jeriq,170,510,170,75,868.75
115,Ghetto Lenny's Love Songs,SAINt JHN,78,510,155,520,873.0
116,Bad Commando,Rema,500,77,169,520,876.0
