rank,album,artist,R1,R2,R3,R4,R5,R6,R7,RT
82,...Shall We Begin...,Laycon,77,77,87,94,94,89,68,83.71428571428571
83,Hakuna Matata,Dotman,92,92,84,82,82,79,78,84.14285714285714
84,Euphoria,PsychoYP,74,74,82,77,77,94,120,85.42857142857143
85,Deal with It,Phyno,91,91,91,85,85,82,77,86.0
86,Happy Birthday Kodak,Kodak Black,88,88,97,81,81,92,104,90.14285714285714
87,LOL (Lord of Lamba),Naira Marley,81,81,83,108,108,85,95,91.57142857142857
88,Know You,Ladipoe,94,94,96,92,92,88,94,92.85714285714286
89,Levon James,King Von,96,96,92,101,101,81,92,94.14285714285714
90,TIME,Yaw Tog,98,98,122,90,90,90,87,96.42857142857143
91,I Love Girls With Trobul,Sarz X WurlD,83,83,88,100,100,105,121,97.14285714285714
92,Dark Times,Victony,95,95,81,89,89,118,114,97.28571428571429
93,Pluto x Baby Pluto,Future & Lil Uzi Vert,110,110,90,97,97,104,82,98.57142857142857
94,Nobody: The Extended Playlist (Worldwide Remixes),DJ Neptune,89,89,106,102,102,91,122,100.14285714285714
95,SoundGod Fest Reloaded,Runtown,99,99,101,93,93,108,110,100.42857142857143
96,Trap Symphony EP,Roddy Ricch,106,106,112,91,91,93,108,101.0
97,Slime Language 2 (Deluxe),"Young Stoner Life, Young Thug & Gunna",102,102,93,106,106,100,100,101.28571428571429
98,TOP MEMBA,Kida Kudz,97,97,94,88,88,124,128,102.28571428571429
99,L.O.V.E. (Deluxe),Luh Kel,115,115,95,104,104,97,93,103.28571428571429
100,So Much Fun,Young Thug,93,93,105,110,110,109,109,104.14285714285714
101,Alagbe,Qdot,116,116,100,103,103,95,103,105.14285714285714
102,Wild West,Central Cee,107,107,111,99,99,86,127,105.14285714285714
103,Realms,Wande Coal,108,108,108,112,112,96,102,106.57142857142857
104,Good News,Megan Thee Stallion,113,113,89,116,116,112,113,110.28571428571429
105,On God II,Big Yavo,117,117,119,95,95,130,101,110.57142857142857
106,Pluto x Baby Pluto (Deluxe),Future & Lil Uzi Vert,111,111,155,98,98,123,96,113.14285714285714
107,My Letter To You Riddim,Various Artists,109,109,116,115,115,110,118,113.14285714285714
108,The Backend Child,NoCap,104,104,118,113,113,128,117,113.85714285714286
109,Rema Freestyle EP,Rema,119,119,107,114,114,119,111,114.71428571428571
110,Off The Record,Reekado Banks,124,124,117,105,105,120,129,117.71428571428571
111,ZaZa Vibes,L.A.X,127,127,104,109,109,127,123,118.0
112,Viral Infection 1.0,Ayanfe Viral,128,128,98,107,107,126,141,119.28571428571429
113,The Prodigal,Mr. P,122,122,114,121,121,141,142,126.14285714285714
114,Top Shotta,NLE Choppa,141,141,113,111,111,137,136,127.14285714285714
115,Itheep,Moelogo,112,112,133,123,123,116,172,127.28571428571429
116,Eternal Atake (Deluxe) - LUV vs. The World 2,Lil Uzi Vert,136,136,164,117,117,139,98,129.57142857142858
117,S.C.A.M,G4 Boyz,161,161,127,120,120,140,152,140.14285714285714
118,T R A P S O U L (Deluxe),Bryson Tiller,101,101,125,129,401,106,91,150.57142857142858
119,Jackboy,Jackboy,114,114,121,128,401,101,112,155.85714285714286
120,Something Else,Mr Eazi,121,121,126,133,401,102,107,158.71428571428572
121,Redemption song,Corizo,103,103,115,130,401,135,124,158.71428571428572
122,L.O.V.E.,Luh Kel,100,100,103,138,401,136,134,158.85714285714286
123,The Prince I Became,Ric Hassani,105,105,110,134,401,143,115,159.0
124,Nobody Safe,Rich The Kid & YoungBoy Never Broke Again,118,118,129,136,401,111,119,161.71428571428572
125,The Beauty of Becoming,Rotimi,133,133,109,126,401,122,125,164.14285714285714
126,Mixed Emotions,Luh Kel,120,120,138,127,401,121,126,164.71428571428572
127,The Palmwine Express,Show Dem Camp,137,137,128,142,401,125,97,166.71428571428572
128,Masta Groove,Masterkraft,140,140,102,131,401,144,131,169.85714285714286
129,Solid Focus Riddim,"Popcaan, Zamunda, Furnace",143,143,120,132,401,129,130,171.14285714285714
130,PINK PLANET,Pink Sweat$,158,158,401,118,118,115,138,172.28571428571428
131,Trench Baby (Deluxe Edition),Lil Zay Osama,138,138,130,145,401,133,132,173.85714285714286
132,Live From Nkrumah From Vol II: Home Run,Kwesi Arthur,135,135,158,122,122,147,401,174.28571428571428
133,Type Beats| Rap|Afro-Pop|RnB|Trap/HipHop|Trapsoul 2020 instrumentals,Ryzy.A  Beats,129,129,166,125,401,132,153,176.42857142857142
134,Greatest Lord,SINACH,123,123,143,144,401,145,156,176.42857142857142
135,WUNNA,Gunna,130,130,131,137,401,162,146,176.71428571428572
136,RESTLESS II,Simi,142,142,141,151,401,157,137,181.57142857142858
137,The Mayor of Lagos,Mayorkun,134,134,140,153,401,142,171,182.14285714285714
138,We All Shine,YNW Melly,160,160,134,147,401,138,139,182.71428571428572
139,One In A Million,Aaliyah,132,132,136,156,401,168,160,183.57142857142858
140,6locc 6a6y,Lil Loaded,131,131,162,157,401,158,161,185.85714285714286
141,Roots,NSG,146,146,150,150,401,169,143,186.42857142857142
142,PAPER ROUTE iLLUMINATi,Young Dolph & Paper Route EMPIRE,87,87,123,401,401,114,99,187.42857142857142
143,YOU,Ali Gatie,148,148,144,161,401,160,167,189.85714285714286
144,!,Trippie Redd,162,162,160,158,401,172,164,197.0
145,PTSD,G Herbo,151,151,124,401,401,98,105,204.42857142857142
146,Wildboy,Calboy,155,155,137,154,401,153,401,222.28571428571428
147,Yabasi,Basketmouth,163,163,401,143,401,155,135,223.0
148,Trench Baby,Lil Zay Osama,147,147,159,152,401,401,157,223.42857142857142
149,Aje (The Mixtape),Jaywon,144,144,151,171,401,152,401,223.42857142857142
150,"Grandson, Vol. 1",King Von,153,153,401,170,401,131,174,226.14285714285714
151,Living In History,Jackboy,172,172,153,401,401,146,151,228.0
152,Seed,Gyakie,171,171,147,148,401,401,165,229.14285714285714
153,Amazing Grace,MEDIKAL,126,126,401,167,401,401,106,246.85714285714286
154,Play 2 Win,G Perico,159,159,132,124,401,401,401,253.85714285714286
155,Anloga Junction,Stonebwoy,145,145,149,401,401,166,401,258.2857142857143
156,The Party Never Ends Unreleased Album,Juice WRLD,149,149,154,162,401,401,401,259.57142857142856
157,PERFECT PICTURE,Dremo,401,401,146,141,401,165,169,260.57142857142856
158,The Idea Of Her,Ali Gatie,150,150,401,169,401,154,401,260.85714285714283
159,High Supremacy Riddim,"Various Artiste (Tommy Lee Sparta, Teejay, Jahvinci, Shatta Wale & More)",401,401,165,163,401,156,140,261.0
160,Honorable,Hotkid,166,166,401,401,401,148,155,262.57142857142856
161,Table For Two,Korede Bello,165,165,401,168,401,159,401,265.7142857142857
162,Shiesty Season - Spring Deluxe,Pooh Shiesty,401,401,401,87,87,117,401,270.7142857142857
163,Hitler Wears Hermes 8: Sincerely Adolf,Westside Gunn,401,401,401,119,119,150,401,284.57142857142856
164,Slime Language 2,"Young Stoner Life, Young Thug & Gunna",401,401,139,140,401,401,133,288.0
165,Animal,Maria Becerra,139,139,142,401,401,401,401,289.14285714285717
166,Dum and Dummer 2,Young Dolph & Key Glock,401,401,157,155,401,113,401,289.85714285714283
167,"Scorpion, Vol. 2",Jizzle,401,401,161,401,401,134,150,292.7142857142857
168,GEEZYWORLD,OhGeesy,152,152,148,401,401,401,401,293.7142857142857
169,Before We Fall Asleep,Johnny Drille,401,401,401,401,401,41,10,293.7142857142857
170,Nsuo: The Mixtape,P Montana,401,401,401,135,401,163,166,295.42857142857144
171,Drip Or Drown 2,Gunna,157,157,401,159,401,401,401,296.7142857142857
172,Only The Generals Part II,Kevin Gates,156,156,401,401,401,401,162,296.85714285714283
173,The African Gentleman (Deluxe Version),Ric Hassani,167,167,152,401,401,401,401,298.57142857142856
174,All That Matters,Ayanfe,401,401,401,401,401,103,38,306.57142857142856
175,Question,Burna boy ft Don jazzy,125,125,401,401,401,401,401,322.14285714285717
176,Tropical Depression Riddim,"VARIOUS ARTISTE (KRANIUM, TEEJAY, SHATTA WALE, JAHMEIL & MORE)",401,401,401,146,401,401,147,328.2857142857143
177,IT’S REMBLE,Remble,401,401,401,149,401,151,401,329.2857142857143
178,Hip Hop|Trap|Rap Instrumentals Certified 2020 TYPE BEATS,Ryzy.A  Beats,154,154,401,401,401,401,401,330.42857142857144
179,A Boy From Tandale,Diamond Platnumz,401,401,401,165,401,401,158,332.57142857142856
180,Big Grim Reaper,Big Scarr,168,168,401,401,401,401,401,334.42857142857144
181,CITIZEN OF THE WORLD,King Perryy,169,169,401,401,401,401,401,334.7142857142857
182,Loyalty Over Royalty (Deluxe),CJ,170,170,401,401,401,401,401,335.0
183,All On Feelings EP,OT KinG,173,173,401,401,401,401,401,335.85714285714283
184,Don't Feed The Sharks,"Shy Glizzy, Glizzy Gang",401,401,401,401,401,401,116,360.2857142857143
185,Misunderstood,JayDaYoungan,401,401,135,401,401,401,401,363.0
186,Highest In Charge,Curren$y & Trauma Tone,401,401,401,139,401,401,401,363.57142857142856
187,Clone Wars Vol. 5 - The Algorhythm,Show Dem Camp,401,401,401,401,401,401,144,364.2857142857143
188,African Queen,Makhadzi,401,401,401,401,401,401,145,364.42857142857144
189,Kut Da Fan On,HOTBOII,401,401,145,401,401,401,401,364.42857142857144
190,BadBoy Dada,Hussain Dada,401,401,401,401,401,401,148,364.85714285714283
191,Kpanlogo,Darkovibes,401,401,401,401,401,149,401,365.0
192,Sounds Like Sex,Ceedo Banks,401,401,401,401,401,401,149,365.0
193,Lil Durk Presents Only The Family Involved Vol.2,Only The Family,401,401,401,401,401,401,154,365.7142857142857
194,38 Baby 2,YoungBoy Never Broke Again,401,401,156,401,401,401,401,366.0
195,Love Scars: The 5 Stages Of Emotions (Deluxe),Yung Bleu,401,401,401,401,401,401,159,366.42857142857144
196,Too Late Too Lit,KDDO,401,401,401,160,401,401,401,366.57142857142856
197,Building Bridges,Smallgod,401,401,401,401,401,161,401,366.7142857142857
198,Heaven Or Hell,Don Toliver,401,401,163,401,401,401,401,367.0
199,Born Fi Dis (Prelude),Vybz Kartel,401,401,401,401,401,401,163,367.0
200,Built For Whatever,Tee Grizzley,401,401,401,401,401,164,401,367.14285714285717
201,Taste EP,Nandy,401,401,401,166,401,401,401,367.42857142857144
202,Step Harder,Yungeen Ace,401,401,401,401,401,167,401,367.57142857142856
203,Alternate Cuts,Omah Lay,401,401,401,401,401,401,168,367.7142857142857
204,Fever,Megan Thee Stallion,401,401,401,401,401,401,170,368.0
205,Cray Cray,Crayon,401,401,401,401,401,170,401,368.0
206,Leave Some Day (Muney Mix),Kevo Muney,401,401,401,401,401,171,401,368.14285714285717
207,FIXTAPE,Popcaan,401,401,401,401,401,173,401,368.42857142857144
208,The Prodigy,Skillibeng,401,401,401,401,401,401,173,368.42857142857144
