rank,album,artist,Previous week,weeks on chart
1,19 & Dangerous,Ayra Starr,1,3
2,High Tension 2.0,Dangbana Republik & Bella Shmurda,2,7
3,Eclipse,Troniq Music & Oxlade,7,2
4,Water & Garri,Tiwa Savage,6,3
5,Twice As Tall,Burna Boy,3,11
6,LV N ATTN,Lojay & Sarz,5,11
7,WONDALAND,Teni,14,11
8,High Tension,Bella Shmurda,17,8
9,All or Nothing,Rotimi,0,1
10,Man Of Galilee,Judikay,38,11
11,What Have We Done,Omah Lay,26,11
12,APOLLO,Fireboy DML,9,11
13,Get Layd,Omah Lay,21,11
14,Sex Over Love,Blaqbonez,13,11
15,Shopla,Jaido P,43,2
16,Nothing To Prove,Victor AD,8,4
17,"Kpos Lifestyle, Vol. 1",Ajebo Hustlers,15,5
18,Superstar,Wizkid,19,11
19,Carpe Diem,Olamide,48,11
20,Cultural Praise,KCee & Okwesili Eze Group,20,11
21,Jackboy 2,Jackboy,0,1
22,Euphoria,PsychoYP,42,2
23,Please Excuse Me for Being Antisocial,Roddy Ricch,16,11
24,THE GOAT,Polo G,30,11
25,ROOTS,The Cavemen.,35,8
26,Light,MohBad,0,1
27,Just A Matter of Slime,YNW Melly,25,3
28,High Off Life,Future,74,11
29,UY Scuti,Olamide,4,10
30,Yabasi,Basketmouth,51,11
31,Somewhere Between Beauty & Magic,Joeboy,12,11
32,"Laughter, Tears & Goosebumps",Fireboy DML,11,11
33,Boo of the Booless,Chike,10,11
34,The Voice of the Heroes,Lil Baby & Lil Durk,58,11
35,We're All Alone In This Together,Dave,46,4
36,Alari,Liya,47,2
37,Justice,Justin Bieber,54,11
38,SATISFIED,Mercy Chinwo,44,5
39,African Giant,Burna Boy,52,11
40,Faith,Pop Smoke,56,3
41,Made In Lagos: Deluxe Edition,Wizkid,0,1
42,Legends Never Die,Juice WRLD,61,11
43,Boyfriend,CKay,23,11
44,Donda,Kanye West,0,1
45,PANDEMIC,Ruger,49,11
46,Death Race For Love,Juice WRLD,73,11
47,A Better Time,Davido,22,11
48,Shoot For The Stars Aim For The Moon,Pop Smoke,0,1
49,Simisola,Simi,67,2
50,No Pressure,Sarkodie,29,4
51,Rudykillus,Rudeboy,24,3
52,A True Champion,Rexxie,34,8
53,For Broken Ears,Tems,28,11
54,Moon Boy,Yung Bleu,27,5
55,Outside,Burna Boy,62,4
56,...Shall We Begin...,Laycon,77,11
57,Trip At Knight (Complete Edition),Trippie Redd,69,2
58,Happier Than Ever,Billie Eilish,66,4
59,Just Cause Y'all Waited 2 (Deluxe),Lil Durk,0,1
60,Hall of Fame,Polo G,53,11
61,Ayo,Wizkid,0,1
62,Human (Deluxe),OneRepublic,0,1
63,SoulFly (Deluxe Version),Rod Wave,50,2
64,Top,YoungBoy Never Broke Again,76,11
65,3 Th3 Album,Not3s,0,1
66,"If I Can’t Have Love, I Want Power",Halsey,0,1
67,A Good Time,Davido,31,11
68,The Message,Minister GUC,60,11
69,PSYCHODRAMA,Dave,0,1
70,OXYGENE,Oxlade,37,11
71,My Turn (Deluxe),Lil Baby,0,1
72,Afro Pop Vol. 1,Adekunle Gold,0,1
73,We Love You Tecca 2,Lil Tecca,0,1
74,JESUS IS KING,Kanye West,0,1
75,Scorpion,Drake,0,1
76,Clone Wars Vol. 5 - The Algorhythm,The Algorhythm - Show Dem Camp,100,4
77,Hollywood's Bleeding,Post Malone,84,2
78,Goodbye & Good Riddance,Juice WRLD,0,1
79,Haitian Boy Kodak,Kodak Black,40,11
80,SAVAGE MODE II,21 Savage & Metro Boomin,39,11
81,Meet The Woo 2,Pop Smoke,0,1
82,Planet Her,Doja Cat,63,4
83,Culture III (Deluxe),Migos,0,1
84,WUNNA,Gunna,89,5
85,Rema Freestyle EP,Rema,0,1
86,Slime Language 2 (Deluxe),"Young Stoner Life, Young Thug & Gunna",82,2
87,I'll Say It For You,Dax,0,1
88,I LOVE GIRLS WITH TROBUL,Sarz X WurlD,0,1
89,TOP MEMBA,Kida Kudz,36,5
90,CTV3: Day Tripper's Edition,Jaden,0,1
91,Rum & Boogie,Peruzzi,83,11
92,SOUR,Olivia Rodrigo,0,1
93,Big Conspiracy,J Hus,80,11
94,Wild West,Central Cee,41,11
95,Freedom.,Justin Bieber,91,3
96,Budweiser (Remix),Various Artists,0,1
97,The Palmwine Express,Show Dem Camp,55,11
98,Oil + Water,Travis Greene,57,2
99,SoundMan Vol. 1,StarBoy,0,1
100,ASTROWORLD,Travis Scott,79,2
