position,album
1,Uy Scuti
2,Somewhere Between Beauty & Magic
3,Magna Cum Laude
4,Carpe Diem
5,PANDEMIC
6,Twice As Tall
7,What Have We Done
8,Love or the Word (EP)
9,APOLLO
10,WONDALAND
11,Made In Lagos
12,19 & Dangerous
13,Nothing To Prove
14,Boo of the Booless
15,Rudykillus
16,Hallelujah Again (Revelation 19:3)
17,Man Of Galilee
18,A Better Time
19,SATISFIED
20,Alagbe
21,"Laughter, Tears & Goosebumps"
22,Get Layd
23,The Gospel of the Kingdom
24,High Tension 2.0
25,Too Faithful
26,King Of Love
27,African Giant
28,We\'re All Alone In This Together
29,Twelve A.M
30,LV N ATTN
31,Three
32,Yes And Amen
33,The King Is Coming
34,No Pressure
35,Ecstasy
36,Before the Chaos EP
37,Man Of Galilee (Live)
38,KAIROS
39,Born Of God
40,Please Excuse Me for Being Antisocial
41,Justice
42,Superstar
43,Sex Over Love
44,The Life And Times Of 50th Birthday Edition
45,Simisola
46,Fuji The Sound
47,You Have Done Me Well
48,Legends Never Die
49,Faith
50,The Erigma II
51,Flavour of Africa
52,LOL (Lord Of Lamba) EP
53,The Voice of the Heroes
54,Boyfriend
55,Omo Charlie Champagne Vol. I
56,Love & Light EP
57,Clone Wars Vol. 5 - The Algorhythm
58,High Tension
59,Ayo (Joy)
60,The Harvest
61,Barry Back The EP
62,"Kpos Lifestyle, Vol. 1"
63,No Bad Songz
64,Kingdom Now
65,Zero Panic
66,A Good Time
67,Ea$t N We$t
68,ITheEP
69,\xc3\x8cR\xc3\x8c (The Album Live) (Live)
70,Outside
71,You Are Great
72,Deal With It
73,11 Eleven
74,A True Champion
75,This God Is Too Good
76,Country Moods
77,Death Race For Love
78,Shoot For The Stars Aim For The Moon
79,\xc3\x8cm\xc3\xba\xe1\xb9\xa3\xe1\xba\xb9!
80,NA WHO EP
81,The Cross: My Gaze
82,Mafia Culture (Vol. 2.0)
83,The Spirit Of Light
84,Feed Tha Streets II
85,Hall of Fame
86,Chiomalized
87,The Playmaker
88,Grass 2 Grace
89,New Era
90,Hymnal (Volume 1)
91,By Special Request Vol. 2
92,Coast To Coast (Expanded Edition)
93,Gratitude
94,King\'s Disease II
95,About 30
96,Feed tha Streets
97,Warriors
98,Get Layd
99,"Afro Pop, Vol. 1"
100,Kapacity
