rank,album,artist,apple,audiomark,deezer,boom,RT
1,19 & Dangerous,Ayra Starr,4,10,9,3,23.75
2,High Tension 2.0,Dangbana Republik & Bella Shmurda,9,13,15,35,45.75
3,Eclipse,Troniq Music & Oxlade,7,27,8,53,55.25
4,Water & Garri,Tiwa Savage,8,55,4,12,70.0
5,LV N ATTN,Lojay & Sarz,10,45,41,30,103.5
6,Twice As Tall,Burna Boy,12,21,72,8,107.0
7,All or Nothing,Rotimi,88,8,19,64,131.0
8,High Tension,Bella Shmurda,86,14,16,62,131.5
9,WONDALAND,Teni,53,17,70,17,144.25
10,Man Of Galilee,Judikay,32,37,71,29,147.25
11,What Have We Done,Omah Lay,80,18,56,9,156.25
12,Euphoria,PsychoYP,17,54,6,520,207.0
13,"Kpos Lifestyle, Vol. 1",Ajebo Hustlers,19,39,24,520,212.0
14,THE GOAT,Polo G,77,3,18,520,228.0
15,Cultural Praise,KCee & Okwesili Eze Group,22,63,14,520,229.0
16,Shopla,Jaido P,169,11,53,73,251.25
17,Roots,The Cavemen.,23,120,33,520,306.0
18,Jackboy 2,Jackboy,90,95,10,520,325.0
19,Light,MohBad,173,31,32,520,366.0
20,Just A Matter of Slime,YNW Melly,172,84,54,520,440.0
21,Before We Fall Asleep,Johnny Drille,5,2,450,6,458.5
22,UY Scuti,Olamide,16,12,450,5,479.25
23,Boo of the Booless,Chike,28,6,450,15,487.75
24,APOLLO,Fireboy DML,37,15,450,11,504.75
25,Donda,Kanye West,3,510,1,10,516.5
26,Made In Lagos: Deluxe Edition,Wizkid,2,510,5,2,517.5
27,"Laughter, Tears & Goosebumps",Fireboy DML,38,25,450,19,517.75
28,Somewhere Between Beauty & Magic,Joeboy,57,19,450,4,527.0
29,Please Excuse Me for Being Antisocial,Roddy Ricch,51,29,450,42,540.5
30,Nothing To Prove,Victor AD,62,23,450,23,540.75
31,We're All Alone In This Together,Dave,6,510,13,63,544.75
32,Get Layd,Omah Lay,64,30,450,25,550.25
33,The Voice of the Heroes,Lil Baby & Lil Durk,13,510,12,71,552.75
34,All That Matters,Ayanfe,85,7,450,43,552.75
35,Sex Over Love,Blaqbonez,49,41,450,54,553.5
36,Carpe Diem,Olamide,91,20,450,7,562.75
37,African Giant,Burna Boy,25,510,30,28,572.0
38,SATISFIED,Mercy Chinwo,60,68,450,26,584.5
39,Justice,Justin Bieber,30,510,49,51,601.75
40,Alari,Liya,40,510,48,37,607.25
41,Boyfriend,CKay,92,51,450,65,609.25
42,Superstar,Wizkid,50,105,450,40,615.0
43,Legends Never Die,Juice WRLD,58,510,34,55,615.75
44,Faith,Pop Smoke,18,510,73,88,623.0
45,Moon Boy,Yung Bleu,36,16,450,520,632.0
46,Simisola,Simi,142,40,450,47,643.75
47,For Broken Ears,Tems,21,49,450,520,650.0
48,Death Race For Love,Juice WRLD,93,510,28,84,652.0
49,Shoot For The Stars Aim For The Moon,Pop Smoke,34,510,93,78,656.5
50,Afro Pop Vol. 1,Adekunle Gold,164,34,450,91,670.75
