rank,album,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Certified Lover Boy,Drake,1,1,1,1,1,1,2,1.1428571428571428
2,Made In Lagos: Deluxe Edition,Wizkid,2,2,2,2,2,2,1,1.8571428571428572
3,Donda,Kanye West,3,3,3,3,3,4,5,3.4285714285714284
4,19 & Dangerous,Ayra Starr,5,4,4,4,4,5,4,4.285714285714286
5,Before We Fall Asleep,Johnny Drille,4,5,5,5,5,7,9,5.714285714285714
6,We're All Alone In This Together,Dave,7,8,6,6,6,8,8,7.0
7,Eclipse,EP - Troniq Music & Oxlade,8,7,7,7,7,9,10,7.857142857142857
8,Water & Garri,EP - Tiwa Savage,6,6,8,8,9,11,12,8.571428571428571
9,High Tension 2.0,Dangbana Republik & Bella Shmurda,9,9,9,9,8,10,11,9.285714285714286
10,LV N ATTN,EP - Lojay & Sarz,10,10,10,10,11,13,13,11.0
11,Planet Her (Deluxe),Doja Cat,11,11,11,11,12,14,14,12.0
12,Twice As Tall,Burna Boy,12,12,12,12,14,15,15,13.142857142857142
13,The Voice of the Heroes,Lil Baby & Lil Durk,13,13,13,13,13,17,16,14.0
14,PANDEMIC,EP - Ruger,16,14,15,16,17,21,17,16.571428571428573
15,SoulFly (Deluxe Version),Rod Wave,18,16,14,14,16,20,20,16.857142857142858
16,UY Scuti,Olamide,17,17,18,18,18,19,18,17.857142857142858
17,Euphoria,PsychoYP,15,15,16,17,21,24,23,18.714285714285715
18,Faith,Pop Smoke,20,18,17,19,22,23,21,20.0
19,"Kpos Lifestyle, Vol. 1",Ajebo Hustlers,21,19,19,20,20,27,26,21.714285714285715
20,Just Cause Y'all Waited 2 (Deluxe),Lil Durk,22,21,21,21,23,26,24,22.571428571428573
21,For Broken Ears,Tems,25,25,24,29,25,16,19,23.285714285714285
22,Cultural Praise,KCee & Okwesili Eze Group,14,20,20,24,28,29,33,24.0
23,Roots,The Cavemen.,27,23,23,22,24,28,29,25.142857142857142
24,The Of,eason - J. Cole,28,22,22,23,26,30,34,26.428571428571427
25,African Giant,Burna Boy,26,26,29,25,30,31,31,28.285714285714285
26,Culture III (Deluxe),Migos,29,27,26,30,31,34,38,30.714285714285715
27,Hall of Fame,Polo G,35,29,25,26,29,38,36,31.142857142857142
28,Boo of the Booless,Chike,36,33,32,28,27,32,30,31.142857142857142
29,A Better Time,Davido,30,30,33,27,33,36,32,31.571428571428573
30,Justice (Triple Chucks Deluxe / Deluxe Video Version),Justin Bieber,37,31,30,31,32,37,45,34.714285714285715
31,The Voice (Deluxe),Lil Durk,34,32,34,33,37,39,42,35.857142857142854
32,Man of Galilee,Judikay,24,47,27,34,38,35,52,36.714285714285715
33,Big Conspiracy,J Hus,40,35,36,36,36,41,39,37.57142857142857
34,Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke,44,39,41,32,34,43,35,38.285714285714285
35,Old Church Basement,Elevation Worship & Maverick City Music,33,37,31,37,47,49,48,40.285714285714285
36,Moon Boy,Yung Bleu,42,44,44,47,39,40,47,43.285714285714285
37,APOLLO,Fireboy DML,47,38,46,43,49,45,44,44.57142857142857
38,"Laughter, Tears & Goosebumps",Fireboy DML,51,49,50,42,54,33,37,45.142857142857146
39,My Turn (Deluxe),Lil Baby,56,45,37,46,43,48,49,46.285714285714285
40,Alari,EP - Liya,53,34,39,39,45,55,70,47.857142857142854
41,Mercury,Act 1 - Imagine Dragons,23,28,28,48,58,73,89,49.57142857142857
42,Fluid (EP),Ria Sean,32,40,40,49,52,72,67,50.285714285714285
43,SoundMan Vol. 1 (feat. Wizkid),StarBoy,52,54,49,58,55,44,41,50.42857142857143
44,Happier Than Ever,Billie Eilish,57,55,45,52,40,54,57,51.42857142857143
45,The Gospel of the Kingdom,Dunsin Oyekan,39,50,38,61,56,59,75,54.0
46,After Hours,The Weeknd,64,58,47,55,57,52,60,56.142857142857146
