rank,album,artist,Previous week,weeks on chart
1,19 & Dangerous,Ayra Starr,1,4
2,High Tension 2.0,Dangbana Republik & Bella Shmurda,2,8
3,Eclipse,Troniq Music & Oxlade,3,3
4,Water & Garri,Tiwa Savage,4,4
5,LV N ATTN,Lojay & Sarz,6,12
6,Twice As Tall,Burna Boy,5,12
7,All or Nothing,Rotimi,9,2
8,High Tension,Bella Shmurda,8,9
9,WONDALAND,Teni,7,12
10,Man Of Galilee,Judikay,10,12
11,What Have We Done,Omah Lay,11,12
12,Euphoria,PsychoYP,22,3
13,"Kpos Lifestyle, Vol. 1",Ajebo Hustlers,17,6
14,THE GOAT,Polo G,24,12
15,Cultural Praise,KCee & Okwesili Eze Group,20,12
16,Shopla,Jaido P,15,3
17,Roots,The Cavemen.,0,1
18,Jackboy 2,Jackboy,21,2
19,Light,MohBad,26,2
20,Just A Matter of Slime,YNW Melly,27,4
21,Before We Fall Asleep,Johnny Drille,0,1
22,UY Scuti,Olamide,29,11
23,Boo of the Booless,Chike,33,12
24,APOLLO,Fireboy DML,12,12
25,Donda,Kanye West,44,2
26,Made In Lagos: Deluxe Edition,Wizkid,41,2
27,"Laughter, Tears & Goosebumps",Fireboy DML,32,12
28,Somewhere Between Beauty & Magic,Joeboy,31,12
29,Please Excuse Me for Being Antisocial,Roddy Ricch,23,12
30,Nothing To Prove,Victor AD,16,5
31,We're All Alone In This Together,Dave,35,5
32,Get Layd,Omah Lay,13,12
33,The Voice of the Heroes,Lil Baby & Lil Durk,34,12
34,All That Matters,Ayanfe,0,1
35,Sex Over Love,Blaqbonez,14,12
36,Carpe Diem,Olamide,19,12
37,African Giant,Burna Boy,39,12
38,SATISFIED,Mercy Chinwo,38,6
39,Justice,Justin Bieber,37,12
40,Alari,Liya,36,3
41,Boyfriend,CKay,43,12
42,Superstar,Wizkid,18,12
43,Legends Never Die,Juice WRLD,42,12
44,Faith,Pop Smoke,40,4
45,Moon Boy,Yung Bleu,54,6
46,Simisola,Simi,49,3
47,For Broken Ears,Tems,53,12
48,Death Race For Love,Juice WRLD,46,12
49,Shoot For The Stars Aim For The Moon,Pop Smoke,48,2
50,Afro Pop Vol. 1,Adekunle Gold,72,2
51,King Of Love,Kizz Daniel,0,1
52,Just Cause Y'all Waited 2 (Deluxe),Lil Durk,59,2
53,Pandemic,Ruger,0,1
54,Happier Than Ever,Billie Eilish,58,5
55,Hall of Fame,Polo G,60,12
56,High Off Life,Future,28,12
57,SoulFly (Deluxe Version),Rod Wave,63,3
58,Top,YoungBoy Never Broke Again,64,12
59,Zero Panic,Balloranking,0,1
60,The Message,Minister GUC,68,12
61,My Turn (Deluxe),Lil Baby,71,2
62,Rudykillus,Rudeboy,51,4
63,...Shall We Begin...,Laycon,56,12
64,A True Champion,Rexxie,52,9
65,Outside,Burna Boy,55,5
66,Trip At Knight (Complete Edition),Trippie Redd,57,3
67,OXYGENE,Oxlade,70,12
68,PSYCHODRAMA,Dave,69,2
69,Human (Deluxe),OneRepublic,62,2
70,Rema Freestyle EP,Rema,85,2
71,Meet The Woo 2,Pop Smoke,81,2
72,Goodbye & Good Riddance,Juice WRLD,78,2
73,SAVAGE MODE II,21 Savage & Metro Boomin,80,12
74,Yabasi,Basketmouth,30,12
75,I LOVE GIRLS WITH TROBUL,Sarz X WurlD,88,2
76,JESUS IS KING,Kanye West,74,2
77,Too Faithful,Moses Bliss,0,1
78,3 Th3 Album,Not3s,65,2
79,We Love You Tecca 2,Lil Tecca,73,2
80,Haitian Boy Kodak,Kodak Black,79,12
81,WUNNA,Gunna,84,6
82,Wild West,Central Cee,94,12
83,Hollywood's Bleeding,Post Malone,77,3
84,Love Or The Word,Jaywillz,0,1
85,Rum & Boogie,Peruzzi,91,12
86,Slime Language 2 (Deluxe),"Young Stoner Life, Young Thug & Gunna",86,3
87,SOUR,Olivia Rodrigo,92,2
88,Scorpion,Drake,75,2
89,DAMN.,Kendrick Lamar,0,1
90,Dead Rose,Corizo,0,1
91,"If I Can’t Have Love, I Want Power",Halsey,66,2
92,The Spirit of Light,Tope Alabi & Ty Bello,0,1
93,The Palmwine Express,Show Dem Camp,97,12
94,More Life,Drake,0,1
95,The Human Condition,Jon Bellion,0,1
96,If Summer Happened,Laime,0,1
97,Clone Wars Vol. 5 - The Algorhythm,The Algorhythm - Show Dem Camp,76,5
98,Freedom.,Justin Bieber,95,4
99,So Much Fun,Young Thug,0,1
100,Tribl I,Tribl & Maverick City Music,0,1
