position,album
1,Made In Lagos: Deluxe Edition
2,Uy Scuti
3,Somewhere Between Beauty & Magic
4,Carpe Diem
5,19 & Dangerous
6,Donda
7,Magna Cum Laude
8,What Have We Done
9,Twice As Tall
10,PANDEMIC
11,Love or the Word (EP)
12,APOLLO
13,Water & Garri
14,Boo of the Booless
15,WONDALAND
16,Hallelujah Again (Revelation 19:3)
17,Made In Lagos
18,A Better Time
19,"Laughter, Tears & Goosebumps"
20,Nothing To Prove
21,Man Of Galilee
22,The Gospel of the Kingdom
23,Get Layd
24,Alagbe
25,Too Faithful
26,King Of Love
27,SATISFIED
28,LV N ATTN
29,Rudykillus
30,African Giant
31,The King Is Coming
32,Yes And Amen
33,High Tension 2.0
34,Three
35,Twelve A.M
36,Ecstasy
37,KAIROS
38,Eclipse
39,Vibrator
40,Born Of God
41,Superstar
42,Alari
43,Please Excuse Me for Being Antisocial
44,Fuji The Sound
45,Before the Chaos EP
46,The Voice of the Heroes
47,No Pressure
48,Justice
49,You Have Done Me Well
50,Ayo (Joy)
51,Simisola
52,We\'re All Alone In This Together
53,Sex Over Love
54,The Life And Times Of 50th Birthday Edition
55,New Season
56,High Tension
57,Legends Never Die
58,No Bad Songz
59,Flavour of Africa
60,Omo Charlie Champagne Vol. I
61,Zero Panic
62,All or Nothing
63,Boyfriend
64,The Erigma II
65,Barry Back The EP
66,Love & Light EP
67,LOL (Lord Of Lamba) EP
68,Shopla
69,Kingdom Now
70,You Are Great
71,Faith
72,A Good Time
73,\xc3\x8cR\xc3\x8c (The Album Live) (Live)
74,This God Is Too Good
75,Vibes
76,Outside
77,Ea$t N We$t
78,Deal With It
79,Shoot For The Stars Aim For The Moon
80,Death Race For Love
81,By Special Request Vol. 2
82,Queendoncom
83,The Prodigal
84,The Cross: My Gaze
85,\xc3\x8cm\xc3\xba\xe1\xb9\xa3\xe1\xba\xb9!
86,Clone Wars Vol. 5 - The Algorhythm
87,The Spirit Of Light
88,Man Of Galilee (Live)
89,Feed Tha Streets II
90,The Playmaker
91,Chiomalized
92,Hymnal (Volume 1)
93,Country Moods
94,Mafia Culture (Vol. 2.0)
95,Mercy Cry (Live Ministration)
96,New Era
97,The Harvest
98,Get Layd
99,Legends Never Die
100,Coast To Coast (Expanded Edition)
