,album,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,Somewhere Between Beauty & Magic,Joeboy,1,1,1,2,1,1,2,1.285714286
2,Carpe Diem,Olamide,2,3,3,1,2,2,3,2.285714286
3,WONDALAND,Teni,3,2,2,3,5,4,1,2.857142857
4,High Tension,Bella Shmurda,4,4,4,5,3,3,5,4
5,Made in Lagos,Wizkid,6,5,5,6,4,6,6,5.428571429
6,APOLLO,Fireboy DML,5,7,7,4,6,5,4,5.428571429
7,What Have We Done,Omah Lay,7,6,6,8,7,8,9,7.285714286
8,Twice As Tall,Burna Boy,9,8,8,7,9,11,8,8.571428571
9,THE GOAT,Polo G,12,9,9,9,13,9,11,10.28571429
10,SoulFly,Rod Wave,8,12,12,11,8,10,12,10.42857143
11,Get Layd,Omah Lay,10,10,10,13,12,16,13,12
12,A Better Time,Davido,13,13,13,10,16,12,7,12
13,Just Cause Y'all Waited 2 (Deluxe),Lil Durk,11,15,15,14,11,7,15,12.57142857
14,Rema Compilation,Rema,17,11,11,12,14,14,10,12.71428571
15,Rum & Boogie,Peruzzi,16,14,14,15,18,18,18,16.14285714
16,"Laughter, Tears & Goosebumps",Fireboy DML,18,16,16,17,15,17,14,16.14285714
17,Sex Over Love,Blaqbonez,15,20,20,16,10,15,17,16.14285714
18,Please Excuse Me for Being Antisocial,Roddy Ricch,19,18,18,19,19,19,21,19
19,Man Of Galilee,Judikay,27,21,21,20,24,20,19,21.71428571
20,Chrome Eccentric Ep,Zinoleesky,22,19,19,23,22,29,20,22
21,TOP PRIZE,ALKALINE,20,22,22,21,20,25,26,22.28571429
22,LIGHT (The EP),MohBad,21,23,23,29,21,26,23,23.71428571
23,Afro Pop Vol. 1,Adekunle Gold,30,25,25,25,26,21,24,25.14285714
24,Gratitude,Timaya,25,24,24,22,29,24,31,25.57142857
25,High Off Life,Future,24,26,26,28,30,22,27,26.14285714
26,Off The Yak,Young M.A,26,28,28,26,27,30,33,28.28571429
27,Boyfriend,CKay,31,29,29,30,28,27,25,28.42857143
28,Welcome to O'Block,King Von,29,33,33,32,23,31,22,29
29,Simisola,Simi,28,27,27,27,36,28,35,29.71428571
30,Boo of the Booless,Chik̩,32,31,31,33,33,33,28,31.57142857
31,Twelve A.M,Crayon,23,36,36,34,31,32,30,31.71428571
32,I'll Say It For You,Dax,33,37,37,36,32,34,38,35.28571429
33,LV N ATTN,Lojay & Sarz,47,50,50,24,25,23,29,35.42857143
34,Razor,Cheque,34,34,34,38,42,35,40,36.71428571
35,NEW ERA,Kiss Daniel,37,35,35,37,35,43,36,36.85714286
36,Love & Light ep,Joeboy,40,30,30,43,38,36,47,37.71428571
37,Shottaz 4Eva,MO3,58,39,39,31,34,45,34,40
38,For Broken Ears,Tems,41,42,42,39,39,40,39,40.28571429
39,King Of Love,Kizz Daniel,35,38,38,42,40,47,42,40.28571429
40,Cultural Praise,Kcee & Okwesili Eze Group,42,40,40,41,48,37,41,41.28571429
41,Shiesty Season,Pooh Shiesty,39,41,41,44,41,39,46,41.57142857
42,Top,YoungBoy Never Broke Again,36,32,32,35,37,52,74,42.57142857
43,Haitian Boy Kodak,Kodak Black,44,47,47,40,44,38,44,43.42857143
44,Omo Charlie Champagne Vol1,Simi,43,46,46,45,51,42,43,45.14285714
45,...Shall We Begin...,Laycon,38,43,43,59,50,48,48,47
46,Ghetto Gospel,Rod Wave,52,52,52,49,43,41,53,48.85714286
47,Three,Patoranking,46,45,45,46,45,54,63,49.14285714
48,Soundgod Fest Vol.1,Runtown,53,48,48,61,49,49,61,52.71428571
49,The Cross: My Gaze,Mercy Chinwo,63,44,44,52,53,60,57,53.28571429
