rank,album,artist,R1,R2,R3,R4,R5,R6,R7,RT
1,19 & Dangerous,Ayra Starr,1,1,1,1,1,3,3,1.5714285714285714
2,We're All Alone In This Together,Dave,2,2,2,2,2,5,5,2.857142857142857
3,Made In Lagos (Deluxe),Wizkid,3,3,3,3,3,6,6,3.857142857142857
4,LV N ATTN,EP - Lojay & Sarz,4,4,4,4,4,7,10,5.285714285714286
5,High Tension 2.0,Dangbana Republik & Bella Shmurda,5,5,5,5,5,10,9,6.285714285714286
6,Planet Her (Deluxe),Doja Cat,6,6,6,6,6,11,11,7.428571428571429
7,UY Scuti,Olamide,8,8,8,7,7,13,12,9.0
8,The Voice of the Heroes,Lil Baby & Lil Durk,9,9,7,8,9,14,13,9.857142857142858
9,Twice As Tall,Burna Boy,10,10,10,9,8,12,14,10.428571428571429
10,Faith,Pop Smoke,7,7,9,10,10,15,16,10.571428571428571
11,PANDEMIC,EP - Ruger,11,11,11,11,12,17,18,13.0
12,"Kpos Lifestyle, Vol. 1",Ajebo Hustlers,13,13,13,12,11,16,15,13.285714285714286
13,King's Disease II,Nas,15,15,15,14,13,18,19,15.571428571428571
14,All In,EP - Skepta,14,14,14,13,14,20,26,16.428571428571427
15,Roots,The Cavemen.,19,19,19,16,15,21,20,18.428571428571427
16,Justice (Triple Chucks Deluxe / Deluxe Video Version),Justin Bieber,16,16,16,18,17,22,25,18.571428571428573
17,Culture III (Deluxe),Migos,18,18,18,20,24,24,22,20.571428571428573
18,The Of,eason - J. Cole,20,20,21,19,20,25,24,21.285714285714285
19,Just A Matter of Slime,YNW Melly,12,12,12,15,16,35,49,21.571428571428573
20,Just Cause Y'all Waited 2 (Deluxe),Lil Durk,21,21,20,23,22,29,23,22.714285714285715
21,Moon Boy,Yung Bleu,25,25,24,21,19,26,21,23.0
22,Sex Over Love,Blaqbonez,26,26,27,17,18,27,29,24.285714285714285
23,Happier Than Ever,Billie Eilish,22,22,22,25,21,32,30,24.857142857142858
24,Sweetness,EP - Obongjayar & Sarz,17,17,17,22,27,36,39,25.0
25,A Better Time,Davido,24,24,25,29,32,28,33,27.857142857142858
26,African Giant,Burna Boy,29,29,30,24,23,30,34,28.428571428571427
27,Hall of Fame,Polo G,28,28,26,27,26,34,31,28.571428571428573
28,Boo of the Booless,Chike,27,27,28,30,31,31,28,28.857142857142858
29,Nothing To Prove,EP - Victor AD,23,23,23,26,28,40,46,29.857142857142858
30,WONDALAND,Teni,30,30,29,28,33,33,38,31.571428571428573
31,Cultural Praise,KCee & Okwesili Eze Group,31,31,31,31,25,39,36,32.0
32,Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke,35,35,35,34,35,37,41,36.0
33,The Voice (Deluxe),Lil Durk,34,34,34,32,37,41,44,36.57142857142857
34,Superstar,Wizkid,40,40,40,36,36,38,45,39.285714285714285
35,Big Conspiracy,J Hus,38,38,36,33,41,43,50,39.857142857142854
36,Man of Galilee,Judikay,41,41,43,40,30,50,35,40.0
37,Old Church Basement,Elevation Worship & Maverick City Music,37,37,38,44,34,52,48,41.42857142857143
38,APOLLO,Fireboy DML,45,45,47,38,43,42,40,42.857142857142854
39,For Broken Ears,Tems,32,32,32,49,44,45,401,90.71428571428571
40,SoundMan Vol. 1 (feat. Wizkid),StarBoy,36,36,37,39,45,51,401,92.14285714285714
41,My Turn (Deluxe),Lil Baby,43,43,42,35,38,48,401,92.85714285714286
42,Rudykillus,Rudeboy,33,33,33,43,48,63,401,93.42857142857143
43,Yabasi,Basketmouth,39,39,39,46,47,44,401,93.57142857142857
44,Somewhere Between Beauty & Magic,Joeboy,42,42,41,37,50,46,401,94.14285714285714
45,...Shall We Begin...,Laycon,46,46,44,42,29,56,401,94.85714285714286
46,Please Excuse Me For Being Antisocial,Roddy Ricch,44,44,45,41,42,49,401,95.14285714285714
47,After Hours,The Weeknd,49,49,48,45,40,57,401,98.42857142857143
48,ASTROWORLD,Travis Scott,47,47,46,48,401,53,401,149.0
49,F*CK LOVE 3+: OVER YOU,The Kid LAROI,50,50,49,53,401,65,401,152.71428571428572
50,Freedom.,EP - Justin Bieber,48,48,50,59,401,62,401,152.71428571428572
51,"Laughter, Tears & Goosebumps",Fireboy DML,62,62,401,52,46,54,401,154.0
52,High Tension,Bella Shmurda,61,61,401,55,49,58,401,155.14285714285714
53,SoulFly,Rod Wave,53,53,401,47,39,401,401,199.28571428571428
54,A Good Time,Davido,52,52,401,56,401,60,401,203.28571428571428
55,Legends Never Die (Video Version),Juice WRLD,54,54,401,54,401,64,401,204.14285714285714
56,A True Champion,Rexxie,51,51,401,50,401,74,401,204.14285714285714
57,KHALED KHALED,DJ Khaled,64,64,401,51,401,61,401,206.14285714285714
58,The Gospel of the Kingdom,Dunsin Oyekan,58,58,401,58,401,67,401,206.28571428571428
59,SOUR,Olivia Rodrigo,60,60,401,57,401,79,401,208.42857142857142
60,BEAUTIFUL THUGGER GIRLS,Young Thug,56,56,401,76,401,70,401,208.71428571428572
61,Clone Wars Vol. 5,The Algorhythm - Show Dem Camp,55,55,401,60,401,100,401,210.42857142857142
62,OXYGENE,EP - Oxlade,68,68,401,65,401,69,401,210.42857142857142
63,Ayo,Wizkid,57,57,401,72,401,86,401,210.71428571428572
64,Black History Project (Live from London),EP - The Spirituals,63,63,401,61,401,87,401,211.0
65,Slime Language 2 (Deluxe),"Young Stoner Life, Young Thug & Gunna",59,59,401,77,401,80,401,211.14285714285714
66,Boyfriend,CKay,66,66,401,63,401,82,401,211.42857142857142
