rank,album,artist,Previous week,weeks on chart
1,High Tension 2.0,Dangbana Republik & Bella Shmurda,1,3
2,UY Scuti,Olamide,2,6
3,Made In Lagos,Wizkid,3,7
4,LV N ATTN,EP - Lojay & Sarz,8,7
5,Twice As Tall,Burna Boy,4,7
6,Somewhere Between Beauty & Magic,Joeboy,7,7
7,A True Champion,Rexxie,5,4
8,APOLLO,Fireboy DML,13,7
9,A Better Time,Davido,10,7
10,WONDALAND,Teni,6,7
11,What Have We Done,EP - Omah Lay,19,7
12,High Tension,Bella Shmurda,12,4
13,Superstar,Wizkid,21,7
14,Sex Over Love,Blaqbonez,11,7
15,"Laughter, Tears & Goosebumps",Fireboy DML,18,7
16,Please Excuse Me for Being Antisocial,Roddy Ricch,20,7
17,Clone Wars Vol. 5 (- The Algorhythm),The Algorhythm - Show Dem Camp,9,2
18,Cultural Praise,KCee & Okwesili Eze Group,23,7
19,Get Layd,EP - Omah Lay,17,7
20,Boo of the Booless,Chike,14,7
21,Boyfriend,CKay,41,7
22,Light,MohBad,40,2
23,Man Of Galilee,Judikay,16,7
24,THE GOAT,Polo G,31,7
25,For Broken Ears,Tems,25,7
26,ROOTS,The Cavemen.,33,4
27,Wild West,Central Cee,30,7
28,Carpe Diem,Olamide,22,7
29,High Off Life,Future,64,7
30,Top,YoungBoy Never Broke Again,78,7
31,WUNNA,Gunna,0,1
32,Yabasi,Basketmouth,55,7
33,A Good Time,Davido,15,7
34,Slime Language 2 (Deluxe),"Young Stoner Life, Young Thug & Gunna",0,1
35,Gratitude,Timaya,47,7
36,"Kpos Lifestyle, Vol. 1",Ajebo Hustlers,0,1
37,Fuji The Sound,EP - K1 De Ultimate,0,1
38,Simisola (Deluxe),Simi,0,1
39,TOP MEMBA,Kida Kudz,0,1
40,PANDEMIC,EP - Ruger,46,7
41,The Voice of the Heroes,Lil Baby & Lil Durk,48,7
42,African Giant,Burna Boy,50,7
43,Hall of Fame,Polo G,49,7
44,Culture III,Migos,52,6
45,...Shall We Begin...,Laycon,29,7
46,Justice,Justin Bieber,51,7
47,Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke,53,7
48,Love or the Word (EP),Jaywillz,57,3
49,SATISFIED,Mercy Chinwo,0,1
50,KHALED KHALED,DJ Khaled,69,7
51,OXYGENE,EP - Oxlade,36,7
52,Legends Never Die,Juice WRLD,61,7
53,Faith,Pop Smoke,0,1
54,Death Race For Love,Juice WRLD,59,7
55,Masta Groove,Masterkraft,27,4
56,Planet Her (Deluxe),Doja Cat,65,3
57,Moon Boy,Yung Bleu,0,1
58,Rum & Boogie,Peruzzi,24,7
59,King Of Love,Kizz Daniel,73,4
60,2 in 1,DARKOO,0,1
61,Alagbe,Qdot,54,3
62,SOUR,Olivia Rodrigo,95,7
63,The Gospel of the Kingdom,Dunsin Oyekan,91,7
64,All Over The Place (Platinum VIP Edition),KSI,0,1
65,Afro Pop Vol. 1,Adekunle Gold,72,4
66,The King Is Coming,Nathaniel Bassey,0,1
67,Haitian Boy Kodak,Kodak Black,28,7
68,Ayo,Wizkid,56,2
69,SoulFly,Rod Wave,84,7
70,Before the Chaos (-EP),P - Erigga,0,1
71,Off The Yak,Young M.A,0,1
72,The Voice (Deluxe),Lil Durk,82,4
73,SoundMan Vol. 1,StarBoy,75,2
74,USEE4YOURSELF,IDK,34,2
75,The Message,Minister GUC,85,7
76,PSYCHODRAMA,Dave,88,3
77,JORDI (Deluxe),Maroon 5,0,1
78,SAVAGE MODE II,21 Savage & Metro Boomin,32,7
79,ASTROWORLD,Travis Scott,79,3
80,Just Cause Y'all Waited 2 (Deluxe),Lil Durk,83,7
81,The Palmwine Express,Show Dem Camp,37,7
82,Goodbye & Good Riddance (Anniversary Edition),Juice WRLD,0,1
83,7 (Deluxe),Lil Nas X,0,1
84,Twelve A.M,Crayon,0,1
85,Too Late Too Lit,KDDO,98,2
86,Shiesty Season,Spring Deluxe - Pooh Shiesty,96,2
87,Vince Staples,Vince Staples,76,2
88,Big Conspiracy,J Hus,86,7
89,East Atlanta Love Letter,6LACK,0,1
90,Zulu Man With Some Power,Nasty C,0,1
91,The Greatest Showman (Original Motion Picture Soundtrack),"Benj Pasek & Justin Paul, Hugh Jackman, Keala Settle, Zac Efron, Zendaya",77,2
92,Scorpion,Drake,0,1
93,Old Church Basement,Elevation Worship & Maverick City Music,71,7
94,Back of My Mind,H.E.R.,0,1
95,While The World Was Burning,SAINt JHN,0,1
96,Product of My Environment,Abra Cadabra,100,7
97,The Human Condition,Jon Bellion,0,1
98,Dark Lane Demo Tapes,Drake,0,1
99,Hollywood's Bleeding,Post Malone,90,7
100,My Turn (Deluxe),Lil Baby,0,1
