Position,album,artist
1,THE GOAT,Polo G
2,Before We Fall Asleep,Johnny Drille
3,No Pressure,Sarkodie
4,All or Nothing,Rotimi
5,King Of Love,Kizz Daniel
6,All That Matters,Ayanfe
7,Boo of the Booless,Chiké
8,Hot Pink,Doja Cat
9,Moon Boy,Yung Bleu
10,Shopla,Jaido P
11,Queendoncom,Yemi Alade
12,Trap Symphony EP,Roddy Ricch
13,Euphoria,PsychoYP
14,Born Fi Dis (Prelude),Vybz Kartel
15,The African Gentleman (Deluxe Version),Ric Hassani
16,Seed,Gyakie
17,Hitler Wears Hermes 8: Sincerely Adolf,Westside Gunn
18,Just In Love,Otile Brown
19,Forever 23,JayDaYoungan
20,Bawskee 4,Comethazine
21,? (Deluxe),XXXTENTACION
22,Leaked Polo G,Chicago Rappers
23,Kokovha,Makhadzi
24,Bawskee 2,Comethazine
25,January 10th,Yo Gotti
26,BAWSKEE 3.5,Comethazine
27,Pandemic,Comethazine
28,Music For Sleeping,Gentle Vibrations
29,CM7: The World Is Yours,Yo Gotti
30,COME BACK,SETHOO GH
31,The Black House,Sleepy Hallow
32,Drip Season 3,Gunna
33,23,JayDaYoungan
34,Pain and Love EP,Fivio Foreign
35,17,XXXTENTACION
36,Of Dons & Divas,Vybz Kartel
37,King Of The Dancehall,Vybz Kartel
38,Bawskee,Comethazine
39,One Foot In,Nines
40,CM6: Gangsta of the Year,Yo Gotti
41,Cocaine Muzik,Yo Gotti
42,Cocaine Muzik 3,Yo Gotti
43,Cocaine Muzik 4: Gangsta Grillz,Yo Gotti & Zedzilla
44,Mafia Culture (Vol. 2.0),Idowest
45,PLAYBOY,Tory Lanez
46,Love Or The Word,Jaywillz
47,All Eyez On Nipsey,"Nipsey Hussle, 2Pac"
48,MWWU,WurlD
