rank,song,artist,R1,R2,R3,RT
70,Akekho,Kekelingo,73,66,77,72.0
71,Vanity,MzVee and Kelvyn Boy,74,67,78,73.0
72,PINDA,Nedy Music,75,68,79,74.0
73,I Like That,The Great Eddy,77,70,81,76.0
74,Aroma Persona,Izzik,78,71,82,77.0
75,AJE (feat. Remy Crown),DJ Big N,79,72,83,78.0
76,Know Person,Sean Tizzle,80,73,84,79.0
77,Pull Up,Gabzy,81,74,85,80.0
78,Cassette (feat. King Promise),Nanky,85,75,86,82.0
79,Petty,Olamide,86,76,87,83.0
80,Duduke (French),Simi and Deja,87,77,88,84.0
81,First Sermon,Black Sherif,88,78,89,85.0
82,"Y3 Y3 DOM (feat. Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga & O'Kenneth)",Jay Bahd,89,79,90,86.0
83,Touch It,KiDi,90,80,91,87.0
84,All (feat. Davido),Rexxie featuring Davido,91,81,92,88.0
85,Praise,Fameye,201,88,7,98.66666666666667
86,Chargie (feat. Jonny Blaze & Stadic),"Reekado Banks, Teejay & Lord Afrixana",201,83,13,99.0
87,All The Above,Show Dem Camp,201,91,9,100.33333333333333
88,Dorime (feat. Musette & Vector),Samklef,201,87,16,101.33333333333333
89,"Ndombolo (feat. AbduKiba, K2ga & Tommy Flavour)",Alikiba,201,89,15,101.66666666666667
90,Salute (feat. RudeBoy),Alikiba,201,90,17,102.66666666666667
91,New Couple,Nandy,201,93,20,104.66666666666667
92,Changanya (feat. Jux & Kenz Ville),Jay Rox,76,69,201,115.33333333333333
93,Nimekuzoea,Nandy,201,92,93,128.66666666666666
94,Yote Sawa,Nandy,201,94,94,129.66666666666666
95,Understand,Omah Lay,201,201,1,134.33333333333334
96,Bobo,Aya Nakamura,6,201,201,136.0
97,Chance (feat. Tay Iwar & Projexx),JulsBaby,30,201,201,144.0
98,Thunder Fire You,Ric Hassani,45,201,201,149.0
99,One Time Ting,DJ Tunez & J. Anthoni,46,201,201,149.33333333333334
100,Rush,Dangbana Republik X Bella Shmurda,50,201,201,150.66666666666666
101,Kiss Me Like You Miss Me,CKay,52,201,201,151.33333333333334
102,Bomb,DJ Tunez & J. Anthoni,54,201,201,152.0
103,Sukari,Zuchu,63,201,201,155.0
104,Funu,"Kabza De Small, DJ Maphorisa and TRESOR",65,201,201,155.66666666666666
105,Changanya (feat. Jux & Kenz Ville),Jay Rox x Jux,201,201,80,160.66666666666666
106,Fresh (feat. Samba Peuzzi),Iss 814,82,201,201,161.33333333333334
107,Somebody (feat. Phyno),Olamide,83,201,201,161.66666666666666
108,Kwadede,Kwabena Kwabena,84,201,201,162.0
109,Chargie (feat. Jonny Blaze & Stadic),"Reekado Banks, Teejay, Lord Afrixana",93,201,201,165.0
110,Free Your Mind,Blaq Jerzee & Jux,201,201,95,165.66666666666666
