Position,album,artist
1,APOLLO,Fireboy DML
2,Somewhere Between Beauty & Magic,Joeboy
3,WONDALAND,Teni
4,High Tension EP,Bella Shmurda
5,Carpe Diem,Olamide
6,What Have We Done,Omah Lay
7,Made in Lagos,Wizkid
8,Rema Compilation,Rema
9,A Better Time,Davido
10,SoulFly,Rod Wave
11,Twice As Tall,Burna Boy
12,Just Cause Y'all Waited 2 (Deluxe),Lil Durk
13,Sex Over Love,Blaqbonez
14,THE GOAT,Polo G
15,Get Layd,Omah Lay
16,Just Cause Y’all Waited 2,Lil Durk
17,"Laughter, Tears & Goosebumps",Fireboy DML
18,Please Excuse Me for Being Antisocial,Roddy Ricch
19,Superstar,Wizkid
20,Rum & Boogie,Peruzzi
21,LIGHT (The EP),MohBad
22,Man Of Galilee,Judikay
23,TOP PRIZE,ALKALINE
24,Chrome Eccentric Ep,Zinoleesky
25,Gratitude,Timaya
26,High Off Life,Future
27,Boyfriend,CKay
28,Afro Pop Vol. 1,Adekunle Gold
29,LV N ATTN,Lojay & Sarz
30,Boo of the Booless,Chiké
31,I'll Say It For You,Dax
32,Twelve A.M,Crayon
33,Razor,Cheque
34,Simisola,Simi
35,Off The Yak,Young M.A
36,Welcome to O'Block,King Von
37,Love & Light,Joeboy
38,For Broken Ears,Tems
39,Soundgod Fest Vol.1,Runtown
40,...Shall We Begin...,Laycon
41,23 Is Back,JayDaYoungan
42,Bad Commando,Rema
43,Culture,Migos
44,Just Cause Y'all Waited,Lil Durk
45,NEW ERA,Kiss Daniel
46,Haitian Boy Kodak,Kodak Black
47,King Of Love,Kizz Daniel
48,Cultural Praise,Kcee & Okwesili Eze Group
49,The Cross: My Gaze,Mercy Chinwo
50,Omo Charlie Champagne Vol1,Simi
51,Pray 4 Love,Rod Wave
52,Know You,Ladipoe
53,Three,Patoranking
54,Top,YoungBoy Never Broke Again
55,A Good Time,Davido
56,Love Songs 4 The Streets 2,Lil Durk
57,Pluto x Baby Pluto,Future & Lil Uzi Vert
58,Simisola (Deluxe),Simi
59,Herstory in the Making,Young M.A
60,OXYGENE,Oxlade
61,Twice As Tall,Burna Boy
62,The Prince I Became,Ric Hassani
63,Wild West,Central Cee
64,Hot Pink,Doja Cat
65,Shiesty Season,Pooh Shiesty
66,Ghetto Gospel,Rod Wave
67,TattleTales,6ix9ine
68,Hoodie SZN,A Boogie Wit Da Hoodie
69,Something Else,Mr Eazi
70,Shottaz 4Eva,MO3
71,Lil Durk Presents: Loyal Bros,Only The Family
72,Top Chef Gotit,Lil Gotit
73,Shiesty Season - Spring Deluxe,Pooh Shiesty
74,SoundGod Fest Reloaded,Runtown
75,SAVAGE MODE II,21 Savage & Metro Boomin
76,Pluto x Baby Pluto (Deluxe),Future & Lil Uzi Vert
77,Slime Language 2,"Young Stoner Life, Young Thug & Gunna"
78,Nobody: The Extended Playlist (Worldwide Remixes),DJ Neptune
79,Hakuna Matata,Dotman
80,The Message,Minister GUC
81,Deal with It,Phyno
82,SATISFIED,Mercy Chinwo
83,Levon James,King Von
84,7,Lil Nas X
85,Billionaire,Teni
86,Chulo Vibes,Timaya
87,6locc 6a6y,Lil Loaded
88,Until Death Call My Name (Reloaded),YoungBoy Never Broke Again
89,Realms,Wande Coal
90,Rema Freestyle EP,Rema
91,I Love Girls With Trobul,Sarz X WurlD
92,TIME,Yaw Tog
93,S.C.A.M,G4 Boyz
94,What Have We Done,Omah Lay
95,Off The Record,Reekado Banks
96,PTSD,Rod Wave
97,Trap Symphony EP,Roddy Ricch
98,Good News,Megan Thee Stallion
99,The Beauty of Becoming,Rotimi
100,Slime Language 2 (Deluxe),"Young Stoner Life, Young Thug & Gunna"
101,LOL (Lord of Lamba),Naira Marley
102,Afrodisíaco,Rauw Alejandro
103,Only The Generals Part II,Kevin Gates
104,PINK PLANET,Pink Sweat$
105,So Much Fun,Young Thug
106,T R A P S O U L (Deluxe),Bryson Tiller
107,ZaZa Vibes,L.A.X
108,L.O.V.E.,Luh Kel
109,Pray 4 Love (Deluxe),Rod Wave
110,Kommunity Service,YG & Mozzy
111,Nobody Safe,Rich The Kid & YoungBoy Never Broke Again
112,Mixed Emotions,Luh Kel
113,CITIZEN OF THE WORLD,King Perryy
114,Signed To The Streets 3,Lil Durk
115,Alagbe,Qdot
116,Viral Infection 1.0,Ayanfe Viral
117,Too Late Too Lit,KDDO
118,Tropical Depression Riddim,"VARIOUS ARTISTE (KRANIUM, TEEJAY, SHATTA WALE, JAHMEIL & MORE)"
119,WUNNA,Gunna
120,L.O.V.E. (Deluxe),Luh Kel
121,A Beautiful Space,Grace Weber
122,Orange Print,Larry June
123,Greatest Lord,SINACH
124,Anloga Junction,Stonebwoy
125,RESTLESS II,Simi
126,The Prince I Became (Deluxe Edition),Ric Hassani
127,Solid Focus Riddim,"Popcaan, Zamunda, Furnace"
128,The Backend Child,NoCap
129,Homesick,Trevor Daniel
130,Yabasi,Basketmouth
131,PTSD,G Herbo
132,Amazing Grace,MEDIKAL
133,The Prodigal,Mr. P
134,Dum and Dummer 2,Young Dolph & Key Glock
135,Legendary,Tyga
136,Blackstar,Kelvyn Boy
137,Built For Whatever,Tee Grizzley
138,Mr. Boombastic,Blaqbonez
139,Roots,NSG
140,Lucille's Grandson,Kevo Muney
141,Trench Baby (Deluxe Edition),Lil Zay Osama
142,Love Scars: The 5 Stages Of Emotions (Deluxe),Yung Bleu
143,Shockwave,Marshmello
144,The Palmwine Express,Show Dem Camp
145,Big Grim Reaper,Big Scarr
146,Live From Nkrumah From Vol II: Home Run,Kwesi Arthur
147,Aje (The Mixtape),Jaywon
148,"Illegal Remixes Vol 1: Love, Lies & Luxury",GoodyBoy
149,Nicotine,Trevor Daniel
150,Ecstasy,Lil Kesh
151,Type Beats| Rap|Afro-Pop|RnB|Trap/HipHop|Trapsoul 2020 instrumentals,Ryzy.A Beats
152,Mainland To Island,Oladips x Zlatan
153,Wildboy,Calboy
154,High Supremacy Riddim,"Various Artiste (Tommy Lee Sparta, Teejay, Jahvinci, Shatta Wale & More)"
155,Eternal Atake (Deluxe) - LUV vs. The World 2,Lil Uzi Vert
156,A Boy From Tandale,Diamond Platnumz
157,Seed,Gyakie
158,Jackboy,Jackboy
159,"Grandson, Vol. 1",King Von
160,Cray Cray,Crayon
161,Honorable,Hotkid
162,YOU,Ali Gatie
163,Signed To The Streets 2.5,Lil Durk
164,Timeless Ep,Aje
165,The Idea Of Her,Ali Gatie
166,Still Taking Risks,Quando Rondo
167,Trap Symphony EP,Burna Boy
168,The Mayor of Lagos,Mayorkun
169,Rora,Reekado Banks
170,Table For Two,Korede Bello
171,Artist 2.0,A Boogie Wit da Hoodie
172,Loyalty Over Royalty (Deluxe),CJ
173,Afro Series,Terri
174,Fever,Megan Thee Stallion
175,Future Hndrxx Presents: The WIZRD,Future
176,The Prodigy,Skillibeng
177,1.5 Way Or No Way,Yung Mal
178,Empress,Yemi Alade
179,Kut Da Fan On,HOTBOII
180,Billionaire Sheikh Riddim,"Teejay, Shatta Wale, Beenie Man, Demarco & More"
181,!,Trippie Redd
182,Trench Baby,Lil Zay Osama
