Position,song,artist
1,Understand,Omah Lay
2,Feeling,LADIPOE
3,Rock,Olamide
4,Naira Marley,Zinoleesky
5,Sinner,Adekunle Gold
6,Outside,Buju
7,Yaba Buluku [Remix],Dj Tarico & Burna Boy
8,40 BTC,Rexxie featuring Seyi Vibez
9,Bia,Phyno
10,Out There,"Dangbana Republik, Bella Shmurda"
11,CELEBRATE ME,Patoranking
12,History,Cheque & Fireboy DML
13,Confident,Savage X Buju
14,COMING,Naira Marley
15,Far Away,"Dangbana Republik, Bella Shmurda"
16,Focus,Joeboy
17,Jailer,Olamide
18,Need For Speed,Olamide
19,Bling,Blaqbonez
20,It Is What It Is,Adekunle Gold
21,Lako,"Dangbana Republik, Bella Shmurda"
22,Running (To You),ChikÃ©
23,INJURE ME,Teni
24,Essence,Wizkid
25,Ayewada,Barry Jhay
26,Julie,Olamide
27,World,"Dangbana Republik, Bella Shmurda"
28,FOR YOU,Teni featuring Davido
29,Are You Sure,Lyta
30,Olofofo,Victor AD
31,Kilometre,Burna Boy
32,Soldier Go,"Dangbana Republik, Bella Shmurda"
33,Money,"Terri, Bella Shmurda, Mohbad"
34,PonPon,Olamide
35,Omo X 100,Reminisce
36,90â€™S,Seyi Vibez
37,Ke Star Remix,Focalistic & Davido
38,Somebody,Olamide
39,Triumphant,Olamide
40,Hallelu,Masterkraft
41,Too Correct,Crayon
42,Kilofeshe,Zinoleesky
43,All,Rexxie featuring Davido
44,Pronto,Ajebo Hustlers & Omah Lay
45,Ginger,Wizkid
46,Soundgasm,Rema
47,World (Alternate Cut),Bella Shmurda
48,Somebody Baby,Peruzzi & Davido
49,Felony,CKay
50,Korope,Lil Kesh
51,Rush,Dangbana Republik X Bella Shmurda
52,Cup of Tea,Olamide
53,Champion,"Dangbana Republik, Bella Shmurda"
54,Godly,Omah Lay
55,Bad Type,Seyi Vibez
56,Infinity,Olamide
57,Cash App,Bella Shmurda
58,Catalyst,Seyi Vibez
59,Cho Cho,Zlatan
60,TAKE OFF,corizo
61,Sho Mo Mi,Bella Shmurda
62,Late At Night,Roddy Ricch
63,Yafun Yafun,Ajebo Hustlers
64,Ginger Me (Intro),Bella Shmurda
65,23,Burna Boy
66,PAMI,DJ Tunez
67,Koleyewon,Naira Marley
68,Lonely,Joeboy
69,Way Too Big,Burna Boy
70,Omnipotent,Bella Shmurda
71,Champion,Fireboy DML & D Smoke
72,Ori,Barry Jhay
73,Don Dada,Timaya
74,The Best,Davido
75,Upgrade,Bella Shmurda
76,Vision 2020,Bella Shmurda
77,Picture Freestyle,Seyi Vibez
78,Survive,Jaido P
79,KPK (Ko Por Ke),Rexxie and MohBad
80,Bad Influence,Omah Lay
81,High Way,DJ Kaywise & Phyno
82,Body (Remix),Tion Wayne x Russ Millions
83,Liquor,Bella Shmurda
84,Lenu (Remix),Buju
85,Door,Joeboy
86,Pay day,Seyi Vibez
87,Ma Pariwo,Zinoleesky
88,So Lovely,Buju
89,Early Momo,Vector
90,Sorry,MohBad
91,Only You,Bella Shmurda
92,KOLO,Ice Prince
93,No Stress,WizKid
94,Colorado,Zugo
95,Boi Boi,Rexxie featuring Teni
96,Muje,Barry Jhay
97,Chi Chi,Naira Marley
98,Tonongo,"Lojay, Sarz"
99,Can't Relate,Omah Lay
100,Real Life,Burna Boy
101,God Sent,Seyi Vibez
102,PEPE,L.A.X & Davido
103,Southy Love,Peruzzi
104,Dangbana Orisa,Bella Shmurda
105,Fall for Me,Laycon
106,Smile,Wizkid
107,Holy Ground,Davido
108,Amope,Bella Shmurda
109,Airplane Mode,Fireboy DML
110,Damages,Tems
111,My Bebe,Omah Lay
112,Adura,Mohbad
113,FEM,Davido
114,Music Messiah,DJ Neptune
115,Frenemies,Rexxie and Oxlade
116,You,Omah Lay
117,Spiritual,Buju
118,Omalicha,kolaboy
119,If E Happen For Lagos,Runtown
120,Temptation,Tunji Ige
121,Ginger Me,Rema
122,If You No Love,ChikÃ©
123,Loading,Olamide
124,Door,Joeboy
125,Omo Ologo,Lil Frosh
126,Happiness,Davolee
127,Legends,Juice WRLD
128,MOSLADO,Teni
129,Wonderful,Burna Boy
130,Celebration,Joeboy
131,Currently,Kizz Daniel
