rank,song,artist,R1,R2,R3,R4,R5,RT
86,MOSLADO,Teni,37,38,38,401,401,183.0
87,Addicted,DJ Tunez & J. Anthoni,39,40,40,401,401,184.2
88,Fine Wine (feat. King Promise & Joeboy),R2Bees,401,401,100,12,12,185.2
89,Low Key Feat. Sarkodie (feat. Sarkodie),E.L,41,42,42,401,401,185.4
90,Simple Instruction,"Smallgod, R2Bees",401,401,101,13,13,185.8
91,Omo X 100 (feat. Olamide),Reminisce,401,401,99,14,14,185.8
92,Ukimwona,H_ART THE BAND,42,43,43,401,401,186.0
93,Baridi (feat. Sanaipei Tande),Nviiri The Storyteller featuring Sanaipei Tande,43,44,44,401,401,186.6
94,Give It to Me,"Smallgod, 2BABA",401,401,102,17,17,187.6
95,Complicated (feat. Yemi Alade & Bisa Kdei),Philkeyz featuring Yemi Alade and Bisa Kdei,47,48,48,401,401,189.0
96,HUSTLE,Teni,49,50,50,401,401,190.2
97,Wenge,Mimi Mars,50,51,51,401,401,190.8
98,Wagwan,Laycon,51,52,52,401,401,191.4
99,Falling For U,"Blaq Jerzee, Mr Eazi and Harmonize",52,53,53,401,401,192.0
100,Sawa,Jux,58,59,59,401,401,195.6
101,The Don,Mr Eazi,59,60,60,401,401,196.2
102,Birthday Song (feat. Khaligraph Jones),"Nviiri The Storyteller, Sauti Sol and Bensoul featuring Khaligraph Jones",60,61,61,401,401,196.8
103,Changanya (feat. JUX & Kenz Ville),Jay Rox,86,86,85,401,401,211.8
104,Kamata,Diamond Platnumz,401,401,401,7,7,243.4
105,Changanya (feat. Jux & Kenz Ville),Jay Rox,401,401,401,76,76,271.0
106,First Sermon,Black Sherif,401,401,401,401,88,338.4
107,"Y3 Y3 DOM (feat. Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga & O'Kenneth)",Jay Bahd,401,401,401,401,89,338.6
108,Touch It,KiDi,401,401,401,401,90,338.8
