Position,song,artist
1,Feel Good,Mohbad
2,Understand,Omah Lay
3,Feeling,LADIPOE
4,Rock,Olamide
5,Naira Marley,Zinoleesky
6,Outside,Buju
7,Testimony,Buju
8,Yaba Buluku [Remix],Dj Tarico & Burna Boy
9,Sinner,Adekunle Gold
10,Aiye,Barry Jhay
11,40 BTC,Rexxie featuring Seyi Vibez
12,COMING,Naira Marley
13,Out There,"Dangbana Republik, Bella Shmurda"
14,History,Cheque & Fireboy DML
15,Confident,Savage X Buju
16,CELEBRATE ME,Patoranking
17,Focus,Joeboy
18,Far Away,"Dangbana Republik, Bella Shmurda"
19,Bling,Blaqbonez
20,Jailer,Olamide
21,FOR YOU,Teni featuring Davido
22,INJURE ME,Teni
23,Ayewada,Barry Jhay
24,Running (To You),Chiké
25,Essence,Wizkid
26,It Is What It Is,Adekunle Gold
27,Bia,Phyno
28,Need For Speed,Olamide
29,Julie,Olamide
30,Are You Sure,Lyta
31,World,"Dangbana Republik, Bella Shmurda"
32,Money,"Terri, Bella Shmurda, Mohbad"
33,Kilometre,Burna Boy
34,Soldier Go,"Dangbana Republik, Bella Shmurda"
35,Lako,"Dangbana Republik, Bella Shmurda"
36,Olofofo,Victor AD
37,Ke Star Remix,Focalistic & Davido 
38,Hallelu,Masterkraft
39,Peru,Fireboy DML
40,Triumphant,Olamide
