Position,album,artist
1,19 & Dangerous,Ayra Starr
2,UY Scuti,Olamide
3,High Tension 2.0,Dangbana Republik & Bella Shmurda
4,High Tension EP,Bella Shmurda
5,APOLLO,Fireboy DML
6,Carpe Diem,Olamide
7,WONDALAND,Teni
8,Somewhere Between Beauty & Magic,Joeboy
9,Rema Compilation,Rema
10,What Have We Done,Omah Lay
11,Zero Panic,Balloranking
12,THE GOAT,Polo G
13,"Laughter, Tears & Goosebumps",Fireboy DML
14,Nothing To Prove,Victor AD
15,Twice As Tall,Burna Boy
16,LIGHT (The EP),MohBad
17,Get Layd,Omah Lay
18,Before We Fall Asleep,Johnny Drille
19,A True Champion,Rexxie
20,Eclipse,Troniq Music & Oxlade
21,Please Excuse Me for Being Antisocial,Roddy Ricch
22,NEW ERA,Kiss Daniel
23,Rum & Boogie,Peruzzi
24,No Pressure,Sarkodie
25,High Off Life,Future
26,Chrome Eccentric Ep,Zinoleesky
27,Man Of Galilee,Judikay
28,"Kpos Lifestyle, Vol. 1",Ajebo Hustlers
29,Shottaz 4Eva (Deluxe),MO3
30,Simisola,Simi
31,Afro Pop Vol. 1,Adekunle Gold
32,Gratitude,Timaya
33,Welcome to O'Block,King Von
34,King Of Love,Kizz Daniel
35,LV N ATTN,Lojay & Sarz
36,Superstar,Wizkid
37,Razor,Cheque
38,Sex Over Love,Blaqbonez
39,Top,YoungBoy Never Broke Again
40,I'll Say It For You,Dax
41,Boo of the Booless,Chiké
42,TattleTales,6ix9ine
43,Life of Betrayal 2x,Yungeen Ace
44,TOP PRIZE,ALKALINE
45,The Golden Boy,KiDi
46,Simisola (Deluxe),Simi
47,Boyfriend,CKay
48,For Broken Ears,Tems
49,Love & Light,Joeboy
50,Shottaz 4Eva,MO3
51,The Cross: My Gaze,Mercy Chinwo
52,Omo Charlie Champagne Vol1,Simi
53,Hot Pink,Doja Cat
54,Cultural Praise,Kcee & Okwesili Eze Group
55,Three,Patoranking
56,7,Lil Nas X
57,Bad Commando,Rema
58,i hope you're very unhappy without me,María Isabel
59,Soundgod Fest Vol.1,Runtown
60,Twelve A.M,Crayon
61,Off The Yak,Young M.A
62,Shiesty Season,Pooh Shiesty
63,Twice As Tall,Burna Boy
64,The Message,Minister GUC
65,Culture,Migos
66,Deal with It,Phyno
67,Water & Garri,Tiwa Savage
68,All or Nothing,Rotimi
69,Billionaire,Teni
70,SATISFIED,Mercy Chinwo
71,Rudykillus,Rudeboy
72,Just A Matter of Slime,YNW Melly
73,Dead roses  chronicles2,Corizo
74,Queendoncom,Yemi Alade
75,Hakuna Matata,Dotman
