rank,song,artist,Previous week,weeks on chart
1,Bounce (Official Video),Ruger,2,6
2,Essence ft. Tems,Wizkid,3,6
3,Feeling,LADIPOE,1,6
4,Kilometre,Burna Boy,5,6
5,Understand,Omah Lay,4,6
6,Rock (Official Video),Olamide,6,6
7,FOR YOU,Teni,8,6
8,Running (To You) ft. Simi,Chike,7,6
9,Lonely,Joeboy,10,5
10,Abule,Patoranking,9,4
11,Somebody ft. Phyno,Olamide,11,6
12,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez,12,4
13,Godly,Omah Lay,13,6
14,Infinity ft. Omah Lay,Olamide,14,5
15,Too Correct,Crayon,15,5
16,Door,Joeboy,23,6
17,Touch It,KiDi,16,6
18,Somebody Baby,Peruzzi & Davido,20,5
19,Loading (feat. Bad Boy Timz),Olamide,17,4
20,Onyeka (Baby),Burna Boy,21,4
21,Focus,Joeboy,24,6
22,Chargie,"Reekado Banks, Teejay & Lord Afrixana",19,4
23,Love Like This,Lil Kesh,29,5
24,Summeryomuthi,Blaq Diamond,28,6
25,My Bebe,Omah Lay,22,6
26,If You No Love (feat. Mayorkun),Chike,27,6
27,Woman,Rema,30,4
28,Felony,CKay,32,6
29,Slow Down,King Promise,31,6
30,Outside,Buju,33,4
31,Mercy (Official Audio),Falz,0,1
32,Peaches (Masterkraft Remix),Justin Bieber,36,2
33,Enjoy (Remix),Tekno,37,3
34,Kiss Me Like You Miss Me,CKay,35,4
35,The Best (feat. Mayorkun),Davido,39,4
36,Luva Luva,Runtown,41,3
37,Big Thug Boys,AV,42,4
38,Show Me,Joeboy,43,4
39,History ft. Fireboy DML,Cheque,44,4
40,Medicine,Jaywillz,45,2
41,Rise Up ft. Falz,2Baba,0,1
42,Yote Sawa,Nandy,46,5
43,My Jaber (Friday),H_ART THE BAND featuring Brizy Annechild,18,6
44,Any More ft. Phyno,Victor AD,0,1
45,Black ft. Mr Eazi,Victor AD,0,1
46,Cut Soap,Fiokee & Raybekah,48,3
47,Yktv (feat. Lady Donli),Ilaye,0,1
48,Celebrate Me,Patoranking,49,6
49,Gonto,Ibejii,0,1
50,Triumphant ft. Bella Shmurda,Olamide,0,1
