,Position,song,artist
0,1,Bounce,Ruger
1,2,Running (To You),Chike
2,3,Infinity,Olamide
3,4,Forever (Remix),Gyakie
4,5,Bling (feat. Amaarae & Buju),Blaqbonez
5,6,Peru,Fireboy Dml
6,7,Essence (feat. Tems),Wizkid
7,8,Peaches (Masterkraft Remix),Justin Bieber
8,9,Gone Girl,Obongjayar
9,10,Feeling,LADIPOE
10,11,Bloody Samaritan,Ayra Starr
11,12,Outside,Buju
12,13,Pray,Victony
13,14,Slow Down,King Promise
14,15,Call Me Baby,Cheque
15,16,Vibration,Fireboy Dml
16,17,Touch It,KiDi
17,18,Away,Ayra Starr
18,19,Baby I'm Jealous,Mr Eazi
19,20,Searching,Lady Donli
20,21,Soundgasm,Rema
21,22,PANTIES,Kagwe Mungai
22,23,Send Me Nudes,KiDi
23,24,My Jaber (Friday),H_art the Band
24,25,In My Maserati,Olakira
25,26,Whine,Gyakie
26,27,Shine Your Light (feat. Akon),Master KG
27,28,Say Cheese,KiDi
28,29,Nana,TomE
29,30,Woman,Rema
30,31,Baikoko,Mbosso
31,32,Enjoy (Remix),Tekno
32,33,La La (feat. Ckay),DaVido
33,34,Bank Notification,Ciza
34,35,Summeryomuthi,Blaq Diamond
35,36,Bossy Part II,WurlD
36,37,Damages,Tems
37,38,Nobody,DJ Neptune
38,39,Questions,Shekhinah
39,40,FOR YOU,Teni
40,41,I Love You,Mr. P
41,42,The Best (feat. Mayorkun),DaVido
42,43,Lonely,Joeboy
43,44,Thunder Fire You,Ric Hassani
44,45,Forever,Gyakie
45,46,Kiss Me Like You Miss Me,CKay
46,47,Fire on the Mountain,Salatiel
47,48,Focus,Joeboy
48,49,Designer,Tekno
49,50,Man Dem,Crayon
