rank,song,artist,Previous week,weeks on chart
1,Bounce (Official Video),Ruger,2,8
2,Feeling,LADIPOE,1,8
3,Essence ft. Tems,Wizkid,3,8
4,Understand,Omah Lay,4,8
5,Rock (Official Video),Olamide,6,8
6,Kilometre,Burna Boy,5,8
7,Running (To You) ft. Simi,Chike,7,8
8,Abule,Patoranking,8,8
9,Lie,Kizz Daniel,22,7
10,Peru,Fireboy DML,32,6
11,FOR YOU,Teni,10,8
12,Lonely,Joeboy,9,6
13,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez,13,8
14,Godly,Omah Lay,11,7
15,Infinity ft. Omah Lay,Olamide,12,7
16,Too Correct,Crayon,14,8
17,Testimony,Buju,49,8
18,Green Light,Olamide,0,1
19,Door,Joeboy,26,6
20,Love Like This,Lil Kesh,15,6
21,Chargie,"Reekado Banks, Teejay & Lord Afrixana",18,8
22,My Bebe,Omah Lay,17,2
23,Loading (feat. Bad Boy Timz),Olamide,16,7
24,If You No Love (feat. Mayorkun),Chike,23,8
25,Somebody Baby,Peruzzi & Davido,24,2
26,Onyeka (Baby),Burna Boy,20,8
27,Forever (Remix),Gyakie,0,1
28,High Way,Dj Kaywise,0,1
29,Somebody’s Son (Ft Brandy),Tiwa Savage,0,1
30,Ginger (feat. Burna Boy),Wizkid,29,6
31,Ojuju,Troniq Music,0,1
32,Ogogoro,Yemi Alade,38,2
33,NEED ME,Gyakie,37,5
34,Peaches (Masterkraft Remix),Justin Bieber,39,6
35,Question (feat. Don Jazzy),Burna Boy,0,1
36,Mood (feat. Buju),Wizkid,0,1
37,Show Me,Joeboy,45,2
38,Medicine,Jaywillz,43,2
39,History ft. Fireboy DML,Cheque,46,6
40,Big Thug Boys,AV,44,2
41,Focus,Joeboy,47,3
42,Ride or Die   ,Joda,48,7
43,Petty (feat. Virtue) ,KIM of Diamonds,50,8
44,Unconditionally   ,"Ajebutter22, Oxlade",0,1
45,Yafun Yafun   ,Ajebo Hustlers,0,1
46,Celebrate Me,Patoranking,0,1
47,Triumphant ft. Bella Shmurda,Olamide,0,1
48,Yote Sawa   ,Nandy,0,1
49,My Jaber (Friday),H_ART THE BAND featuring Brizy Annechild,21,2
50,Cut Soap   ,Fiokee & Raybekah,0,1
