rank,song,artist,Previous week,weeks on chart
1,Bounce (Official Video),Ruger,1,9
2,Feeling,LADIPOE,2,9
3,Essence ft. Tems,WizKid,3,9
4,Understand,Omah Lay,4,9
5,Rock (Official Video),Olamide,5,9
6,Lie,Kizz Daniel,9,9
7,Running (To You) ft. Simi,Chike,7,9
8,Lonely,Joeboy,12,9
9,Peru,Fireboy DML,10,8
10,FOR YOU,Teni,11,7
11,Abule,Patoranking,8,9
12,Somebody’s Son (Ft Brandy),Tiwa Savage,29,7
13,High,Adekunle Gold,0,1
14,Kilometre,Burna Boy,6,8
15,Godly,Omah Lay,14,8
16,Door,Joeboy,19,9
17,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez,13,9
18,Infinity ft. Omah Lay,Olamide,15,2
19,Too Correct,Crayon,16,7
20,Green Light,Olamide,18,7
21,Testimony,Buju,17,9
22,Love Like This,Lil Kesh,20,3
23,Chargie,"Reekado Banks, Teejay & Lord Afrixana",21,8
24,Mercy (Official Music Video),Falz,0,1
25,My Bebe,Omah Lay,22,3
26,Loading (feat. Bad Boy Timz),Olamide,23,9
27,If You No Love (feat. Mayorkun),Chike,24,2
28,Touch It,KiDi,0,1
29,My Jaber (Friday),H_ART THE BAND featuring Brizy Annechild,49,2
30,Soundgasm,Rema,0,1
31,Onyeka (Baby),Burna Boy,26,2
32,Mood (feat. Buju),Wizkid,36,3
33,Slow Down,King Promise,0,1
34,Ginger (feat. Burna Boy),WizKid,30,7
35,Summeryomuthi,Blaq Diamond,0,1
36,Woman,Rema,0,1
37,Question (feat. Don Jazzy),Burna Boy,35,3
38,Bloody Samaritan,Ayra Starr,0,1
39,Somebody Baby,Peruzzi & Davido,25,7
40,Outside,Buju,0,1
41,Searching,Kolski Coolzee,0,1
42,Ojuju,Oxlade,31,8
43,NEED ME,Gyakie,33,9
44,Ogogoro,Yemi Alade,32,2
45,Kiss Me Like You Miss Me,CKay,0,1
46,Enjoy (Remix),Tekno,0,1
47,The Best (feat. Mayorkun),Davido,0,1
48,Medicine,Jaywillz,38,2
49,History ft. Fireboy DML,Cheque,39,3
50,Show Me,Joeboy,37,2
