rank,song,artist,audio,boom,youtube,spotify,deezer,RT
1,Bounce,Ruger,300,3,3,29,5,68.0
2,Feeling,LADIPOE,300,2,1,36,17,71.2
3,FOR YOU,Teni,300,53,54,11,34,90.4
4,Somebody (feat. Phyno),Olamide,7,15,250,42,230,108.8
5,Kilometre,Burna Boy,300,10,8,9,230,111.4
6,Rock,Olamide,300,1,5,32,230,113.6
7,Essence (feat. Tems),Wizkid,300,21,250,3,6,116.0
8,Running (To You),Chike,300,12,250,60,2,124.8
9,Abule,Patoranking,300,35,40,33,230,127.6
10,Lonely,Joeboy,300,40,250,7,43,128.0
11,Woman,Rema,300,310,34,16,24,136.8
12,Understand,Omah Lay,300,51,50,70,230,140.2
13,The Best (feat. Mayorkun),Davido,300,56,26,290,37,141.8
14,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez,300,34,250,6,230,164.0
15,Godly,Omah Lay,300,16,12,290,230,169.6
16,Infinity,Olamide,300,9,250,290,4,170.6
17,Chargie,"Reekado Banks, Teejay & Lord Afrixana",9,310,250,55,230,170.8
18,Too Correct,Crayon,300,22,16,290,230,171.6
19,My Jaber (Friday),H_ART THE BAND featuring Brizy Annechild,2,310,250,290,13,173.0
20,Forever (Remix),Gyakie,300,25,250,290,3,173.6
21,Door,Joeboy,300,24,25,290,230,173.8
22,Touch It,KiDi,8,310,250,290,12,174.0
23,Loading (feat. Bad Boy Timz),Olamide,300,38,14,290,230,174.4
24,Onyeka (Baby),Burna Boy,300,310,33,8,230,176.2
25,Focus,Joeboy,300,6,250,290,38,176.8
26,Somebody Baby,Peruzzi & Davido,36,310,19,290,230,177.0
27,Soundgasm,Rema,300,310,250,12,16,177.6
28,If You No Love (feat. Mayorkun),Chike,300,32,37,290,230,177.8
29,My Bebe,Omah Lay,300,41,31,290,230,178.4
30,Summeryomuthi,Blaq Diamond,300,310,250,5,30,179.0
31,Niko Sawa,Nviiri The Storyteller featuring Bien,30,310,250,83,230,180.6
32,Slow Down,King Promise,300,310,250,38,7,181.0
33,Love Like This,Lil Kesh,300,45,53,290,230,183.6
34,La La (feat. Ckay),Davido,300,55,250,290,28,184.6
35,Outside,Buju,300,310,250,58,10,185.6
36,Peaches (Masterkraft Remix),Justin Bieber,300,310,21,290,8,185.8
37,Kiss Me Like You Miss Me,CKay,300,310,250,44,47,190.2
38,Enjoy (Remix),Tekno,300,310,35,290,25,192.0
39,Luva Luva,Runtown,300,310,250,74,39,194.6
40,Questions,Shekhinah,300,310,250,88,32,196.0
41,History ft. Fireboy DML,Cheque,300,4,250,290,230,214.8
42,Show Me,Joeboy,300,5,250,290,230,215.0
43,Big Thug Boys,AV,300,7,250,290,230,215.4
44,Need For Speed,Olamide,300,8,250,290,230,215.6
45,Yote Sawa,Nandy,1,310,250,290,230,216.2
46,OLOFOFO,Victor AD,300,11,250,290,230,216.2
47,Cut Soap,Fiokee & Raybekah,3,310,250,290,230,216.6
48,Julie,Olamide,300,13,250,290,230,216.6
49,Triumphant ft. Bella Shmurda,Olamide,300,14,250,290,230,216.8
50,Yktv (feat. Lady Donli),Ilaye,4,310,250,290,230,216.8
51,Gonto,Ibejii,5,310,250,290,230,217.0
52,New Couple,Nandy,6,310,250,290,230,217.2
53,Celebrate Me,Patoranking,300,17,250,290,230,217.4
54,Party Next Door ft. Bella Shmurda,Dangbana Republik,300,18,250,290,230,217.6
55,Medicine,Jaywillz,300,19,250,290,230,217.8
56,Jailer ft. Jaywillz,Olamide,300,20,250,290,230,218.0
57,No Wahala,1da Banton,10,310,250,290,230,218.0
58,Milele,"Somi, Thandiswa",300,310,250,1,230,218.2
59,Nimekuzoea,Nandy,11,310,250,290,230,218.2
60,Lowkey,Xenia Manasseh,12,310,250,290,230,218.4
61,It Is What It Is,Adekunle Gold,300,310,250,2,230,218.4
62,Catch A Vibe,Karun and MOMBRU,13,310,250,290,230,218.6
63,Ayewada,Barry Jhay,300,23,250,290,230,218.6
64,Alright (feat. Shatta Wale),King Promise,300,310,250,4,230,218.8
65,Cherry (feat. Xenia Manasseh),Mr Eazi,14,310,250,290,230,218.8
66,Hapo Tu (feat. Chris Kaiga),Nyashinski,15,310,250,290,230,219.0
67,PEPE ft. Davido,L.A.X,300,26,250,290,230,219.2
68,Baridi (feat. Sanaipei Tande),Nviiri The Storyteller featuring Sanaipei Tande,16,310,250,290,230,219.2
69,PonPon ft. Fave,Olamide,300,27,250,290,230,219.4
70,"Are You Sure (feat. Zinoleesky, Emo Grae & Naira Marley)",Lyta,17,310,250,290,230,219.4
71,Can\'t Relate,Omah Lay,300,28,250,290,230,219.6
72,DADA,Kobi Jonz,18,310,250,290,230,219.6
73,Champion ft. D Smoke,Fireboy DML,300,29,250,290,230,219.8
74,Falling For U,"Blaq Jerzee, Mr Eazi and Harmonize",19,310,250,290,230,219.8
75,Jafafa,Chinko Ekun & Mohbad,20,310,250,290,230,220.0
76,Sempe,L.A.X,300,310,250,10,230,220.0
77,Way Too Big,Burna Boy,300,30,250,290,230,220.0
78,Want ft. Fave,Olamide,300,31,250,290,230,220.2
79,My Baby,Di'Ja,21,310,250,290,230,220.2
80,LayLow,Amipatra,22,310,250,290,230,220.4
81,FALL IN LOVE,Willy Paul & Miss P,23,310,250,290,230,220.6
82,No Stress,WizKid,300,310,250,13,230,220.6
83,Music Messiah ft. Wande Coal,DJ Neptune,300,33,250,290,230,220.6
84,Closer,Diteh,24,310,250,290,230,220.8
85,MOSLADO,Teni,300,310,250,14,230,220.8
86,Believe (feat. Sarkodie & Kwesi Arthur),Pappy Kojo featuring Sarkodie and Kwesi Arthur,25,310,250,290,230,221.0
87,DKT,Oxlade,300,310,250,15,230,221.0
88,Tonight (feat. Adina Thembi),Pappy Kojo featuring Adina Thembi,26,310,250,290,230,221.2
89,Cup Of Tea,Olamide,300,36,250,290,230,221.2
90,My Heart,Pappy Kojo and Kuami Eugene,27,310,250,290,230,221.4
91,Everytime,Remix - Spinall,300,310,250,17,230,221.4
92,Cash App ft. Zlatan & Lincoln,Bella Shmurda,300,37,250,290,230,221.4
93,Celebration,Joeboy,300,310,250,18,230,221.6
94,Backup n Whyne,Miles Stunner,28,310,250,290,230,221.6
95,Kitenge,Nviiri The Storyteller,29,310,250,290,230,221.8
96,Cool Me Down (feat. Wizkid),DJ Tunez,300,310,250,19,230,221.8
97,23,Burna Boy,300,39,250,290,230,221.8
98,Flex,Kizz Daniel,300,310,250,20,230,222.0
99,Can't Let You Go,Remix - Stefflon Don,300,310,250,21,230,222.2
100,Bembeleza,Nviiri The Storyteller,31,310,250,290,230,222.2
101,Adura ft. Mohbad,Bella Shmurda,300,42,250,290,230,222.4
102,Pretty Girl,Adekunle Gold,300,310,250,22,230,222.4
103,Marry Me,"Smallgod, Harmonize",32,310,250,290,230,222.4
104,Saudi Arabia,Mr Eazi,300,310,250,23,230,222.6
105,Rotate (Freestyle),Mr Eazi,300,43,250,290,230,222.6
106,We Dont Know Feat. Ayisi (feat. Ayisi),E.L,33,310,250,290,230,222.6
107,Activate,Stonebwoy,300,310,250,24,230,222.8
108,Breakup Riddim ft. Nhlanhla Nciza,DJ Aroma,300,44,250,290,230,222.8
109,Love Cycle (feat. Davido),Enisa,34,310,250,290,230,222.8
110,Tellin Me Something,Nelson Freitas,300,310,250,25,230,223.0
111,Kunle,Ladé,35,310,250,290,230,223.0
112,Baba Fela (Remix) ft. Laycon & Zlatan,Mr Real,300,46,250,290,230,223.2
113,Damn (feat. 6lack),Omah Lay,300,310,250,26,230,223.2
114,Jei Jei,Mr Leo,37,310,250,290,230,223.4
115,Dangerous Love,Tiwa Savage,300,310,250,27,230,223.4
116,Lole,Kendickson,300,47,250,290,230,223.4
117,Shima,Tha Boy Myles,38,310,250,290,230,223.6
118,Green Light,Olamide,300,310,250,28,230,223.6
119,Ife ft. Qdot,Oyin,300,48,250,290,230,223.6
120,Stronger,Team Salut,39,310,250,290,230,223.8
121,Petty (Bonus Track),Olamide,300,49,250,290,230,223.8
122,Tele,Kelvyn Boy,300,310,250,30,230,224.0
123,Obajeti,Toofit feat. Ice Prince,40,310,250,290,230,224.0
124,Rough Up ft. Layydoe,Olamide,300,50,250,290,230,224.0
125,Can’t Feel,F-NIC,41,310,250,290,230,224.2
126,The Don,Mr Eazi,300,310,250,31,230,224.2
127,Give,Magasco,42,310,250,290,230,224.4
128,Bygone,SkiiBii,43,310,250,290,230,224.6
129,Kini Issue,Runtown,300,310,250,34,230,224.8
130,You,Omah Lay,300,54,250,290,230,224.8
131,Right Here,"Walshy Fire, Terri, Cloud Beats",45,310,250,290,230,225.0
132,Wettin Dey Sup,Burna Boy,300,310,250,35,230,225.0
133,Born Sinner (feat. Davido & Peruzzi),Mr Peak,46,310,250,290,230,225.2
134,Good Thang,Chrystel,47,310,250,290,230,225.4
135,Aye,Naira Marley,300,57,250,290,230,225.4
136,Proud,Oladapo,300,310,250,37,230,225.4
137,World ft. Bella Shmurda,Dangbana Republik,300,58,250,290,230,225.6
138,Girl From Ghana,The Great Eddy,48,310,250,290,230,225.6
139,Smile (feat. H.E.R.),WizKid,300,310,250,39,230,225.8
140,I Like That,The Great Eddy,49,310,250,290,230,225.8
141,Berna Reloaded ft. Fally Ipupa & Diamond Platnumz,Flavour,300,59,250,290,230,225.8
142,Addicted,Niniola,300,310,250,40,230,226.0
143,For Good,Eon Natty,50,310,250,290,230,226.0
144,Bia,Phyno,300,60,250,290,230,226.0
145,One Shirt (feat. Jonzing World),D'Prince,300,310,250,41,230,226.2
146,E Choke,Nautyca,51,310,250,290,230,226.2
147,Freestyle,2jaja,300,61,250,290,230,226.2
148,Bad Influence ,Omah Lay,300,62,250,290,230,226.4
149,Southy Love (feat. Fireboy DML),Peruzzi,300,310,2,290,230,226.4
150,Permission,Damosh,52,310,250,290,230,226.4
151,Badman Love,Skales,300,310,250,43,230,226.6
152,Ride or Die,Joda,53,310,250,290,230,226.6
153,Confession,Omah Lay,300,63,250,290,230,226.6
154,Ke Star (feat. Vigro Deep),Focalistic,300,310,4,290,230,226.8
155,NO LONGER BENEFICIAL,Simi,300,310,250,45,230,227.0
156,Monalisa,Lojay,300,310,6,290,230,227.2
157,Konnect,Maleek Berry,300,310,250,46,230,227.2
158,KOLO (feat. Oxlade),Ice Prince,300,310,7,290,230,227.4
159,Ogaranya,Reminisce,300,310,250,47,230,227.4
160,Nana Nyame,Gyakie,300,310,250,48,230,227.6
161,Need You,Fitila,300,310,250,49,230,227.8
162,High Way,Dj Kaywise,300,310,9,290,230,227.8
163,This Your Body,Skales,300,310,250,50,230,228.0
164,Coming,Naira Marley,300,310,10,290,230,228.0
165,CHOP N PRAY,WurlD,300,310,250,51,230,228.2
166,Your Body,Mayorkun,300,310,11,290,230,228.2
167,Gobe,Remix - L.A.X,300,310,250,52,230,228.4
168,Sere,"Spinall, Fireboy DML",300,310,250,53,230,228.6
169,Ginger (feat. Burna Boy),Wizkid,300,310,13,290,230,228.6
170,Jeje de Whine,CKay,300,310,250,54,230,228.8
171,Naira Marley,Zinoleesky,300,310,15,290,230,229.0
172,Ubomi Abumanga,Sun-El Musician,300,310,250,56,230,229.2
173,All (Official Audio) (feat. Davido),Rexxie,300,310,17,290,230,229.4
174,ALREADY,Beyoncé,300,310,250,57,230,229.4
175,Zinoleesky,MarlianMusic HQ,300,310,18,290,230,229.6
176,Risky,DaVido,300,310,250,59,230,229.8
177,Bling (feat. Amaarae & Buju),"Blaqbonez, amaarae, Buju",300,310,250,290,1,230.2
178,Coachella (feat. Kwesi Arthur),Sarkodie,300,310,22,290,230,230.4
179,Why (Afrobeat),DJ Flex,300,310,250,62,230,230.4
180,All My Life (feat. Oxlade),M.I Abaga,300,310,23,290,230,230.6
181,Berna,Flavour,300,310,250,63,230,230.6
182,I Choose You,Yemi Alade,300,310,250,64,230,230.8
183,Koroba,Tiwa Savage,300,310,24,290,230,230.8
184,Konna,HarrySong,300,310,250,65,230,231.0
185,Ohema,Buju,300,310,250,66,230,231.2
186,Verified (feat. Mayorkun),Laycon,300,310,27,290,230,231.4
187,Sound,Diamond Platnumz,300,310,250,67,230,231.4
188,Make Up Your Mind (feat. Tekno),Ice Prince,300,310,28,290,230,231.6
189,JUMPING SHIP,Amaarae,300,310,250,68,230,231.6
190,Vibration,Fireboy Dml,300,310,250,290,9,231.8
191,Constantly (feat. Mayorkun & Peruzzi),Speroachbeatz,300,310,29,290,230,231.8
192,Sinner,"Adekunle Gold, Lucky Daye",300,310,250,69,230,231.8
193,Shadé,Fireboy DML,300,310,30,290,230,232.0
194,Jeje,Diamond Platnumz,300,310,250,71,230,232.2
195,Away,Ayra Starr,300,310,250,290,11,232.2
196,Kilode (feat. WES7AR 22),Drvmroll,300,310,32,290,230,232.4
197,Only One (feat. King Promise),Navy Kenzo,300,310,250,72,230,232.4
198,Sudden,Tekno,300,310,250,73,230,232.6
199,Baby I'm Jealous,"Mr Eazi, emPawa Africa, King Promise",300,310,250,290,14,232.8
200,ELI,Fireboy DML,300,310,250,75,230,233.0
201,PANTIES,Kagwe Mungai,300,310,250,290,15,233.0
202,Felony,CKay,300,310,250,76,230,233.2
203,Roma (feat. Terri),Wizkid,300,310,36,290,230,233.2
204,Dis moi comment.,Tayc,300,310,250,78,230,233.6
205,Send Me Nudes,"KiDi, Joey B",300,310,250,290,18,233.6
206,Suzanna,Sauti Sol,300,310,38,290,230,233.6
207,AG Baby,Nailah Blackman,300,310,39,290,230,233.8
208,Far Away,Dangbana Republik,300,310,250,79,230,233.8
209,In My Maserati,Olakira,300,310,250,290,19,233.8
