rank,song,artist,audio,boom,youtube,spotify,deezer,RT
1,Bounce,Ruger,300,31,3,18,2,70.8
2,Feeling,LADIPOE,300,1,10,49,12,74.4
3,Essence (feat. Justin Bieber & Tems),WizKid,300,54,40,4,4,80.4
4,Understand,Omah Lay,300,27,1,1,230,111.8
5,Lie,Kizz Daniel,300,26,5,19,230,116.0
6,Rock,Olamide,300,2,16,36,230,116.8
7,Lonely,Joeboy,300,19,250,12,46,125.4
8,Peru,Fireboy DML,300,310,6,7,5,125.6
9,Running (To You),Chike,300,35,250,46,9,128.0
10,Abule,Patoranking,300,41,36,44,230,130.2
11,Somebody’s Son,Tiwa Savage,300,310,12,29,6,131.4
12,High,Adekunle Gold,300,28,32,75,230,133.0
13,Kilometre,Burna Boy,300,5,250,10,230,159.0
14,Godly,Omah Lay,300,6,18,290,230,168.8
15,Door,Joeboy,300,16,9,290,230,169.0
16,Too Correct,Crayon,300,15,14,290,230,169.8
17,Infinity,Olamide,300,8,250,290,3,170.2
18,Love Like This (feat. Fireboy DML),Lil Kesh,300,24,13,290,230,171.4
19,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez,300,42,250,37,230,171.8
20,If You No Love (feat. Mayorkun),Chike,300,25,21,290,230,173.2
21,Mercy (Official Music Video),Falz,300,12,34,290,230,173.2
22,My Bebe,Omah Lay,300,17,30,290,230,173.4
23,Chargie,"Reekado Banks, Teejay & Lord Afrixana",13,310,250,64,230,173.4
24,Loading (feat. Bad Boy Timz),Olamide,300,22,27,290,230,173.8
25,Somebody (feat. Phyno),Olamide,11,310,250,74,230,175.0
26,Touch It,KiDi,12,310,250,290,25,177.4
27,My Jaber (Friday),H_ART THE BAND featuring Brizy Annechild,6,310,250,290,32,177.6
28,Onyeka (Baby),Burna Boy,300,310,38,11,230,177.8
29,Mood (feat. Buju),Wizkid,300,310,7,42,230,177.8
30,Soundgasm,Rema,300,310,250,3,28,178.2
31,Question (feat. Don Jazzy),Burna Boy,300,310,19,41,230,180.0
32,Slow Down,King Promise,300,310,250,23,23,181.2
33,Summeryomuthi,Blaq Diamond,300,310,250,5,42,181.4
34,Ginger (feat. Burna Boy),WizKid,300,55,37,290,230,182.4
35,FOR YOU,Teni,300,310,250,9,44,182.6
36,Woman,Rema,300,310,250,15,38,182.6
37,NEED ME,Gyakie,300,310,250,53,1,182.8
38,Bloody Samaritan,Ayra Starr,300,310,2,290,13,183.0
39,Searching,2Baba,300,46,250,290,34,184.0
40,Kiss Me Like You Miss Me,CKay,300,310,250,40,49,189.8
41,Outside,Buju,300,310,250,73,18,190.2
42,Ogogoro,Yemi Alade,300,310,49,290,16,193.0
43,Enjoy (Remix),Tekno,300,310,41,290,39,196.0
44,The Best (feat. Mayorkun),Davido,300,310,45,290,45,198.0
45,Show Me,Joeboy,300,3,250,290,230,214.6
46,Focus,Joeboy,300,4,250,290,230,214.8
47,Ginjaaah Your Flow ft. Mayorkun,Coca Cola,300,7,250,290,230,215.4
48,Triumphant ft. Bella Shmurda,Olamide,300,9,250,290,230,215.8
49,Dorime ,Teni,300,10,250,290,230,216.0
50,Ride or Die   ,Joda,1,310,250,290,230,216.2
51,Rise Up ft. Falz,2Baba,300,11,250,290,230,216.2
52,Petty (feat. Virtue) ,KIM of Diamonds,2,310,250,290,230,216.4
53,Can't Relate,Omah Lay,300,13,250,290,230,216.6
54,Unconditionally   ,"Ajebutter22, Oxlade",3,310,250,290,230,216.6
55,Professor Peller ft. Zlatan,Seyi Vibez,300,14,250,290,230,216.8
56,Yafun Yafun   ,Ajebo Hustlers,4,310,250,290,230,216.8
57,Yote Sawa   ,Nandy,5,310,250,290,230,217.0
58,Cut Soap   ,Fiokee & Raybekah,7,310,250,290,230,217.4
59,Wahala,Reeze,300,18,250,290,230,217.6
60,Yktv (feat. Lady Donli) ,Ilaye,8,310,250,290,230,217.6
61,Gonto   ,Ibejii,9,310,250,290,230,217.8
62,New Couple   ,Nandy,10,310,250,290,230,218.0
63,Adura ft. Mohbad,Bella Shmurda,300,20,250,290,230,218.0
64,Bad Influence ,Omah Lay,300,21,250,290,230,218.2
