rank,song,artist,audio,boom,youtube,spotify,deezer,RT
1,Feeling,LADIPOE,300,2,4,2,9,63.4
2,Bounce,Ruger,300,4,1,18,1,64.8
3,Essence (feat. Justin Bieber & Tems),Wizkid,300,26,2,3,6,67.4
4,Understand,Omah Lay,300,1,3,1,230,107.0
5,Kilometre,Burna Boy,300,11,11,10,230,112.4
6,Rock,Olamide,300,3,18,31,230,116.4
7,Running (To You),Chike,300,15,250,50,5,124.0
8,Abule,Patoranking,300,27,33,35,230,125.0
9,Lonely,Joeboy,300,30,250,9,45,126.8
10,FOR YOU,Teni,300,31,250,12,42,127.0
11,Godly,Omah Lay,300,13,9,290,230,168.4
12,Infinity,Olamide,300,10,250,290,2,170.4
13,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez,300,28,250,44,230,170.4
14,Too Correct,Crayon,300,20,16,290,230,171.2
15,Love Like This (feat. Fireboy DML),Lil Kesh,300,29,20,290,230,173.8
16,Loading (feat. Bad Boy Timz),Olamide,300,36,21,290,230,175.4
17,My Bebe,Omah Lay,300,34,26,290,230,176.0
18,Chargie,"Reekado Banks, Teejay & Lord Afrixana",13,310,250,77,230,176.0
19,Touch It,KiDi,12,310,250,290,21,176.6
20,Onyeka (Baby),Burna Boy,300,310,37,8,230,177.0
21,My Jaber (Friday),H_ART THE BAND featuring Brizy Annechild,6,310,250,290,29,177.0
22,Lie,Kizz Daniel,300,310,7,38,230,177.0
23,If You No Love (feat. Mayorkun),Chike,300,41,25,290,230,177.2
24,Somebody Baby,Peruzzi & Davido,40,310,17,290,230,177.4
25,Soundgasm,Rema,300,310,250,5,23,177.6
26,Door,Joeboy,300,21,51,290,230,178.4
27,Felony,CKay,300,43,250,74,230,179.4
28,Slow Down,King Promise,300,310,250,22,18,180.0
29,Ginger (feat. Burna Boy),Wizkid,300,48,34,290,230,180.4
30,Summeryomuthi,Blaq Diamond,300,310,250,7,38,181.0
31,Woman,Rema,300,310,250,14,35,181.8
32,Peru,Fireboy DML,300,310,5,290,8,182.6
33,Outside,Buju,300,310,250,39,15,182.8
34,Mercy (Lyrics Video),Falz,300,50,52,290,230,184.4
35,Bloody Samaritan,Ayra Starr,300,310,10,290,17,185.4
36,Kiss Me Like You Miss Me,CKay,300,310,250,30,49,187.8
37,NEED ME,Gyakie,300,310,250,80,3,188.6
38,Ogogoro,Yemi Alade,300,310,40,290,12,190.4
39,Peaches (Masterkraft Remix),Justin Bieber,300,310,42,290,13,191.0
40,Questions,Shekhinah,300,310,250,72,47,195.8
41,Enjoy (Remix),Tekno,300,310,46,290,36,196.4
42,The Best (feat. Mayorkun),Davido,300,310,43,290,43,197.2
43,Medicine,Jaywillz,300,5,250,290,230,215.0
44,Big Thug Boys,AV,300,6,250,290,230,215.2
45,Show Me,Joeboy,300,7,250,290,230,215.4
46,History ft. Fireboy DML,Cheque,300,8,250,290,230,215.6
47,Focus,Joeboy,300,9,250,290,230,215.8
48,Ride or Die   ,Joda,1,310,250,290,230,216.2
49,Testimony,Buju,300,12,250,290,230,216.4
50,Petty (feat. Virtue) ,KIM of Diamonds,2,310,250,290,230,216.4
51,Unconditionally   ,"Ajebutter22, Oxlade",3,310,250,290,230,216.6
52,Yafun Yafun   ,Ajebo Hustlers,4,310,250,290,230,216.8
53,Celebrate Me,Patoranking,300,14,250,290,230,216.8
54,Yote Sawa   ,Nandy,5,310,250,290,230,217.0
55,Triumphant ft. Bella Shmurda,Olamide,300,16,250,290,230,217.2
56,Rise Up ft. Falz,2Baba,300,17,250,290,230,217.4
57,Cut Soap   ,Fiokee & Raybekah,7,310,250,290,230,217.4
58,Champion ft. D Smoke,Fireboy DML,300,18,250,290,230,217.6
59,Yktv (feat. Lady Donli) ,Ilaye,8,310,250,290,230,217.6
60,Abu Dhabi,Ruger,300,19,250,290,230,217.8
61,Gonto   ,Ibejii,9,310,250,290,230,217.8
62,New Couple   ,Nandy,10,310,250,290,230,218.0
63,Somebody (feat. Phyno) ,Olamide,11,310,250,290,230,218.2
64,Can't Relate,Omah Lay,300,22,250,290,230,218.4
65,Dorime ,Teni,300,23,250,290,230,218.6
66,No Wahala   ,1da Banton,14,310,250,290,230,218.8
67,It Is What It Is,Adekunle Gold,300,310,250,4,230,218.8
68,Julie,Olamide,300,24,250,290,230,218.8
69,Nimekuzoea   ,Nandy,15,310,250,290,230,219.0
70,Way Too Big,Burna Boy,300,25,250,290,230,219.0
71,Sempe,L.A.X,300,310,250,6,230,219.2
72,Lowkey   ,Xenia Manasseh,16,310,250,290,230,219.2
73,Catch A Vibe   ,Karun and MOMBRU,17,310,250,290,230,219.4
74,Cherry (feat. Xenia Manasseh) ,Mr Eazi,18,310,250,290,230,219.6
75,Hapo Tu (feat. Chris Kaiga) ,Nyashinski,19,310,250,290,230,219.8
76,Baridi (feat. Sanaipei Tande) ,Nviiri The Storyteller featuring Sanaipei Tande,20,310,250,290,230,220.0
