rank,song,artist,Previous week,weeks on chart
1,Bounce (Official Video),Ruger,1,10
2,Feeling,LADIPOE,2,10
3,Essence ft. Tems,WizKid,3,10
4,Understand,Omah Lay,4,10
5,Lie,Kizz Daniel,6,10
6,Rock (Official Video),Olamide,5,10
7,Lonely,Joeboy,8,10
8,Peru,Fireboy DML,9,10
9,Running (To You) ft. Simi,Chike,7,9
10,Abule,Patoranking,11,8
11,Somebody’s Son (Ft Brandy),Tiwa Savage,12,10
12,High,Adekunle Gold,13,8
13,Kilometre,Burna Boy,14,2
14,Godly,Omah Lay,15,9
15,Door,Joeboy,16,9
16,Too Correct,Crayon,19,10
17,Infinity ft. Omah Lay,Olamide,18,10
18,Love Like This,Lil Kesh,22,3
19,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez,17,8
20,If You No Love (feat. Mayorkun),Chike,27,8
21,Mercy (Official Music Video),Falz,24,10
22,My Bebe,Omah Lay,25,4
23,Chargie,"Reekado Banks, Teejay & Lord Afrixana",23,9
24,Loading (feat. Bad Boy Timz),Olamide,26,2
25,Somebody (feat. Phyno),Olamide,0,1
26,Touch It,KiDi,28,10
27,My Jaber (Friday),H_ART THE BAND featuring Brizy Annechild,29,3
28,Onyeka (Baby),Burna Boy,31,2
29,Mood (feat. Buju),Wizkid,32,3
30,Soundgasm,Rema,30,2
31,Question (feat. Don Jazzy),Burna Boy,37,3
32,Slow Down,King Promise,33,4
33,Summeryomuthi,Blaq Diamond,35,2
34,Ginger (feat. Burna Boy),WizKid,34,8
35,FOR YOU,Teni,10,2
36,Woman,Rema,36,2
37,NEED ME,Gyakie,43,4
38,Bloody Samaritan,Ayra Starr,38,2
39,Searching,2Baba,41,8
40,Kiss Me Like You Miss Me,CKay,45,2
41,Outside,Buju,40,2
42,Ogogoro,Yemi Alade,44,9
43,Enjoy (Remix),Tekno,46,10
44,The Best (feat. Mayorkun),Davido,47,3
45,Show Me,Joeboy,50,2
46,Focus,Joeboy,0,1
47,Ginjaaah Your Flow ft. Mayorkun,Coca Cola,0,1
48,Triumphant ft. Bella Shmurda,Olamide,0,1
49,Dorime ,Teni,0,1
50,Ride or Die   ,Joda,0,1
