rank,song,artist,audio,boom,youtube,RT
94,My Jaber (Friday) (feat. Brizy Annechild),H_ART THE BAND featuring Brizy Annechild,42,310,250,435.3333333333333
95,Cut Soap,Fiokee & Raybekah,43,310,250,436.3333333333333
96,Bank On It,Burna Boy,300,53,250,436.3333333333333
97,Decision ft. Medikal,Wendy Shay,300,54,250,437.3333333333333
98,Yktv (feat. Lady Donli),Ilaye,44,310,250,437.3333333333333
99,Damn,Omah Lay,300,55,250,438.3333333333333
100,Gonto,Ibejii,45,310,250,438.3333333333333
101,Love Like This ft. Fireboy DML,Lil Kesh,300,57,250,440.3333333333333
102,Touch It,KiDi,47,310,250,440.3333333333333
103,Green Light,Olamide,300,58,250,441.3333333333333
104,Airplane Mode,Fireboy DML,300,59,250,442.3333333333333
105,Southy Love (feat. Fireboy DML),Peruzzi,300,310,2,610.6666666666666
106,KOLO (feat. Oxlade),Ice Prince,300,310,4,611.3333333333334
107,Ke Star (feat. Vigro Deep),Focalistic,300,310,6,612.0
108,Ginger (feat. Burna Boy),Wizkid,300,310,7,612.3333333333334
109,INJURE ME,Teni,300,310,8,612.6666666666666
110,Zinoleesky,MarlianMusic HQ,300,310,9,613.0
111,All My Life (feat. Oxlade),M.I Abaga,300,310,10,613.3333333333334
112,Koroba,Tiwa Savage,300,310,11,613.6666666666666
113,Make Up Your Mind (feat. Tekno),Ice Prince,300,310,12,614.0
114,Your Body,Mayorkun,300,310,13,614.3333333333334
115,Coachella (feat. Kwesi Arthur),Sarkodie,300,310,15,615.0
116,Constantly (feat. Mayorkun & Peruzzi),Speroachbeatz,300,310,16,615.3333333333334
117,Verified (feat. Mayorkun),Laycon,300,310,19,616.3333333333334
118,Suzanna,Sauti Sol,300,310,21,617.0
119,Onyeka (Baby),Burna Boy,300,310,22,617.3333333333334
120,Woman,Rema,300,310,24,618.0
121,World People,Basketmouth,300,310,25,618.3333333333334
122,Coming,Naira Marley,300,310,28,619.3333333333334
123,High Way,Dj Kaywise,300,310,29,619.6666666666666
124,Spiritual (feat. Patoranking & Kuami Eugene),KiDi,300,310,30,620.0
125,See Love,Peruzzi,300,310,31,620.3333333333334
126,MONEY DANCE,Dice Ailes,300,310,32,620.6666666666666
127,Fendi (feat. Joeboy),Blaqbonez,300,310,33,621.0
128,Dollar (feat. R2bees),DJ Spinall,300,310,35,621.6666666666666
129,African Sugar (feat. Tiwa Savage),Tayc,300,310,36,622.0
130,TBDK (feat. Erigga & Sinzu),M.I Abaga,300,310,37,622.3333333333334
131,Dollar On You,Kuami Eugene,300,310,38,622.6666666666666
132,Roma (feat. Terri),Wizkid,300,310,39,623.0
133,Tonongo,Sarz,300,310,40,623.3333333333334
134,Shadé,Fireboy DML,300,310,41,623.6666666666666
135,AG Baby,Nailah Blackman,300,310,42,624.0
136,Enjoy (Remix),Tekno,300,310,43,624.3333333333334
137,Rema,Rema,300,310,45,625.0
138,French Kiss,Mr Eazi,300,310,46,625.3333333333334
139,Kilode (feat. WES7AR 22),Drvmroll,300,310,47,625.6666666666666
140,World,Bella Shmurda,300,310,48,626.0
141,Baajo,Kwesi Arthur,300,310,50,626.6666666666666
142,Crayon,MavinRecords,300,310,56,628.6666666666666
143,ShadÃ©,Fireboy DML,300,310,64,631.3333333333334
