rank,song,artist,Previous week,weeks on chart
1,Feeling,LADIPOE,3,7
2,Bounce (Official Video),Ruger,1,7
3,Essence ft. Tems,Wizkid,2,7
4,Understand,Omah Lay,5,7
5,Kilometre,Burna Boy,4,7
6,Rock (Official Video),Olamide,6,7
7,Running (To You) ft. Simi,Chike,8,7
8,Abule,Patoranking,10,7
9,Lonely,Joeboy,9,6
10,FOR YOU,Teni,7,5
11,Godly,Omah Lay,13,7
12,Infinity ft. Omah Lay,Olamide,14,5
13,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez,12,7
14,Too Correct,Crayon,15,6
15,Love Like This,Lil Kesh,23,6
16,Loading (feat. Bad Boy Timz),Olamide,19,7
17,My Bebe,Omah Lay,25,7
18,Chargie,"Reekado Banks, Teejay & Lord Afrixana",22,6
19,Touch It,KiDi,17,5
20,Onyeka (Baby),Burna Boy,20,5
21,My Jaber (Friday),H_ART THE BAND featuring Brizy Annechild,43,7
22,Lie,Kizz Daniel,0,1
23,If You No Love (feat. Mayorkun),Chike,26,6
24,Somebody Baby,Peruzzi & Davido,18,7
25,Soundgasm,Rema,0,1
26,Door,Joeboy,16,7
27,Felony,CKay,28,5
28,Slow Down,King Promise,29,7
29,Ginger (feat. Burna Boy),Wizkid,0,1
30,Summeryomuthi,Blaq Diamond,24,5
31,Woman,Rema,27,2
32,Peru,Fireboy DML,0,1
33,Outside,Buju,30,4
34,Mercy (Official Audio),Falz,31,5
35,Bloody Samaritan,Ayra Starr,0,1
36,Kiss Me Like You Miss Me,CKay,34,4
37,NEED ME,Gyakie,0,1
38,Ogogoro,Yemi Alade,0,1
39,Peaches (Masterkraft Remix),Justin Bieber,32,5
40,Questions,Shekhinah,0,1
41,Enjoy (Remix),Tekno,33,2
42,The Best (feat. Mayorkun),Davido,35,6
43,Medicine,Jaywillz,40,7
44,Big Thug Boys,AV,37,2
45,Show Me,Joeboy,38,2
46,History ft. Fireboy DML,Cheque,39,4
47,Focus,Joeboy,21,2
48,Ride or Die   ,Joda,0,1
49,Testimony,Buju,0,1
50,Petty (feat. Virtue) ,KIM of Diamonds,0,1
