rank,song,artist,audio,boom,youtube,spotify,deezer,RT
1,Feeling,LADIPOE,300,2,1,5,17,65.0
2,Bounce,Ruger,300,3,2,38,5,69.6
3,Understand,Omah Lay,300,1,4,2,230,107.4
4,Kilometre,Burna Boy,300,10,8,11,230,111.8
5,Essence (feat. Tems),Wizkid,300,19,250,6,6,116.2
6,Running (To You),Chike,300,14,250,50,2,123.2
7,Rock,Olamide,300,44,5,51,230,126.0
8,FOR YOU,Teni,300,27,250,21,34,126.4
9,Lonely,Joeboy,300,40,250,9,43,128.4
10,Abule,Patoranking,300,31,32,49,230,128.4
11,Woman,Rema,300,310,49,14,24,139.4
12,Somebody ft. Phyno,Olamide,7,20,250,290,230,159.4
13,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez,300,30,250,16,230,165.2
14,Godly,Omah Lay,300,15,12,290,230,169.4
15,Chargie,"Reekado Banks, Teejay & Lord Afrixana",9,310,250,53,230,170.4
16,Infinity,Olamide,300,8,250,290,4,170.4
17,Too Correct,Crayon,300,21,13,290,230,170.8
18,My Jaber (Friday),H_ART THE BAND featuring Brizy Annechild,2,310,250,290,13,173.0
19,Touch It,KiDi,8,310,250,290,12,174.0
20,Loading (feat. Bad Boy Timz),Olamide,300,32,19,290,230,174.2
21,Forever (Remix),Gyakie,300,33,250,290,3,175.2
22,Onyeka (Baby),Burna Boy,300,310,30,13,230,176.6
23,My Bebe,Omah Lay,300,34,29,290,230,176.6
24,Somebody Baby,Peruzzi & Davido,36,310,18,290,230,176.8
25,Focus,Joeboy,300,7,250,290,38,177.0
26,If You No Love (feat. Mayorkun),Chike,300,35,33,290,230,177.6
27,Door,Joeboy,300,24,47,290,230,178.2
28,Love Like This,Lil Kesh,300,37,35,290,230,178.4
29,Soundgasm,Rema,300,310,250,20,16,179.2
30,Summeryomuthi,Blaq Diamond,300,310,250,7,30,179.4
31,Testimony,Buju,300,52,250,75,230,181.4
32,Outside,Buju,300,310,250,45,10,183.0
33,Enjoyment,Yemi Alade,300,58,52,290,230,186.0
34,Slow Down,King Promise,300,310,250,71,7,187.6
35,Peaches (Masterkraft Remix),Justin Bieber,300,310,31,290,8,187.8
36,Suzanna,Sauti Sol,300,310,42,80,230,192.4
37,Kiss Me Like You Miss Me,CKay,300,310,250,56,47,192.6
38,The Best (feat. Mayorkun),Davido,300,310,26,290,37,192.6
39,Enjoy (Remix),Tekno,300,310,41,290,25,193.2
40,Luva Luva,Runtown,300,310,250,76,39,195.0
41,History ft. Fireboy DML,Cheque,300,4,250,290,230,214.8
42,Show Me,Joeboy,300,5,250,290,230,215.0
43,Big Thug Boys,AV,300,6,250,290,230,215.2
44,Need For Speed,Olamide,300,9,250,290,230,215.8
45,Yote Sawa,Nandy,1,310,250,290,230,216.2
46,Medicine,Jaywillz,300,11,250,290,230,216.2
47,Bia,Phyno,300,12,250,290,230,216.4
48,OLOFOFO,Victor AD,300,13,250,290,230,216.6
49,Cut Soap,Fiokee & Raybekah,3,310,250,290,230,216.6
50,Yktv (feat. Lady Donli),Ilaye,4,310,250,290,230,216.8
51,Gonto,Ibejii,5,310,250,290,230,217.0
52,New Couple,Nandy,6,310,250,290,230,217.2
53,Triumphant ft. Bella Shmurda,Olamide,300,16,250,290,230,217.2
54,Celebrate Me,Patoranking,300,17,250,290,230,217.4
55,Julie,Olamide,300,18,250,290,230,217.6
56,No Wahala,1da Banton,10,310,250,290,230,218.0
57,Sinner,"Adekunle Gold, Lucky Daye",300,310,250,1,230,218.2
58,Nimekuzoea,Nandy,11,310,250,290,230,218.2
59,Lowkey,Xenia Manasseh,12,310,250,290,230,218.4
60,Jailer ft. Jaywillz,Olamide,300,22,250,290,230,218.4
61,Catch A Vibe,Karun and MOMBRU,13,310,250,290,230,218.6
62,PEPE ft. Davido,L.A.X,300,23,250,290,230,218.6
63,Sere,Spinall,300,310,250,3,230,218.6
64,Cherry (feat. Xenia Manasseh),Mr Eazi,14,310,250,290,230,218.8
65,Milele,"Somi, Thandiswa",300,310,250,4,230,218.8
66,Can\'t Relate,Omah Lay,300,25,250,290,230,219.0
67,Hapo Tu (feat. Chris Kaiga),Nyashinski,15,310,250,290,230,219.0
68,Baridi (feat. Sanaipei Tande),Nviiri The Storyteller featuring Sanaipei Tande,16,310,250,290,230,219.2
69,Champion ft. D Smoke,Fireboy DML,300,26,250,290,230,219.2
70,"Are You Sure (feat. Zinoleesky, Emo Grae & Naira Marley)",Lyta,17,310,250,290,230,219.4
71,DADA,Kobi Jonz,18,310,250,290,230,219.6
72,It Is What It Is,Adekunle Gold,300,310,250,8,230,219.6
73,Way Too Big,Burna Boy,300,28,250,290,230,219.6
74,Falling For U,"Blaq Jerzee, Mr Eazi and Harmonize",19,310,250,290,230,219.8
75,PonPon ft. Fave,Olamide,300,29,250,290,230,219.8
76,Sempe,L.A.X,300,310,250,10,230,220.0
77,Jafafa,Chinko Ekun & Mohbad,20,310,250,290,230,220.0
78,My Baby,Di'Ja,21,310,250,290,230,220.2
79,LayLow,Amipatra,22,310,250,290,230,220.4
80,Alright (feat. Shatta Wale),King Promise,300,310,250,12,230,220.4
81,FALL IN LOVE,Willy Paul & Miss P,23,310,250,290,230,220.6
82,Closer,Diteh,24,310,250,290,230,220.8
83,No Stress,WizKid,300,310,250,15,230,221.0
84,Believe (feat. Sarkodie & Kwesi Arthur),Pappy Kojo featuring Sarkodie and Kwesi Arthur,25,310,250,290,230,221.0
85,Tonight (feat. Adina Thembi),Pappy Kojo featuring Adina Thembi,26,310,250,290,230,221.2
86,23,Burna Boy,300,36,250,290,230,221.2
87,Celebration,Joeboy,300,310,250,17,230,221.4
88,My Heart,Pappy Kojo and Kuami Eugene,27,310,250,290,230,221.4
89,MOSLADO,Teni,300,310,250,18,230,221.6
90,Baba Fela (Remix) ft. Laycon & Zlatan,Mr Real,300,38,250,290,230,221.6
91,Backup n Whyne,Miles Stunner,28,310,250,290,230,221.6
92,Cash App ft. Zlatan & Lincoln,Bella Shmurda,300,39,250,290,230,221.8
93,Pretty Girl,Adekunle Gold,300,310,250,19,230,221.8
94,Kitenge,Nviiri The Storyteller,29,310,250,290,230,221.8
95,Niko Sawa (feat. Bien),Nviiri The Storyteller featuring Bien,30,310,250,290,230,222.0
96,Adura ft. Mohbad,Bella Shmurda,300,41,250,290,230,222.2
97,Bembeleza,Nviiri The Storyteller,31,310,250,290,230,222.2
98,Marry Me,"Smallgod, Harmonize",32,310,250,290,230,222.4
99,Bad Influence ,Omah Lay,300,42,250,290,230,222.4
100,Everytime,Remix - Spinall,300,310,250,22,230,222.4
101,DKT,Oxlade,300,310,250,23,230,222.6
102,Confession,Omah Lay,300,43,250,290,230,222.6
103,We Dont Know Feat. Ayisi (feat. Ayisi),E.L,33,310,250,290,230,222.6
104,Cool Me Down (feat. Wizkid),DJ Tunez,300,310,250,24,230,222.8
105,Love Cycle (feat. Davido),Enisa,34,310,250,290,230,222.8
106,Can't Let You Go,Remix - Stefflon Don,300,310,250,25,230,223.0
107,Kunle,Ladé,35,310,250,290,230,223.0
108,Ayewada,Barry Jhay,300,45,250,290,230,223.0
109,Flex,Kizz Daniel,300,310,250,26,230,223.2
110,Roju,Chike,300,46,250,290,230,223.2
111,Dangerous Love,Tiwa Savage,300,310,250,27,230,223.4
112,Jei Jei,Mr Leo,37,310,250,290,230,223.4
113,Lole,Kendickson,300,47,250,290,230,223.4
114,Badman Love,Skales,300,310,250,28,230,223.6
115,Freestyle,2jaja,300,48,250,290,230,223.6
116,Shima,Tha Boy Myles,38,310,250,290,230,223.6
117,Stronger,Team Salut,39,310,250,290,230,223.8
118,Breakup Riddim ft. Nhlanhla Nciza,DJ Aroma,300,49,250,290,230,223.8
119,Damn (feat. 6lack),Omah Lay,300,310,250,29,230,223.8
120,Obajeti,Toofit feat. Ice Prince,40,310,250,290,230,224.0
121,Tellin Me Something,Nelson Freitas,300,310,250,30,230,224.0
122,You,Omah Lay,300,50,250,290,230,224.0
123,Music Messiah ft. Wande Coal,DJ Neptune,300,51,250,290,230,224.2
124,Can’t Feel,F-NIC,41,310,250,290,230,224.2
125,Activate,Stonebwoy,300,310,250,31,230,224.2
126,Give,Magasco,42,310,250,290,230,224.4
127,Addicted,Niniola,300,310,250,32,230,224.4
128,Tele,Kelvyn Boy,300,310,250,33,230,224.6
129,Rotate (Freestyle),Mr Eazi,300,53,250,290,230,224.6
130,Bygone,SkiiBii,43,310,250,290,230,224.6
131,Green Light,Olamide,300,310,250,34,230,224.8
132,Lagos Anthem,Zlatan,300,54,250,290,230,224.8
133,Aye,Naira Marley,300,55,250,290,230,225.0
134,JUMPING SHIP,Amaarae,300,310,250,35,230,225.0
135,Right Here,"Walshy Fire, Terri, Cloud Beats",45,310,250,290,230,225.0
136,Born Sinner (feat. Davido & Peruzzi),Mr Peak,46,310,250,290,230,225.2
137,Abu Dhabi,Ruger,300,56,250,290,230,225.2
138,The Don,Mr Eazi,300,310,250,36,230,225.2
139,This Your Body,Skales,300,310,250,37,230,225.4
140,Good Thang,Chrystel,47,310,250,290,230,225.4
141,Party Next Door ft. Bella Shmurda,Dangbana Republik,300,57,250,290,230,225.4
142,Girl From Ghana,The Great Eddy,48,310,250,290,230,225.6
143,Baba Nla ft. Buju,Dr Dolor,300,59,250,290,230,225.8
144,Jeje de Whine,CKay,300,310,250,39,230,225.8
