rank,song,artist,Previous week,weeks on chart
1,Bounce (Official Video),Ruger,8,3
2,Feeling,LADIPOE,1,3
3,FOR YOU,Teni,23,3
4,Somebody ft. Phyno,Olamide,2,3
5,Kilometre,Burna Boy,3,3
6,Rock (Official Video),Olamide,7,3
7,Essence ft. Tems,Wizkid,6,3
8,Running (To You) ft. Simi,Chike,10,3
9,Abule,Patoranking,5,2
10,Lonely,Joeboy,0,1
11,Woman,Rema,18,3
12,Understand,Omah Lay,0,1
13,The Best (feat. Mayorkun),Davido,21,3
14,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez,9,2
15,Godly,Omah Lay,11,2
16,Infinity ft. Omah Lay,Olamide,28,3
17,Chargie,"Reekado Banks, Teejay & Lord Afrixana",12,3
18,Too Correct,Crayon,19,2
19,My Jaber (Friday),H_ART THE BAND featuring Brizy Annechild,0,1
20,Forever (Remix),Gyakie,0,1
21,Door,Joeboy,20,3
22,Touch It,KiDi,0,1
23,Loading (feat. Bad Boy Timz),Olamide,17,2
24,Onyeka (Baby),Burna Boy,14,3
25,Focus,Joeboy,27,3
26,Somebody Baby,Peruzzi & Davido,4,3
27,Soundgasm,Rema,0,1
28,If You No Love (feat. Mayorkun),Chike,16,3
29,My Bebe,Omah Lay,22,3
30,Summeryomuthi,Blaq Diamond,0,1
31,Niko Sawa,Nviiri The Storyteller featuring Bien,0,1
32,Slow Down,King Promise,0,1
33,Love Like This,Lil Kesh,0,1
34,La La (feat. Ckay),Davido,0,1
35,Outside,Buju,0,1
36,Peaches (Masterkraft Remix),Justin Bieber,0,1
37,Kiss Me Like You Miss Me,CKay,0,1
38,Enjoy (Remix),Tekno,0,1
39,Luva Luva,Runtown,0,1
40,Questions,Shekhinah,0,1
41,History ft. Fireboy DML,Cheque,24,3
42,Show Me,Joeboy,25,2
43,Big Thug Boys,AV,42,3
44,Need For Speed,Olamide,26,3
45,Yote Sawa,Nandy,0,1
46,OLOFOFO,Victor AD,29,2
47,Cut Soap,Fiokee & Raybekah,0,1
48,Julie,Olamide,32,3
49,Triumphant ft. Bella Shmurda,Olamide,38,3
50,Yktv (feat. Lady Donli),Ilaye,0,1
