rank,song,artist,Previous week,weeks on chart
1,Feeling,LADIPOE,4,2
2,Somebody ft. Phyno,Olamide,1,2
3,Kilometre,Burna Boy,5,2
4,Somebody Baby,Peruzzi & Davido,12,2
5,Abule,Patoranking,11,2
6,Essence ft. Tems,Wizkid,47,2
7,Rock (Official Video),Olamide,2,2
8,Bounce (Official Video),Ruger,3,2
9,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez,0,1
10,Running (To You) ft. Simi,Chike,31,2
11,Godly,Omah Lay,6,2
12,Chargie,Lykan Sensei,0,1
13,All (Official Audio) (feat. Davido),Rexxie,15,2
14,Onyeka (Baby),Burna Boy,0,1
15,Damn (feat. 6lack),Omah Lay,0,1
16,If You No Love (feat. Mayorkun),Chike,7,2
17,Loading (feat. Bad Boy Timz),Olamide,13,2
18,Woman,Rema,0,1
19,Too Correct,Crayon,8,2
20,Door,Joeboy,10,2
21,The Best (feat. Mayorkun),Davido,9,2
22,My Bebe,Omah Lay,14,2
23,FOR YOU,Ko-Jo Cue,0,1
24,History ft. Fireboy DML,Cheque,17,2
25,Show Me,Joeboy,18,2
26,Need For Speed,Olamide,16,2
27,Focus,Joeboy,19,2
28,Infinity ft. Omah Lay,Olamide,26,2
29,OLOFOFO,Victor AD,32,2
30,Lowkey,Xenia Manasseh,22,2
31,Catch A Vibe,Karun and MOMBRU,23,2
32,Julie,Olamide,21,2
33,Cherry (feat. Xenia Manasseh),Mr Eazi,25,2
34,Jailer ft. Jaywillz,Olamide,20,2
35,Hapo Tu (feat. Chris Kaiga),Nyashinski,27,2
36,Baridi (feat. Sanaipei Tande),Nviiri The Storyteller featuring Sanaipei Tande,29,2
37,"Are You Sure (feat. Zinoleesky, Emo Grae & Naira Marley)",Lyta,30,2
38,Triumphant ft. Bella Shmurda,Olamide,38,2
39,Celebrate Me,Patoranking,34,2
40,DADA,Kobi Jonz,33,2
41,Falling For U,"Blaq Jerzee, Mr Eazi and Harmonize",35,2
42,Big Thug Boys,AV,0,1
43,Jafafa,Chinko Ekun & Mohbad,37,2
44,PonPon ft. Fave,Olamide,28,2
45,My Baby,Di'Ja,39,2
46,It Is What It Is,Adekunle Gold,0,1
47,LayLow,Amipatra,41,2
48,PEPE ft. Davido,L.A.X,45,2
49,FALL IN LOVE,Willy Paul & Miss P,42,2
50,Sere,"Spinall, Fireboy DML",0,1
