rank,song,artist,audio,boom,youtube,spotify,deezer,RT
1,Feeling,LADIPOE,300,2,1,5,17,65.0
2,Bounce,Ruger,300,3,2,25,2,66.4
3,Essence (feat. Tems),Wizkid,300,22,52,6,6,77.2
4,Understand,Omah Lay,300,1,3,2,230,107.2
5,Kilometre,Burna Boy,300,11,9,13,230,112.6
6,Rock,Olamide,300,5,5,37,230,115.4
7,Running (To You),Chike,300,18,250,39,1,121.6
8,FOR YOU,Teni,300,30,250,19,35,126.8
9,Abule,Patoranking,300,32,33,46,230,128.2
10,Lonely,Joeboy,300,39,250,11,44,128.8
11,Somebody ft. Phyno,Olamide,7,27,250,290,230,160.8
12,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez,300,33,250,15,230,165.6
13,Godly,Omah Lay,300,16,12,290,230,169.6
14,Infinity,Olamide,300,10,250,290,5,171.0
15,Too Correct,Crayon,300,21,16,290,230,171.4
16,Touch It,KiDi,8,310,250,290,11,173.8
17,Loading (feat. Bad Boy Timz),Olamide,300,34,17,290,230,174.2
18,My Jaber (Friday),H_ART THE BAND featuring Brizy Annechild,2,310,250,290,20,174.4
19,Chargie,"Reekado Banks, Teejay & Lord Afrixana",9,310,250,80,230,175.8
20,Somebody Baby,Peruzzi & Davido,36,310,13,290,230,175.8
21,Onyeka (Baby),Burna Boy,300,310,29,10,230,175.8
22,My Bebe,Omah Lay,300,38,25,290,230,176.6
23,Door,Joeboy,300,23,43,290,230,177.2
24,Focus,Joeboy,300,9,250,290,40,177.8
25,Forever (Remix),Gyakie,300,45,250,290,4,177.8
26,Soundgasm,Rema,300,310,250,16,16,178.4
27,If You No Love (feat. Mayorkun),Chike,300,42,30,290,230,178.4
28,Summeryomuthi,Blaq Diamond,300,310,250,7,32,179.8
29,Love Like This,Lil Kesh,300,35,46,290,230,180.2
30,Woman,Rema,300,310,250,17,27,180.8
31,Slow Down,King Promise,300,310,250,43,9,182.4
32,Felony,CKay,300,52,250,82,230,182.8
33,Outside,Buju,300,310,250,49,7,183.2
34,Enjoyment,Yemi Alade,300,48,50,290,230,183.6
35,Kiss Me Like You Miss Me,CKay,300,310,250,32,47,187.8
36,Peaches (Masterkraft Remix),Justin Bieber,300,310,32,290,8,188.0
37,Enjoy (Remix),Tekno,300,310,35,290,28,192.6
38,Suzanna,Sauti Sol,300,310,39,86,230,193.0
39,The Best (feat. Mayorkun),Davido,300,310,27,290,39,193.2
40,Questions,Shekhinah,300,310,250,73,34,193.4
41,Luva Luva,Runtown,300,310,250,75,41,195.2
42,Big Thug Boys,AV,300,4,250,290,230,214.8
43,Show Me,Joeboy,300,6,250,290,230,215.2
44,History ft. Fireboy DML,Cheque,300,7,250,290,230,215.4
45,Medicine,Jaywillz,300,8,250,290,230,215.6
