rank,song,artist,audio,boom,youtube,spotify,deezer,RT
1,Bounce,Ruger,300,6,5,18,2,66.2
2,Feeling,LADIPOE,300,3,10,45,12,74.0
3,Essence (feat. Justin Bieber & Tems),WizKid,300,31,12,36,4,76.6
4,Understand,Omah Lay,300,2,2,1,230,107.0
5,Rock,Olamide,300,4,16,21,230,114.2
6,Lie,Kizz Daniel,300,1,48,29,230,121.6
7,Running (To You),Chike,300,17,250,33,9,121.8
8,Lonely,Joeboy,300,32,250,7,46,127.0
9,Peru,Fireboy DML,300,310,9,16,5,128.0
10,FOR YOU,Teni,300,37,250,11,44,128.4
11,Abule,Patoranking,300,30,41,41,230,128.4
12,Somebody’s Son,Tiwa Savage,300,310,11,35,6,132.4
13,High,Adekunle Gold,300,54,52,86,230,144.4
14,Kilometre,Burna Boy,300,11,250,10,230,160.2
15,Godly,Omah Lay,300,12,18,290,230,170.0
16,Door,Joeboy,300,27,6,290,230,170.6
17,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez,300,29,250,46,230,171.0
18,Infinity,Olamide,300,13,250,290,3,171.2
19,Too Correct,Crayon,300,24,14,290,230,171.6
20,Green Light,Olamide,300,62,250,20,230,172.4
21,Testimony,Buju,300,9,250,77,230,173.2
22,Love Like This (feat. Fireboy DML),Lil Kesh,300,36,13,290,230,173.8
23,Chargie,"Reekado Banks, Teejay & Lord Afrixana",12,310,250,69,230,174.2
24,Mercy (Official Music Video),Falz,300,26,33,290,230,175.8
25,My Bebe,Omah Lay,300,34,28,290,230,176.4
26,Loading (feat. Bad Boy Timz),Olamide,300,38,26,290,230,176.8
27,If You No Love (feat. Mayorkun),Chike,300,43,21,290,230,176.8
28,Touch It,KiDi,11,310,250,290,25,177.2
29,My Jaber (Friday),H_ART THE BAND featuring Brizy Annechild,5,310,250,290,32,177.4
30,Soundgasm,Rema,300,310,250,5,28,178.6
31,Onyeka (Baby),Burna Boy,300,310,47,14,230,180.2
32,Mood (feat. Buju),Wizkid,300,310,7,56,230,180.6
33,Slow Down,King Promise,300,310,250,22,23,181.0
34,Ginger (feat. Burna Boy),WizKid,300,48,37,290,230,181.0
35,Summeryomuthi,Blaq Diamond,300,310,250,4,42,181.2
36,Woman,Rema,300,310,250,9,38,181.4
37,Question (feat. Don Jazzy),Burna Boy,300,310,19,54,230,182.6
38,Bloody Samaritan,Ayra Starr,300,310,1,290,13,182.8
39,Somebody Baby,Peruzzi & Davido,37,310,49,290,230,183.2
40,Outside,Buju,300,310,250,48,18,185.2
41,Searching,Kolski Coolzee,300,56,250,290,34,186.0
42,Ojuju,Oxlade,300,61,50,290,230,186.2
43,NEED ME,Gyakie,300,310,250,74,1,187.0
44,Ogogoro,Yemi Alade,300,310,31,290,16,189.4
45,Kiss Me Like You Miss Me,CKay,300,310,250,40,49,189.8
46,Enjoy (Remix),Tekno,300,310,38,290,39,195.4
47,The Best (feat. Mayorkun),Davido,300,310,45,290,45,198.0
48,Medicine,Jaywillz,300,5,250,290,230,215.0
49,History ft. Fireboy DML,Cheque,300,7,250,290,230,215.4
50,Show Me,Joeboy,300,8,250,290,230,215.6
51,Focus,Joeboy,300,10,250,290,230,216.0
52,Ride or Die   ,Joda,1,310,250,290,230,216.2
53,Petty (feat. Virtue) ,KIM of Diamonds,2,310,250,290,230,216.4
54,Yafun Yafun   ,Ajebo Hustlers,3,310,250,290,230,216.6
55,Yote Sawa   ,Nandy,4,310,250,290,230,216.8
56,Big Thug Boys,AV,300,14,250,290,230,216.8
57,Let Me Know,Mayorkun,300,15,250,290,230,217.0
58,Cut Soap   ,Fiokee & Raybekah,6,310,250,290,230,217.2
59,Triumphant ft. Bella Shmurda,Olamide,300,16,250,290,230,217.2
60,Yktv (feat. Lady Donli) ,Ilaye,7,310,250,290,230,217.4
61,Dorime ,Teni,300,18,250,290,230,217.6
62,Gonto   ,Ibejii,8,310,250,290,230,217.6
63,Celebrate Me,Patoranking,300,19,250,290,230,217.8
64,New Couple   ,Nandy,9,310,250,290,230,217.8
65,Somebody (feat. Phyno) ,Olamide,10,310,250,290,230,218.0
66,Champion ft. D Smoke,Fireboy DML,300,20,250,290,230,218.0
67,Rise Up ft. Falz,2Baba,300,21,250,290,230,218.2
68,Can't Relate,Omah Lay,300,22,250,290,230,218.4
69,It Is What It Is,Adekunle Gold,300,310,250,2,230,218.4
