rank,song,artist,Previous week,weeks on chart
1,Feeling,LADIPOE,1,5
2,Bounce (Official Video),Ruger,2,5
3,Essence ft. Tems,Wizkid,5,5
4,Understand,Omah Lay,3,5
5,Kilometre,Burna Boy,4,5
6,Rock (Official Video),Olamide,7,5
7,Running (To You) ft. Simi,Chike,6,5
8,FOR YOU,Teni,8,5
9,Abule,Patoranking,10,4
10,Lonely,Joeboy,9,3
11,Somebody ft. Phyno,Olamide,12,5
12,"PAMI (feat. Wizkid, Adekunle Gold & Omah Lay)",DJ Tunez,13,3
13,Godly,Omah Lay,14,5
14,Infinity ft. Omah Lay,Olamide,16,4
15,Too Correct,Crayon,17,4
16,Touch It,KiDi,19,5
17,Loading (feat. Bad Boy Timz),Olamide,20,5
18,My Jaber (Friday),H_ART THE BAND featuring Brizy Annechild,18,4
19,Chargie,"Reekado Banks, Teejay & Lord Afrixana",15,3
20,Somebody Baby,Peruzzi & Davido,24,3
21,Onyeka (Baby),Burna Boy,22,5
22,My Bebe,Omah Lay,23,3
23,Door,Joeboy,27,4
24,Focus,Joeboy,25,5
25,Forever (Remix),Gyakie,21,5
26,Soundgasm,Rema,29,5
27,If You No Love (feat. Mayorkun),Chike,26,3
28,Summeryomuthi,Blaq Diamond,30,5
29,Love Like This,Lil Kesh,28,5
30,Woman,Rema,11,3
31,Slow Down,King Promise,34,2
32,Felony,CKay,0,1
33,Outside,Buju,32,2
34,Enjoyment,Yemi Alade,33,3
35,Kiss Me Like You Miss Me,CKay,37,3
36,Peaches (Masterkraft Remix),Justin Bieber,35,2
37,Enjoy (Remix),Tekno,39,3
38,Suzanna,Sauti Sol,36,3
39,The Best (feat. Mayorkun),Davido,38,3
40,Questions,Shekhinah,0,1
41,Luva Luva,Runtown,40,5
42,Big Thug Boys,AV,43,4
43,Show Me,Joeboy,42,5
44,History ft. Fireboy DML,Cheque,41,5
45,Medicine,Jaywillz,46,3
46,Yote Sawa,Nandy,45,2
47,Testimony,Buju,31,2
48,Cut Soap,Fiokee & Raybekah,49,5
49,Celebrate Me,Patoranking,0,1
50,OLOFOFO,Victor AD,48,3
