rank,song,artist,Previous week,weeks on chart
1,Godly,Omah Lay,8,2
2,Ginger (feat. Burna Boy),Wizkid,11,2
3,Soundgasm,Rema,3,2
4,Rock (Official Video),Olamide,2,2
5,Bling (feat. Buju & Amaarae),Blaqbonez,4,2
6,The Best (feat. Mayorkun),Davido,10,2
7,FOR YOU (feat. Davido),Teni featuring Davido,35,2
8,Fine Wine (feat. King Promise & Joeboy),R2Bees,16,2
9,Show Me,Joeboy,5,2
10,Dimension (Official Video),JAE5,22,2
11,It Is What It Is,Adekunle Gold,29,2
12,All (Official Audio) (feat. Davido),Rexxie,24,2
13,Send Me Nudes (feat. Joey B),KiDi,28,2
14,Slow Down,King Promise,26,2
15,Coming,"Naira Marley, Busiswa",6,2
16,Kilometre,Burna Boy,27,2
17,Door,Joeboy,7,2
18,Pempe,Seyi Shay and Yemi Alade,30,2
19,INJURE ME,Teni,18,2
20,PEPE,"L.A.X, Davido",33,2
21,LV N ATTN feat. Wizkid (feat. Wizkid),"Lojay, Sarz",25,2
22,La La (Official Video) (feat. CKay),Davido,38,2
23,KOLO (feat. Oxlade),Ice Prince,44,2
24,Somebody Baby,"Davido, Peruzzi",0,1
25,Essence (feat. Tems),Wizkid,20,2
26,Kamata,Diamond Platnumz,0,1
27,Feeling,"LADIPOE, Buju",1,2
28,Bobo,Aya Nakamura,46,2
29,AWAY,Ayra Starr,0,1
30,Outside,Buju,21,2
31,Bounce (Official Video),Ruger,23,2
32,Celebrate Me,Patoranking,41,2
33,Korope,"Lil Kesh, Naira Marley",0,1
34,Egbon (feat. Phyno),"Masterkraft, Phyno",12,2
35,This Your Body,Skales and Davido,0,1
36,Money,"Terri, Bella Shmurda, Mohbad",13,2
37,Blessed (feat. Damian Marley),Wizkid,0,1
38,Somebody (feat. Phyno),Olamide,17,2
39,World,"Dangbana Republik, Bella Shmurda",14,2
40,Party Next Door,"Dangbana Republik, Bella Shmurda",0,1
41,Ke Star (feat. Vigro Deep),Focalistic featuring Vigro Deep,34,2
42,No Fugazy,Sarkodie,0,1
43,Ginger Me,Rema,0,1
44,Berna Reloaded,"Flavour, Fally Ipupa, Diamond Platnumz",0,1
45,History (feat. Fireboy DML),Cheque & Fireboy DML,31,2
46,Infinity,Olamide,0,1
47,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,36,2
48,Monalisa,"Lojay, Sarz",0,1
49,Koroba,Tiwa Savage,0,1
50,Currently,Kizz Daniel,0,1
