rank,song,artist,apple,audio,youtube,boom,spotify,RT
1,Feeling ft. Buju,LADIPOE and  Buju,25,24,13,5,290,71.4
2,Essence (feat. Justin Bieber & Tems),Wizkid,11,310,6,49,1,75.4
3,Bounce,Ruger,15,310,7,23,116,94.2
4,Testimony,Buju,45,19,40,350,130,116.8
5,Peru,Fireboy DML,2,310,2,1,290,121.0
6,Outside,Buju,23,310,15,2,290,128.0
7,Understand,Omah Lay,5,15,1,350,290,132.2
8,Show Me,Joeboy,20,310,24,22,290,133.2
9,Bloody Samaritan,Ayra Starr,13,8,9,350,290,134.0
10,Soundgasm,Rema,27,23,8,350,290,139.6
11,Rock (Official Video),Olamide,29,16,19,350,290,140.8
12,La La ft. Ckay,Davido,69,310,33,3,290,141.0
13,Ginger (feat. Burna Boy),Wizkid,300,310,47,50,6,142.6
14,FOR YOU,Teni,300,310,35,29,47,144.2
15,Lie (Audio),Kizz Daniel,4,75,5,350,290,144.8
16,Somebody Baby ft. Davido,Davido and  Peruzzi,89,310,26,11,290,145.2
17,Ojuju,Troniq Music and  Oxlade,6,80,11,350,290,147.4
18,Dimension (feat. Skepta & Rema),JAE5,61,310,21,350,8,150.0
19,Non Living Thing,Sarkodie,73,2,41,350,290,151.2
20,Mercy (Official Music Video),Falz,84,11,39,350,290,154.8
21,Slow Down (feat. Tion Wayne),King Promise,77,310,30,350,9,155.2
22,Question (feat. Don Jazzy),Burna Boy,3,87,52,350,290,156.4
23,Music Messiah ft. Wande Coal,DJ Neptune,300,25,250,6,290,174.2
24,KPK (Remix) ft. Sho Madjozi & MohBad,Rexxie and MohBad,300,53,250,9,290,180.4
25,The Key,Tems,19,310,250,48,290,183.4
26,Coming ft. Busiswa,Naira Marley and  Busiswa,70,310,250,13,290,186.6
27,This Your Body ft. Davido,Skales and Davido,300,54,250,39,290,186.6
28,INJURE ME,Teni,72,310,250,12,290,186.8
29,Somebody’s Son (Audio),Tiwa Savage,300,1,3,350,290,188.8
30,PEPE ft. Davido,Davido,300,310,42,7,290,189.8
31,Hallelu ft. Bella Shmurda & Zlatan,Masterkraft,300,310,22,31,290,190.6
32,Tales By Moonlight (feat. Amaarae) ,Tiwa Savage,12,52,250,350,290,190.8
33,Kilometre,Burna Boy,300,310,28,28,290,191.2
34,Monalisa,Lojay and  Sarz,17,310,4,350,290,194.2
35,Rise Up   ,2Baba and  Falz,82,12,250,350,290,196.8
36,Loco ft. Mayorkun,KDDO,300,310,44,43,290,197.4
37,Fine Wine (feat. King Promise & Joeboy) ,R2Bees,50,48,250,350,290,197.6
38,Fendi (feat. Joeboy),Blaqbonez,21,310,17,350,290,197.6
39,Southy Love (feat. Fireboy DML),Peruzzi,18,310,32,350,290,200.0
40,Godly,Omah Lay,300,310,29,350,13,200.4
41,Anoti (Audio),Wizkid,1,310,53,350,290,200.8
42,Sere Remix   ,"Spinall,  Fireboy DML and  6LACK",80,37,250,350,290,201.4
43,Let Me Know (Official Music Video),Mayorkun,9,310,49,350,290,201.6
44,Celebrate Me (Official Video),Patoranking,300,38,36,350,290,202.8
45,Enjoyment (lyric Video),Yemi Alade,300,22,55,350,290,203.4
46,Ghetto Vigilante   ,Uche B and  Kwesi Arthur,44,88,250,350,290,204.4
47,It Is What It Is,Adekunle Gold,42,310,34,350,290,205.2
48,Mood (Audio) (feat. Buju),Wizkid,22,310,54,350,290,205.2
49,Feel Good   ,MohBad,54,85,250,350,290,205.8
50,Money (feat. Teni),terri,300,310,250,37,135,206.4
51,KOLO (feat. Oxlade),Ice Prince,300,310,43,350,31,206.8
52,Yafun Yafun   ,Ajebo Hustlers,78,67,250,350,290,207.0
53,System (feat. WizKid),Dave and  Wizkid,75,310,250,350,59,208.8
