rank,song,artist,Previous week,weeks on chart
1,Feeling,LADIPOE and  Buju,1,10
2,Essence (feat. Tems),Wizkid,2,10
3,Bloody Samaritan,Ayra Starr,4,10
4,Peru,Fireboy DML,5,10
5,Outside,Buju,6,10
6,Understand (Lyric Video),Omah Lay,30,10
7,Show Me,Joeboy,8,10
8,Bounce (Official Video),Ruger,3,7
9,Soundgasm,Rema,10,5
10,High,Adekunle Gold and  Davido,19,10
11,Rock (Official Video),Olamide,9,10
12,La La (Official Video) (feat. CKay),Davido,7,10
13,Lie (Audio),Kizz Daniel,15,10
14,Question (feat. Don Jazzy),Burna Boy,35,8
15,Slow Down,King Promise,12,4
16,FOR YOU (feat. Davido),Teni,14,10
17,Mercy (Official Audio),Falz,18,10
18,Feel Good   ,MohBad,45,10
19,Enjoyment (lyric Video),Yemi Alade,39,2
20,Dimension (Official Video),JAE5,20,5
21,Music Messiah,DJ Neptune,21,10
22,This Your Body,Skales and Davido,25,3
23,Ginger (feat. Burna Boy),WizKid,23,8
24,KPK (Remix) ft. Sho Madjozi & MohBad,Rexxie and MohBad,22,9
25,Fountains (with Tems),Drake,0,1
26,INJURE ME,Teni,24,9
27,The Key,Tems,26,10
28,Kilometre,Burna Boy,36,6
29,Mood (Audio) (feat. Buju),Wizkid,31,3
30,Somebody’s Son (Audio),Tiwa Savage,28,5
31,Somebody Baby,Davido and  Peruzzi,13,5
32,Coming,Naira Marley and  Busiswa,27,3
33,Monalisa,Lojay and  Sarz,33,5
34,PEPE,Davido,29,10
35,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,34,9
36,Non Living Thing (feat. Oxlade) ,Sarkodie,16,5
37,Sere Remix   ,"Spinall,  Fireboy DML and  6LACK",32,4
38,Anoti (Audio),Wizkid,37,10
39,Let Me Know (Official Audio),Mayorkun,40,10
40,Ojuju,Troniq Music and  Oxlade,17,6
41,Loco ft. Mayorkun,KDDO,41,3
42,Fame   ,Killertunes and  Nissi,0,1
43,Godly,Omah Lay,42,4
44,Testimony,Buju,11,2
45,System (feat. WizKid),Dave and  Wizkid,44,3
46,Fine Wine (feat. King Promise & Joeboy),R2Bees,43,3
47,Southy Love (feat. Fireboy DML),Peruzzi,48,4
48,Celebrate Me (Official Video),Patoranking,47,3
49,Fendi (feat. Joeboy),Blaqbonez,46,4
50,Ghetto Vigilante   ,Uche B and  Kwesi Arthur,0,1
