rank,song,artist,apple,audio,youtube,boom,spotify,RT
1,Feeling ft. Buju,LADIPOE and  Buju,7,20,11,5,290,66.6
2,Essence (feat. Justin Bieber & Tems),Wizkid,9,310,25,10,1,71.0
3,Bounce,Ruger,30,310,5,24,83,90.4
4,Ginger (feat. Burna Boy),Wizkid,74,310,33,34,5,91.2
5,Peru,Fireboy DML,6,310,6,1,290,122.6
6,Outside,Buju,11,310,15,2,290,125.6
7,Understand,Omah Lay,3,11,1,350,290,131.0
8,Show Me,Joeboy,33,310,18,23,290,134.8
9,Soundgasm,Rema,18,19,3,350,290,136.0
10,Rock (Official Video),Olamide,17,12,17,350,290,137.2
11,La La ft. Ckay,Davido,48,310,35,3,290,137.2
12,Testimony,Buju,21,15,28,350,290,140.8
13,Coming ft. Busiswa,Naira Marley and  Busiswa,49,310,48,14,290,142.2
14,Bloody Samaritan,Ayra Starr,60,4,12,350,290,143.2
15,Lie (Audio),Kizz Daniel,4,69,4,350,290,143.4
16,Dimension (feat. Skepta & Rema),JAE5,39,310,16,350,7,144.4
17,Somebody Baby ft. Davido,Davido and  Peruzzi,75,310,37,12,290,144.8
18,Kilometre,Burna Boy,67,310,32,29,290,145.6
19,Non Living Thing,Sarkodie,52,1,44,350,290,147.4
20,FOR YOU,Teni,300,310,29,30,73,148.4
21,Slow Down (feat. Tion Wayne),King Promise,54,310,22,350,8,148.8
22,Ojuju,Oxlade and  Troniq Music,2,74,43,350,290,151.8
23,Mercy (Lyrics Video),Falz,68,7,46,350,290,152.2
24,Music Messiah ft. Wande Coal,DJ Neptune,300,21,250,6,290,173.4
25,KPK (Remix) ft. Sho Madjozi & MohBad,Rexxie and MohBad,300,47,250,9,290,179.2
26,INJURE ME,Teni,51,310,250,13,290,182.8
27,The Key,Tems,23,310,250,50,290,184.6
28,This Your Body ft. Davido,Skales and Davido,300,48,250,41,290,185.8
29,PEPE ft. Davido,Davido,300,310,39,7,290,189.2
30,Hallelu ft. Bella Shmurda & Zlatan,Masterkraft,300,310,19,32,290,190.2
31,"Squander (Remix) (Remix) ft. Kamo Mphela, Mpura, Niniola & Sayfar",Niniola,300,310,50,4,290,190.8
32,Rise Up   ,2Baba and  Falz,59,8,250,350,290,191.4
33,Black (feat. Mr Eazi) ,Victor AD,65,6,250,350,290,192.2
34,Fine Wine (feat. King Promise & Joeboy) ,R2Bees,28,43,250,350,290,192.2
35,Monalisa,Lojay and  Sarz,12,310,2,350,290,192.8
36,Professor  Peller (feat. Zlatan) ,Seyi Vibez,64,10,250,350,290,192.8
37,Fendi (feat. Joeboy),Blaqbonez,15,310,14,350,290,195.8
38,Sere Remix   ,"Spinall,  Fireboy DML and  6LACK",57,33,250,350,290,196.0
39,All (feat. Davido) ,Rexxie,62,29,250,350,290,196.2
40,Loco ft. Mayorkun,KDDO,300,310,40,45,290,197.0
41,Pronto ft. Omah Lay,Ajebo Hustlers,300,310,49,36,290,197.0
42,Party Next Door   ,Dangbana Republik and  Bella Shmurda,85,13,250,350,290,197.6
43,Blessed (feat. Damian Marley),Wizkid,55,310,250,350,23,197.6
44,Southy Love (feat. Fireboy DML),Peruzzi,13,310,27,350,290,198.0
45,Godly,Omah Lay,300,310,21,350,10,198.2
46,Feel Good   ,MohBad,31,81,250,350,290,200.4
47,Yafun Yafun   ,Ajebo Hustlers,56,61,250,350,290,201.4
48,Let Me Know (Official Audio),Mayorkun,1,310,57,350,290,201.6
49,It Is What It Is,Adekunle Gold,29,310,30,350,290,201.8
50,Celebrate Me (Official Video),Patoranking,300,34,36,350,290,202.0
51,System (feat. WizKid),Dave and  Wizkid,53,310,250,350,55,203.6
52,Ogogoro (Official Audio),Yemi Alade,300,70,9,350,290,203.8
53,Bling ft. Amaarae & Buju (Official Video),Blaqbonez,44,310,31,350,290,205.0
54,Fashion Killer,Ayra Starr,19,310,250,350,98,205.4
55,KOLO (feat. Oxlade),Ice Prince,300,310,42,350,26,205.6
56,Unconditionally   ,Ajebutter 22 and  Oxlade,84,60,250,350,290,206.8
57,Drug Test   ,Naira Marley,81,68,250,350,290,207.8
58,BE MY LOVER   ,Jizzle and  Mr Eazi,90,72,250,350,290,210.4
59,Alubarika (Official Video) (feat. Buju),Zlatan,300,71,47,350,290,211.6
60,Ke Star,Focalistic,300,310,7,350,111,215.6
61,Love Me (feat. Niniola),Juls and  Niniola,70,310,60,350,290,216.0
62,Emotion,Eltee Skhillz,300,310,250,8,290,231.6
63,Peteru (Peter),Greatman Takit,300,310,250,11,290,232.2
64,Don Dada,Timaya,300,310,250,15,290,233.0
65,Cho Cho ft. Davido & Mayorkun,Zlatan,300,310,250,16,290,233.2
66,Story,Greatman Takit,300,310,250,17,290,233.4
67,Pempe ft. Yemi Alade,Seyi Shay,300,310,250,18,290,233.6
68,Joro Kini Joro,Wizerd,300,310,250,19,290,233.8
69,Rotate (Freestyle),Mr Eazi,300,310,250,20,290,234.0
70,Holy Ghost Fire ft. The Cavemen,KDDO,300,310,250,21,290,234.2
71,Off You ft. KiDi,Young Jonn,300,310,250,22,290,234.4
72,Whyne,Akuchi,300,310,250,25,290,235.0
73,Obodo,JINNY SAVAGE,300,310,250,26,290,235.2
74,My Daddy,Greatman Takit,300,310,250,27,290,235.4
75,Verified ft. Mayorkun,Laycon,300,310,250,28,290,235.6
76,Too Correct ft. Rema,Crayon,300,310,250,31,290,236.2
77,Koleyewon,Naira Marley,300,310,250,33,290,236.6
78,"Lagos Anthem (Remix) ft. Oberz, Frescool, Oladips, Kabex & Trod",Zlatan,300,310,250,35,290,237.0
79,Jafafa ft. Mohbad,Chinko Ekun,300,310,250,37,290,237.4
80,Sugar Daddy ft. Olamide,Dj Enimoney,300,310,250,38,290,237.6
81,Money ft. Bella Shmurda & Mohbad,terri,300,310,250,39,290,237.8
82,Focus Vibe,Slimcase,300,310,250,40,290,238.0
83,GAT ME SINGING,Luddy Dave,300,310,250,42,290,238.4
84,Wonder (feat. Patoranking) ,Dremo,300,2,250,350,290,238.4
85,Who Talk (feat. Adekunle Gold & Ria Sean) ,Moelogo,300,3,250,350,290,238.6
86,Constantly ft. Mayorkun & Peruzzi,Speroachbeatz,300,310,250,43,290,238.6
87,6AM,Blaq Jerzee,300,310,250,44,290,238.8
88,All Mine Remix (feat. Buju) ,Kinsolo,300,5,250,350,290,239.0
89,Egbon ft. Phyno,Masterkraft,300,310,250,46,290,239.2
90,Kilofese (Remix) ft. Mayorkun & Busiswa,Zinoleesky,300,310,250,47,290,239.4
91,Jackpot ft. Bella Shumurda,Crayon,300,310,250,48,290,239.6
92,Kabaa ft. Mayorkun,Idowest,300,310,250,49,290,239.8
93,Round 2 (feat. Giggs) ,Sarkodie,300,9,250,350,290,239.8
94,"IYO (feat. Focalistic, Mapara A Jazz & Ntosh Gazi) ",Diamond Platnumz,300,14,250,350,290,240.8
95,Tales By Moonlight (feat. Amaarae),Tiwa Savage,5,310,250,350,290,241.0
96,First Sermon   ,Black Sherif,300,16,250,350,290,241.2
97,"Y3 Y3 DOM (feat. Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga & O'Kenneth) ",Jay Bahd,300,17,250,350,290,241.4
98,Sinner,Adekunle Gold and  Lucky Daye,8,310,250,350,290,241.6
99,Enjoyment   ,Yemi Alade,300,18,250,350,290,241.6
100,Naira Marley,Zinoleesky,10,310,250,350,290,242.0
101,Antidote (feat. Adekunle Gold),Nao,300,310,250,350,2,242.4
102,Jennifer Remix (feat. Rayvanny) ,Guchi ft Rayvanny,300,22,250,350,290,242.4
103,Cut Soap   ,DJ Xclusive and Rulerboy,300,23,250,350,290,242.6
104,Love Somebody,Rotimi,300,310,250,350,3,242.6
105,STAMINA (feat. LuuDadeejay),WurlD and  Major League Djz,14,310,250,350,290,242.8
106,Mandy,Scribz Riley,300,310,250,350,4,242.8
107,Touch It   ,KiDi,300,24,250,350,290,242.8
108,Yote Sawa   ,Nandy,300,25,250,350,290,243.0
109,Free Your Mind   ,Blaq Jerzee & Jux,300,26,250,350,290,243.2
110,Real Life (feat. Stormzy),Burna Boy,300,310,250,350,6,243.2
111,Cocaine,Dai Verse,16,310,250,350,290,243.2
112,Praise   ,Fameye,300,27,250,350,290,243.4
113,Nimekuzoea   ,Nandy,300,28,250,350,290,243.6
114,D & G (feat. Summer Walker),DaVido,300,310,250,350,9,243.8
115,Frenemies (feat. Oxlade),Rexxie,20,310,250,350,290,244.0
116,Tekiller   ,CDQ,300,30,250,350,290,244.0
117,All The Above   ,Show Dem Camp,300,31,250,350,290,244.2
118,Silver Tongue Devil (feat. Shenseea),Masego,300,310,250,350,11,244.2
119,Kamata   ,Diamond Platnumz,300,32,250,350,290,244.4
120,Ring My Line (feat. Headie One),King Promise,22,310,250,350,290,244.4
121,Damn (feat. 6lack),Omah Lay,300,310,250,350,13,244.6
122,NEED ME,Gyakie,24,310,250,350,290,244.8
123,Can't Let You Go,Stefflon Don,300,310,250,350,14,244.8
124,Blessings REMIX (feat. French Montana & Davido),Angel,300,310,250,350,15,245.0
125,Chargie (feat. Jonny Blaze & Stadic) ,"Reekado Banks, Teejay & Lord Afrixana",300,35,250,350,290,245.0
126,Pay Me,Oxlade and  Troniq Music,25,310,250,350,290,245.0
127,Gum Body (feat. Jorja Smith),Burna Boy,300,310,250,350,16,245.2
128,Somebodyxe2x80x99s Son (feat. Brandy),Tiwa Savage,26,310,250,350,290,245.2
129,"Ndombolo (feat. AbduKiba, K2ga & Tommy Flavour) ",Alikiba,300,36,250,350,290,245.2
130,Dorime (feat. Musette & Vector) ,Samklef,300,37,250,350,290,245.4
131,AWAY,Oxlade,300,310,250,350,17,245.4
132,make me feel (feat. Tori J & Yung D3mz),Ginius,27,310,250,350,290,245.4
133,Ginger Me,Rema,300,310,250,350,18,245.6
134,Salute (feat. RudeBoy) ,Alikiba,300,38,250,350,290,245.6
135,No Stress,WizKid,300,310,250,350,19,245.8
