rank,song,artist,apple,audio,youtube,boom,spotify,RT
1,Feeling ft. Buju,LADIPOE and  Buju,15,24,23,1,290,70.6
2,Essence (feat. Tems),Wizkid,36,310,7,27,2,76.4
3,Bloody Samaritan,Ayra Starr,18,8,10,350,87,94.6
4,Peru,Fireboy DML,1,310,3,20,290,124.8
5,Outside,Buju,9,310,20,21,290,130.0
6,Understand,Omah Lay,7,15,4,350,290,133.2
7,Show Me,Joeboy,47,310,17,8,290,134.4
8,Bounce,Ruger,42,310,9,35,290,137.2
9,Soundgasm,Rema,27,23,6,350,290,139.2
10,High,Adekunle Gold and  Davido,11,310,31,350,4,141.2
11,Rock (Official Video),Olamide,29,16,22,350,290,141.4
12,La La ft. Ckay,Davido,48,310,37,22,290,141.4
13,Lie (Official Video),Kizz Daniel,4,75,8,350,290,145.4
14,Question (feat. Don Jazzy),Burna Boy,16,87,2,350,290,149.0
15,Slow Down (feat. Tion Wayne),King Promise,57,310,27,350,8,150.4
16,FOR YOU,Teni,300,310,29,38,76,150.6
17,Mercy (Official Music Video),Falz,87,11,42,350,290,156.0
18,Feel Good,MohBad,21,85,52,350,290,159.6
19,Enjoyment,Yemi Alade,300,22,26,350,137,167.0
20,Dimension (feat. Skepta & Rema),JAE5,83,310,30,350,80,170.6
21,Music Messiah ft. Wande Coal,DJ Neptune,300,25,250,2,290,173.4
22,This Your Body ft. Davido,Skales and Davido,300,54,250,15,290,181.8
23,Ginger (feat. Burna Boy),WizKid,300,310,250,41,10,182.2
24,KPK (Remix) ft. Sho Madjozi & MohBad,Rexxie and MohBad,300,53,250,26,290,183.8
25,Fountains (with Tems),Drake,12,310,250,350,1,184.6
26,INJURE ME,Teni,55,310,250,29,290,186.8
27,The Key,Tems,46,310,250,50,290,189.2
28,Kilometre,Burna Boy,300,310,40,11,290,190.2
29,Mood (Audio) (feat. Buju),Wizkid,3,310,1,350,290,190.8
30,Somebody’s Son (Audio),Tiwa Savage,300,1,14,350,290,191.0
31,Somebody Baby ft. Davido,Davido and  Peruzzi,84,310,250,28,290,192.4
32,Coming ft. Busiswa,Naira Marley and  Busiswa,85,310,250,30,290,193.0
33,Monalisa,Lojay and  Sarz,10,310,5,350,290,193.0
34,PEPE ft. Davido,Davido,300,310,44,24,290,193.6
35,Hallelu ft. Bella Shmurda & Zlatan,Masterkraft,300,310,36,39,290,195.0
36,Non Living Thing (feat. Oxlade) ,Sarkodie,88,2,250,350,290,196.0
