rank,song,artist,Previous week,weeks on chart
1,Ginger (feat. Burna Boy),Wizkid,1,5
2,Feeling,LADIPOE and  Buju,2,5
3,Essence (feat. Tems),Wizkid,5,5
4,Show Me,Joeboy,3,5
5,Testimony,Buju,22,5
6,Coming,Naira Marley and  Busiswa,4,5
7,FOR YOU (feat. Davido),Teni featuring Davido,7,5
8,Enjoyment,Yemi Alade,8,2
9,Outside,Buju,9,5
10,La La (Official Video) (feat. CKay),Davido,10,5
11,Bounce (Official Video),Ruger,6,5
12,Understand (Lyric Video),Omah Lay,11,5
13,Rock (Official Video),Olamide,12,5
14,Soundgasm,Rema,13,3
15,INJURE ME,Teni,14,5
16,KPK (Remix) ft. Sho Madjozi & MohBad,Rexxie and MohBad,15,5
17,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,21,5
18,Slow Down,King Promise,28,5
19,Kilometre,Burna Boy,17,3
20,Somebody Baby,Davido and  Peruzzi,20,5
21,Godly,Omah Lay,27,5
22,Dimension (Official Video),JAE5,25,2
23,Squander,Niniola,38,3
24,KOLO (feat. Oxlade),Ice Prince,26,4
25,The Best (feat. Mayorkun),Davido,29,5
26,Music Messiah,DJ Neptune,31,4
27,Ke Star (feat. Vigro Deep),Focalistic featuring Vigro Deep,30,5
28,Peru,Fireboy DML,0,1
29,This Your Body,Skales and Davido,33,3
30,Feel Good   ,MohBad,0,1
31,Party Next Door,Dangbana Republik and  Bella Shmurda,34,5
32,The Key,Tems,35,3
33,All (Official Audio) (feat. Davido),Rexxie,36,4
34,Verified ft. Mayorkun,Laycon,37,5
35,PEPE,Davido,19,4
36,Egbon (feat. Phyno),Masterkraft and  Phyno,16,3
37,Blessed (feat. Damian Marley),Wizkid,40,3
38,Off You ft. KiDi,Kidi,43,5
39,Pronto ft. Omah Lay,Ajebo Hustlers,24,5
40,Sere (Remix)   ,"Spinall,  Fireboy DML and  6LACK",0,1
41,Monalisa,Lojay and  Sarz,44,3
42,Fine Wine (feat. King Promise & Joeboy),R2Bees,42,4
43,Loco ft. Mayorkun,KDDO,45,4
44,AWAY,Ayra Starr,48,4
45,Celebrate Me,Patoranking,47,3
46,Naira Marley,Zinoleesky,46,2
47,Free Your Mind   ,Blaq Jerzee and  Jux,49,3
48,Southy Love (feat. Fireboy DML),Peruzzi,50,4
49,Rise Up   ,2Baba and  Falz,0,1
50,It Is What It Is,Adekunle Gold,0,1
