rank,song,artist,Previous week,weeks on chart
1,Feeling,LADIPOE and  Buju,3,7
2,Essence (feat. Tems),Wizkid,2,7
3,Bounce (Official Video),Ruger,8,7
4,Ginger (feat. Burna Boy),Wizkid,1,7
5,Peru,Fireboy DML,28,7
6,Outside,Buju,10,7
7,Understand (Lyric Video),Omah Lay,18,7
8,Show Me,Joeboy,4,4
9,Soundgasm,Rema,14,2
10,Rock (Official Video),Olamide,13,7
11,La La (Official Video) (feat. CKay),Davido,12,7
12,Testimony,Buju,5,7
13,Coming,Naira Marley and  Busiswa,7,7
14,Bloody Samaritan,Ayra Starr,9,5
15,Lie (Audio),Kizz Daniel,0,1
16,Dimension (Official Video),JAE5,26,7
17,Somebody Baby,Davido and  Peruzzi,23,7
18,Kilometre,Burna Boy,15,7
19,Non Living Thing (feat. Oxlade) ,Sarkodie,30,5
20,FOR YOU (feat. Davido),Teni,6,2
21,Slow Down,King Promise,21,7
22,Ojuju,Oxlade and  Troniq Music,0,1
23,Mercy (Official Audio),Falz,20,5
24,Music Messiah,DJ Neptune,22,6
25,KPK (Remix) ft. Sho Madjozi & MohBad,Rexxie and MohBad,17,7
26,INJURE ME,Teni,16,6
27,The Key,Tems,35,7
28,This Your Body,Skales and Davido,34,3
29,PEPE,Davido,40,5
30,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,19,2
31,Squander,Niniola,37,2
32,Rise Up   ,2Baba and  Falz,38,2
33,Black (feat. Mr Eazi) ,Victor AD,33,2
34,Fine Wine (feat. King Promise & Joeboy),R2Bees,50,7
35,Monalisa,Lojay and  Sarz,46,6
36,Professor  Peller (feat. Zlatan) ,Seyi Vibez,32,2
37,Fendi (feat. Joeboy),Blaqbonez,0,1
38,Sere Remix   ,"Spinall,  Fireboy DML and  6LACK",36,7
39,All (Official Audio) (feat. Davido),Rexxie,41,7
40,Loco ft. Mayorkun,KDDO,48,3
41,Pronto ft. Omah Lay,Ajebo Hustlers,45,5
42,Party Next Door,Dangbana Republik and  Bella Shmurda,39,6
43,Blessed (feat. Damian Marley),Wizkid,0,1
44,Southy Love (feat. Fireboy DML),Peruzzi,0,1
45,Godly,Omah Lay,24,5
46,Feel Good   ,MohBad,0,1
47,Yafun Yafun   ,Ajebo Hustlers,0,1
48,Let Me Know (Official Audio),Mayorkun,0,1
49,It Is What It Is,Adekunle Gold,0,1
50,Celebrate Me (Official Video),Patoranking,0,1
