rank,song,artist,R1,R2,R3,RT
94,Yote Sawa,Nandy,201,94,94,129.6666667
95,Understand,Omah Lay,201,201,1,134.3333333
96,Bobo,Aya Nakamura,6,201,201,136
97,Chance (feat. Tay Iwar & Projexx),JulsBaby,30,201,201,144
98,Thunder Fire You,Ric Hassani,45,201,201,149
99,One Time Ting,DJ Tunez & J. Anthoni,46,201,201,149.3333333
100,Rush,Dangbana Republik X Bella Shmurda,50,201,201,150.6666667
101,Kiss Me Like You Miss Me,CKay,52,201,201,151.3333333
102,Bomb,DJ Tunez & J. Anthoni,54,201,201,152
103,Sukari,Zuchu,63,201,201,155
104,Funu,"Kabza De Small, DJ Maphorisa and TRESOR",65,201,201,155.6666667
105,Changanya (feat. Jux & Kenz Ville),Jay Rox x Jux,201,201,80,160.6666667
106,Fresh (feat. Samba Peuzzi),Iss 814,82,201,201,161.3333333
107,Somebody (feat. Phyno),Olamide,83,201,201,161.6666667
108,Kwadede,Kwabena Kwabena,84,201,201,162
109,Chargie (feat. Jonny Blaze & Stadic),"Reekado Banks, Teejay, Lord Afrixana",93,201,201,165
110,Free Your Mind,Blaq Jerzee & Jux,201,201,95,165.6666667
