rank,song,artist,apple,audio,youtube,boom,spotify,RT
1,Ginger (feat. Burna Boy),Wizkid,74,67,23,32,4,40.0
2,Feeling ft. Buju,LADIPOE and  Buju,6,11,9,4,290,64.0
3,Essence (feat. Tems),Wizkid,3,310,2,8,60,76.6
4,Show Me,Joeboy,18,69,10,22,290,81.8
5,Testimony,Buju,4,6,44,350,10,82.8
6,Coming ft. Busiswa,Naira Marley and  Busiswa,62,55,13,12,290,86.4
7,FOR YOU,Teni featuring Davido,300,62,29,28,54,94.6
8,Enjoyment,Yemi Alade,32,9,50,350,127,113.6
9,Outside,Buju,23,310,6,2,290,126.2
10,La La ft. Ckay,Davido,17,310,15,1,290,126.6
11,Bounce,Ruger,13,310,3,23,290,127.8
12,Understand (Lyric Video),Omah Lay,1,1,1,350,290,128.6
13,Rock (Official Video),Olamide,7,3,11,350,290,132.2
14,Soundgasm,Rema,8,10,4,350,290,132.4
15,INJURE ME,Teni,46,68,250,10,290,132.8
16,KPK (Remix) ft. Sho Madjozi & MohBad,Rexxie and MohBad,300,39,39,7,290,135.0
17,Hallelu ft. Bella Shmurda & Zlatan,Masterkraft,300,63,18,30,290,140.2
18,Slow Down (feat. Tion Wayne),King Promise,11,310,24,350,7,140.4
19,Kilometre,Burna Boy,61,310,20,27,290,141.6
20,Somebody Baby ft. Davido,Davido and  Peruzzi,76,310,36,11,290,144.6
21,Godly,Omah Lay,300,65,21,350,9,149.0
22,Dimension (feat. Skepta & Rema),JAE5,37,310,12,350,66,155.0
23,Squander,Niniola,300,310,31,3,147,158.2
24,KOLO (feat. Oxlade),Ice Prince,50,310,35,350,59,160.8
25,The Best (feat. Mayorkun),Davido,66,70,30,350,290,161.2
26,Music Messiah ft. Wande Coal,DJ Neptune,300,12,250,5,290,171.4
27,Ke Star,Focalistic featuring Vigro Deep,300,64,8,350,144,173.2
28,Peru,Fireboy DML,19,310,250,49,290,183.6
29,This Your Body ft. Davido,Skales and Davido,300,40,250,39,290,183.8
30,Feel Good   ,MohBad,31,2,250,350,290,184.6
31,Party Next Door   ,Dangbana Republik and  Bella Shmurda,30,4,250,350,290,184.8
32,The Key,Tems,29,310,250,48,290,185.4
33,All (feat. Davido) ,Rexxie,20,20,250,350,290,186.0
34,Verified ft. Mayorkun,Laycon,67,310,250,26,290,188.6
35,PEPE ft. Davido,Davido,300,310,40,6,290,189.2
36,Egbon ft. Phyno,Masterkraft and  Phyno,64,310,250,44,290,191.6
37,Blessed (feat. Damian Marley),Wizkid,36,310,250,350,16,192.4
38,Off You ft. KiDi,Kidi,300,310,45,21,290,193.2
39,Pronto ft. Omah Lay,Ajebo Hustlers,300,310,34,34,290,193.6
40,Sere (Remix)   ,"Spinall,  Fireboy DML and  6LACK",55,24,250,350,290,193.8
41,Monalisa,Lojay and  Sarz,14,310,5,350,290,193.8
42,Fine Wine (feat. King Promise & Joeboy) ,R2Bees,49,35,250,350,290,194.8
43,Loco ft. Mayorkun,KDDO,300,310,37,43,290,196.0
44,AWAY,Ayra Starr,300,66,250,350,15,196.2
45,Celebrate Me (Official Video),Patoranking,300,25,19,350,290,196.8
46,Naira Marley,Zinoleesky,21,310,17,350,290,197.6
47,Free Your Mind   ,Blaq Jerzee and  Jux,83,17,250,350,290,198.0
48,Southy Love (feat. Fireboy DML),Peruzzi,16,310,28,350,290,198.8
49,Rise Up   ,2Baba and  Falz,34,85,250,350,290,201.8
50,It Is What It Is,Adekunle Gold,44,310,25,350,290,203.8
51,System (feat. WizKid),Dave and  Wizkid,2,310,250,350,109,204.2
52,Bling (feat. Buju & Amaarae),Blaqbonez,22,310,54,350,290,205.2
53,Kilofeshe,Zinoleesky,79,310,33,350,290,212.4
54,Forever (Remix),Gyakie and  Omah Lay,75,310,42,350,290,213.4
55,Angelina,Dreamboy,300,75,250,350,107,216.4
56,Baajo,Kwesi Arthur and  Joeboy,68,310,250,350,130,221.6
57,Bounse,Rema,300,310,27,350,122,221.8
58,Peteru (Peter),Greatman Takit,300,310,250,9,290,231.8
59,Don Dada,Timaya,300,310,250,13,290,232.6
60,Cho Cho ft. Davido & Mayorkun,Zlatan,300,310,250,14,290,232.8
61,Story,Greatman Takit,300,310,250,15,290,233.0
62,Pempe ft. Yemi Alade,Seyi Shay,300,310,250,16,290,233.2
63,Joro Kini Joro,Wizerd,300,310,250,17,290,233.4
64,Rotate (Freestyle),Mr Eazi,300,310,250,18,290,233.6
65,OLOFOFO,Victor AD,300,310,250,19,290,233.8
66,Holy Ghost Fire ft. The Cavemen,KDDO,300,310,250,20,290,234.0
67,Whyne,Akuchi,300,310,250,24,290,234.8
68,My Daddy,Greatman Takit,300,310,250,25,290,235.0
69,Too Correct ft. Rema,Crayon,300,310,250,29,290,235.8
70,Koleyewon,Naira Marley,300,310,250,31,290,236.2
71,"Lagos Anthem (Remix) ft. Oberz, Frescool, Oladips, Kabex & Trod",Zlatan,300,310,250,33,290,236.6
72,Jafafa ft. Mohbad,Chinko Ekun,300,310,250,35,290,237.0
73,Sugar Daddy ft. Olamide,Dj Enimoney,300,310,250,36,290,237.2
74,Money ft. Bella Shmurda & Mohbad,terri,300,310,250,37,290,237.4
75,Focus Vibe,Slimcase,300,310,250,38,290,237.6
76,GAT ME SINGING,Luddy Dave,300,310,250,40,290,238.0
77,Constantly ft. Mayorkun & Peruzzi,Speroachbeatz,300,310,250,41,290,238.2
78,6AM,Blaq Jerzee,300,310,250,42,290,238.4
79,"IYO (feat. Focalistic, Mapara A Jazz & Ntosh Gazi) ",Diamond Platnumz,300,5,250,350,290,239.0
80,Kilofese (Remix) ft. Mayorkun & Busiswa,Zinoleesky,300,310,250,45,290,239.0
81,Jackpot ft. Bella Shumurda,Crayon,300,310,250,46,290,239.2
82,Kabaa ft. Mayorkun,Idowest,300,310,250,47,290,239.4
83,First Sermon   ,Black Sherif,300,7,250,350,290,239.4
84,"Y3 Y3 DOM (feat. Skyface SDW, Reggie, Kwaku DMC, City Boy, Kawabanga & O'Kenneth) ",Jay Bahd,300,8,250,350,290,239.6
85,Jennifer Remix (feat. Rayvanny) ,Guchi ft Rayvanny,300,13,250,350,290,240.6
86,Cut Soap   ,DJ Xclusive and Rulerboy,300,14,250,350,290,240.8
87,Far Away,Dangbana Republik and  Bella Shmurda,5,310,250,350,290,241.0
88,Touch It   ,KiDi,300,15,250,350,290,241.0
89,Yote Sawa   ,Nandy,300,16,250,350,290,241.2
90,Praise   ,Fameye,300,18,250,350,290,241.6
91,Sinner,Adekunle Gold and  Lucky Daye,9,310,250,350,290,241.8
92,Nimekuzoea   ,Nandy,300,19,250,350,290,241.8
93,Shopping Spree (feat. Chris Brown & Young Thug),Davido,10,310,250,350,290,242.0
94,Tekiller   ,CDQ,300,21,250,350,290,242.2
95,Antidote (feat. Adekunle Gold),Nao,300,310,250,350,1,242.2
96,All The Above   ,Show Dem Camp,300,22,250,350,290,242.4
97,Solace,Ajebo Hustlers,12,310,250,350,290,242.4
98,Mandy,Scribz Riley,300,310,250,350,2,242.4
99,Boom Bam (feat. Young T & Bugsey),Not3s,300,310,250,350,3,242.6
100,Kamata   ,Diamond Platnumz,300,23,250,350,290,242.6
101,Professor Peller (feat. Zlatan),Seyi Vibez,15,310,250,350,290,243.0
102,Real Life (feat. Stormzy),Burna Boy,300,310,250,350,5,243.0
103,Chargie (feat. Jonny Blaze & Stadic) ,"Reekado Banks, Teejay & Lord Afrixana",300,26,250,350,290,243.2
104,Love Somebody,Rotimi,300,310,250,350,6,243.2
105,"Ndombolo (feat. AbduKiba, K2ga & Tommy Flavour) ",Alikiba,300,27,250,350,290,243.4
106,D & G (feat. Summer Walker),DaVido,300,310,250,350,8,243.6
107,Dorime (feat. Musette & Vector) ,Samklef,300,28,250,350,290,243.6
108,Salute (feat. RudeBoy) ,Alikiba,300,29,250,350,290,243.8
109,Iphupho (feat. Kuhle) ,Jabzz Dimitri featuring Kuhle,300,30,250,350,290,244.0
110,KSM   ,Naza,300,31,250,350,290,244.2
111,Damn (feat. 6lack),Omah Lay,300,310,250,350,11,244.2
112,No Stress,WizKid,300,310,250,350,12,244.4
113,New Couple   ,Nandy,300,32,250,350,290,244.4
114,Rumour,Kaien Cruz,300,310,250,350,13,244.6
115,I Miss You   ,Joda Kgosi,300,33,250,350,290,244.6
116,Unconditionally,Ajebutter 22 and  Oxlade,24,310,250,350,290,244.8
117,Can't Let You Go,Stefflon Don,300,310,250,350,14,244.8
118,Rappers (feat. Dremo) ,Dreylo featuring Dremo,300,34,250,350,290,244.8
119,I DONT MIND,Tosin Robeck,25,310,250,350,290,245.0
120,Yafun Yafun,Ajebo Hustlers,26,310,250,350,290,245.2
121,Simple Instruction   ,"Smallgod, R2Bees",300,36,250,350,290,245.2
122,Wonder Mama (feat. Adekunle Gold),MHD,27,310,250,350,290,245.4
123,Silver Tongue Devil (feat. Shenseea),Masego,300,310,250,350,17,245.4
124,Omo X 100 (feat. Olamide) ,Reminisce,300,37,250,350,290,245.4
125,Fancy,Uche Malik,28,310,250,350,290,245.6
126,Confident   ,Savage X Buju,300,38,250,350,290,245.6
127,Gum Body (feat. Jorja Smith),Burna Boy,300,310,250,350,18,245.6
128,Eve Bounce,Remix - Yung L,300,310,250,350,19,245.8
129,Ginger Me,Rema,300,310,250,350,20,246.0
130,Lo Lo,Omah Lay,300,310,250,350,21,246.2
131,FOCUS DANCE BEAT (feat. HAGMAN & ABATI) ,AJIMOVOIX_DRUMS,300,41,250,350,290,246.2
132,Baby   ,Brainee,300,42,250,350,290,246.4
133,ALREADY,Beyoncé,300,310,250,350,22,246.4
134,Somebody (feat. Phyno),Olamide,33,310,250,350,290,246.6
135,Know Your Worth,Khalid,300,310,250,350,23,246.6
136,Jemeni   ,Aymos and Focalistic,300,43,250,350,290,246.6
137,In Those Eyes   ,Ogranya,300,44,250,350,290,246.8
138,Lonely,Joeboy,300,310,250,350,24,246.8
139,Come Over (Remix),Jorja Smith,300,310,250,350,25,247.0
140,Money Man (feat. Kuami Eugene) [Remix],Malcolm Nuna,35,310,250,350,290,247.0
141,Brown Skin   ,Masterkraft,300,45,250,350,290,247.0
142,Baby I'm Jealous,Mr Eazi,300,310,250,350,26,247.2
143,Tonongo   ,"Lojay, Sarz",300,46,250,350,290,247.2
144,Koroba,Tiwa Savage,300,310,250,350,27,247.4
145,Sokoma   ,"Blaq Jerzee, Marioo and Eddy Kenzo",300,47,250,350,290,247.4
146,Frenemies (feat. Oxlade),Rexxie,38,310,250,350,290,247.6
147,Right Here   ,"Walshy Fire, Terri, Cloud Beats",300,48,250,350,290,247.6
148,In My Bed,Rotimi,300,310,250,350,28,247.6
149,Lemonade   ,Ria sean,300,49,250,350,290,247.8
150,Princess Cuts (feat. Young T & Bugsey),Headie One,300,310,250,350,29,247.8
151,Shege,Purple Plutonian,40,310,250,350,290,248.0
152,Smile (feat. H.E.R.),WizKid,300,310,250,350,30,248.0
153,GUPTA (feat. Lady Du & Mellow and Sleazy) ,Focalistic and Mr JazziQ,300,50,250,350,290,248.0
154,Hurricane (feat. Buju Banton) ,Tomi Thomas,300,51,250,350,290,248.2
155,Lady,Nchinye,41,310,250,350,290,248.2
156,Attention,Tiwa Savage,300,310,250,350,31,248.2
157,Killa (feat. DaVido),Teyana Taylor,300,310,250,350,32,248.4
158,World   ,"Dangbana Republik, Bella Shmurda",300,52,250,350,290,248.4
159,No Sleeping (feat. Zlatan),1da Banton,42,310,250,350,290,248.4
160,PEAKING   ,Tay Iwar,300,53,250,350,290,248.6
161,Sweet Escape,Mizzle,43,310,250,350,290,248.6
162,Longtime (feat. Skepta),WizKid,300,310,250,350,33,248.6
