rank,song,artist,apple,audio,youtube,boom,spotify,RT
1,Feeling ft. Buju,LADIPOE and  Buju,7,21,25,5,290,69.6
2,Essence (feat. Tems),Wizkid,23,310,2,10,11,71.2
3,Bounce,Ruger,28,310,10,24,81,90.6
4,Bloody Samaritan,Ayra Starr,13,8,12,350,135,103.6
5,Peru,Fireboy DML,3,310,1,1,290,121.0
6,Outside,Buju,6,310,17,2,290,125.0
7,La La ft. Ckay,Davido,34,310,36,3,290,134.6
8,Show Me,Joeboy,33,310,19,23,290,135.0
9,Rock (Official Video),Olamide,11,14,21,350,290,137.2
10,Soundgasm,Rema,43,20,5,350,290,141.6
11,Testimony,Buju,19,16,45,350,290,144.0
12,Slow Down (feat. Tion Wayne),King Promise,40,310,28,350,7,147.0
13,Somebody Baby ft. Davido,Davido and  Peruzzi,75,310,50,12,290,147.4
14,FOR YOU,Teni,300,310,26,30,73,147.8
15,Lie (Audio),Kizz Daniel,8,67,47,350,290,152.4
16,Non Living Thing,Sarkodie,79,2,48,350,290,153.8
17,Ojuju,Troniq Music and  Oxlade,10,72,49,350,290,154.2
18,Mercy (Official Music Video),Falz,83,10,40,350,290,154.6
19,High,Adekunle Gold and  Davido,5,310,51,350,109,165.0
20,Dimension (feat. Skepta & Rema),JAE5,71,310,29,350,67,165.4
21,Music Messiah ft. Wande Coal,DJ Neptune,300,22,250,6,290,173.6
22,KPK (Remix) ft. Sho Madjozi & MohBad,Rexxie and MohBad,300,47,250,9,290,179.2
23,Ginger (feat. Burna Boy),WizKid,300,310,250,34,3,179.4
24,INJURE ME,Teni,39,310,250,13,290,180.4
25,This Your Body ft. Davido,Skales and Davido,300,48,250,41,290,185.8
26,The Key,Tems,32,310,250,50,290,186.4
27,Coming ft. Busiswa,Naira Marley and  Busiswa,77,310,250,14,290,188.2
28,Somebody’s Son (Audio),Tiwa Savage,300,1,7,350,290,189.6
29,PEPE ft. Davido,Davido,300,310,44,7,290,190.2
30,Understand,Omah Lay,2,310,4,350,290,191.2
31,Mood (Audio) (feat. Buju),Wizkid,1,310,8,350,290,191.8
32,Sere Remix   ,"Spinall,  Fireboy DML and  6LACK",37,33,250,350,290,192.0
33,Monalisa,Lojay and  Sarz,4,310,6,350,290,192.0
34,Hallelu ft. Bella Shmurda & Zlatan,Masterkraft,300,310,30,32,290,192.4
35,Question (feat. Don Jazzy),Burna Boy,12,310,3,350,290,193.0
36,Kilometre,Burna Boy,300,310,39,29,290,193.6
37,Anoti (Audio),Wizkid,21,310,9,350,290,196.0
38,Rise Up   ,2Baba and  Falz,81,11,250,350,290,196.4
39,Enjoyment (lyric Video),Yemi Alade,300,19,23,350,290,196.4
40,Let Me Know (Official Music Video),Mayorkun,20,310,14,350,290,196.8
41,Loco ft. Mayorkun,KDDO,300,310,43,45,290,197.6
42,Godly,Omah Lay,300,310,20,350,10,198.0
43,Fine Wine (feat. King Promise & Joeboy) ,R2Bees,63,43,250,350,290,199.2
44,System (feat. WizKid),Dave and  Wizkid,41,310,250,350,45,199.2
45,Feel Good   ,MohBad,38,77,250,350,290,201.0
46,Fendi (feat. Joeboy),Blaqbonez,35,310,22,350,290,201.4
47,Celebrate Me (Official Video),Patoranking,300,34,35,350,290,201.8
48,Southy Love (feat. Fireboy DML),Peruzzi,31,310,41,350,290,204.4
49,Tales By Moonlight (feat. Amaarae) ,Tiwa Savage,87,46,250,350,290,204.6
50,KOLO (feat. Oxlade),Ice Prince,300,310,42,350,22,204.8
51,Fountains (with Tems),Drake,9,310,250,350,108,205.4
52,Ghetto Vigilante   ,Uche B and  Kwesi Arthur,60,79,250,350,290,205.8
53,Yafun Yafun   ,Ajebo Hustlers,80,59,250,350,290,205.8
54,So Cold   ,Bella Shmurda and  Popcaan,78,80,250,350,290,209.6
55,It Is What It Is,Adekunle Gold,58,310,46,350,290,210.8
56,Bling (feat. Buju & Amaarae),Blaqbonez,74,310,34,350,290,211.6
57,Fashion Killer,Ayra Starr,47,310,250,350,119,215.2
58,Ke Star,Focalistic,300,310,11,350,133,220.8
59,"Squander (Remix) (Remix) ft. Kamo Mphela, Mpura, Niniola & Sayfar",Falz,300,310,250,4,290,230.8
60,Emotion,Eltee Skhillz,300,310,250,8,290,231.6
61,Peteru (Peter),Greatman Takit,300,310,250,11,290,232.2
