rank,song,artist,Previous week,weeks on chart
1,Feeling,LADIPOE and  Buju,1,9
2,Essence (feat. Tems),Wizkid,2,9
3,Bounce (Official Video),Ruger,3,9
4,Bloody Samaritan,Ayra Starr,9,9
5,Peru,Fireboy DML,5,9
6,Outside,Buju,6,9
7,La La (Official Video) (feat. CKay),Davido,12,9
8,Show Me,Joeboy,8,6
9,Rock (Official Video),Olamide,11,4
10,Soundgasm,Rema,10,9
11,Testimony,Buju,4,9
12,Slow Down,King Promise,21,9
13,Somebody Baby,Davido and  Peruzzi,16,9
14,FOR YOU (feat. Davido),Teni,14,7
15,Lie (Audio),Kizz Daniel,15,3
16,Non Living Thing (feat. Oxlade) ,Sarkodie,19,9
17,Ojuju,Troniq Music and  Oxlade,17,9
18,Mercy (Official Audio),Falz,20,9
19,High,Adekunle Gold and  Davido,0,1
20,Dimension (Official Video),JAE5,18,4
21,Music Messiah,DJ Neptune,23,9
22,KPK (Remix) ft. Sho Madjozi & MohBad,Rexxie and MohBad,24,2
23,Ginger (feat. Burna Boy),WizKid,13,7
24,INJURE ME,Teni,28,8
25,This Your Body,Skales and Davido,27,9
26,The Key,Tems,25,8
27,Coming,Naira Marley and  Busiswa,26,9
28,Somebody’s Son (Audio),Tiwa Savage,29,5
29,PEPE,Davido,30,2
30,Understand (Lyric Video),Omah Lay,7,4
31,Mood (Audio) (feat. Buju),Wizkid,48,4
32,Sere Remix   ,"Spinall,  Fireboy DML and  6LACK",42,2
33,Monalisa,Lojay and  Sarz,34,4
34,Hallelu (feat. Bella Shmurda & Zlatan),Masterkraft,31,9
35,Question (feat. Don Jazzy),Burna Boy,22,8
36,Kilometre,Burna Boy,33,4
37,Anoti (Audio),Wizkid,41,3
38,Rise Up   ,2Baba and  Falz,35,9
39,Enjoyment (lyric Video),Yemi Alade,45,9
40,Let Me Know (Official Audio),Mayorkun,43,5
41,Loco ft. Mayorkun,KDDO,36,2
42,Godly,Omah Lay,40,8
43,Fine Wine (feat. King Promise & Joeboy),R2Bees,37,3
44,System (feat. WizKid),Dave and  Wizkid,0,1
45,Feel Good   ,MohBad,49,2
46,Fendi (feat. Joeboy),Blaqbonez,38,2
47,Celebrate Me (Official Video),Patoranking,44,3
48,Southy Love (feat. Fireboy DML),Peruzzi,39,2
49,Tales By Moonlight (feat. Amaarae) ,Tiwa Savage,32,3
50,KOLO (feat. Oxlade),Ice Prince,0,1
